K,row_type,run_id,run_count,period_count,period_inference_service_sum_mean_ms,period_inference_service_sum_median_ms,period_inference_service_sum_p95_ms,period_inference_service_sum_p99_ms,periods_service_sum_over_33p33ms,period_service_sum_over_33p33_pct,period_service_sum_after_first_1s_mean_ms,period_service_sum_after_first_1s_over_period_pct
5,run,run03,1,1800,22.94623655722222,22.61178,25.454684649999997,27.104713219999997,2,0.1111111111111111,22.889930997175142,0.05649717514124294
5,run,run04,1,1800,23.00277610277778,22.678288,25.2870945,27.07101687,2,0.1111111111111111,22.93166486384181,0.0
5,run,run05,1,1800,22.999885165,22.6680585,25.42627505,27.146582669999997,1,0.05555555555555555,22.930988414689264,0.0
5,mean,ALL,5,1800.0,23.119487292444443,22.6994232,25.800252349999994,27.396547738,1.8,0.1,23.05373117118644,0.011299435028248588
5,sample_sd,ALL,5,0.0,0.2428743223571388,0.07570502211098641,0.7672998212563769,0.5924244730526911,0.8366600265340756,0.04648111258522643,0.24836536657432298,0.025266304830506098
5,min,ALL,5,1800.0,22.94623655722222,22.61178,25.2870945,27.07101687,1.0,0.05555555555555555,22.889930997175142,0.0
5,max,ALL,5,1800.0,23.541223693333333,22.814178,27.14893255,28.4523527,3.0,0.16666666666666669,23.48875661920904,0.05649717514124294
6,run,run01,1,1800,28.803093426666667,27.849711,32.09759525,34.21058418,27,1.5,28.728132524293784,1.1864406779661016
6,run,run02,1,1800,30.312646858333334,29.5068485,36.2962385,41.66738175,275,15.277777777777779,30.273453972316386,15.254237288135593
6,run,run03,1,1800,29.364647829444447,28.323015,32.7194247,35.64508323,64,3.5555555555555554,29.28229166836158,3.1073446327683616
6,run,run04,1,1800,29.32058002388889,28.2431195,33.0921971,35.71843544,83,4.611111111111111,29.2485249519774,4.23728813559322
6,run,run05,1,1800,29.292133141666664,28.316825,32.4476989,35.05990503,52,2.888888888888889,29.21398487118644,2.3163841807909606
6,mean,ALL,5,1800.0,29.418620256000004,28.4479038,33.330630889999995,36.460277925999996,100.2,5.566666666666667,29.349277597627122,5.220338983050847
6,sample_sd,ALL,5,0.0,0.5492451054269626,0.6232804299292778,1.6974390978672533,2.9728340476294473,99.80330655845026,5.544628142136125,0.5641067066195915,5.71873102880196
6,min,ALL,5,1800.0,28.803093426666667,27.849711,32.09759525,34.21058418,27.0,1.5,28.728132524293784,1.1864406779661016
