K,row_type,run_id,run_count,period_count,ready_span_mean_ms,ready_span_median_ms,ready_span_p95_ms,ready_span_period_mean_pct,ready_span_period_p95_pct,first_ready_lag_mean_ms,ready_span_after_first_1s_mean_ms,ready_span_after_first_1s_p95_ms
4,run,run05,1,1800,1.74393003,1.758903,2.4619832,5.2317900898814695,7.385949463360893,10.717380187222222,1.6665570028248589,2.44391855
4,mean,ALL,5,1800.0,2.2008940355555557,2.2987694,3.1426182,6.602682107381403,9.427854646486475,10.55199923622222,2.132809494463277,3.11519823
4,sample_sd,ALL,5,0.0,0.6974992268710027,0.8913995899359194,1.7766401776601128,2.092497681970423,5.329920593723686,0.5643125743741091,0.7187602974623888,1.7585655552570618
4,min,ALL,5,1800.0,1.74393003,1.758903,2.25797905,5.2317900898814695,6.773937217739372,10.110660793333333,1.6665570028248589,2.2433699
4,max,ALL,5,1800.0,3.4330055394444443,3.881813,6.317772699999999,10.299016621428706,18.953318261071423,11.470905451666667,3.401289022033898,6.257966
5,run,run01,1,1800,3.00357867,2.6042715,6.178305499999995,9.010736010397475,18.534916685349152,10.277361599999999,2.8957893327683615,5.280674299999994
5,run,run02,1,1800,4.538504059444445,4.7351985,6.6573004000000005,13.615512176891087,19.971900830526284,10.654569901111111,4.452661445762711,6.60964805
5,run,run03,1,1800,2.7661855105555557,2.6317315,3.5665216999999996,8.298556530081106,10.699564886008702,10.26619507388889,2.663368671186441,3.382906899999999
5,run,run04,1,1800,2.7858040305555556,2.6128605,3.5383481499999982,8.357412091450698,10.61504455615044,10.160796985555555,2.665349334463277,3.4026794
5,run,run05,1,1800,2.882681271111111,2.688497,4.3115896,8.64804381394885,12.934768560725985,10.225412145555556,2.787826572881356,3.869075
5,mean,ALL,5,1800.0,3.1953507083333337,3.0545117999999998,4.850413069999999,9.586052124553841,14.551239103752113,10.316867141222222,3.0929990714124296,4.508996729999998
5,sample_sd,ALL,5,0.0,0.7567216900094189,0.940105047053227,1.473801399870735,2.2701650695535385,4.421404172966514,0.1942250047971908,0.7661870341846414,1.4062128573470651
5,min,ALL,5,1800.0,2.7661855105555557,2.6042715,3.5383481499999982,8.298556530081106,10.61504455615044,10.160796985555555,2.663368671186441,3.382906899999999
5,max,ALL,5,1800.0,4.538504059444445,4.7351985,6.6573004000000005,13.615512176891087,19.971900830526284,10.654569901111111,4.452661445762711,6.60964805
6,run,run01,1,1800,3.6533862255555554,3.350278,5.313435049999999,10.960158676878143,15.940305285392638,10.848625039444444,3.5194753728813564,5.155954799999999
6,run,run02,1,1800,4.25727135,3.698062,7.633275799999999,12.77181405063078,22.899827628998274,11.551555253333333,4.184052202259887,7.547433949999999
6,run,run03,1,1800,3.698169506111111,3.430808,5.7551223,11.094508519439337,17.26536704671045,10.639684167222223,3.60258237740113,5.54561355
6,run,run04,1,1800,3.7367189049999996,3.4725175,5.9689263,11.210156716426972,17.90677907906779,10.744172288333335,3.6146909333333332,5.8246721
6,run,run05,1,1800,3.60011401,3.294233,5.4605026,10.800342030833578,16.38150796381508,10.887311271666666,3.4374178468926555,5.30642035
6,mean,ALL,5,1800.0,3.7891319993333332,3.4491796999999997,6.02625241,11.367395998841761,18.078757400796846,10.934269604,3.6716437465536726,5.87601895
6,sample_sd,ALL,5,0.0,0.26661323797945113,0.1554144440092362,0.9337429292471028,0.7998397138761171,2.801228822219249,0.3582942988213527,0.2952086157026303,0.9680350296885264
6,min,ALL,5,1800.0,3.60011401,3.294233,5.313435049999999,10.800342030833578,15.940305285392638,10.639684167222223,3.4374178468926555,5.155954799999999
6,max,ALL,5,1800.0,4.25727135,3.698062,7.633275799999999,12.77181405063078,22.899827628998274,11.551555253333333,4.184052202259887,7.547433949999999
7,run,run01,1,1800,5.970977197777778,5.4471565,8.529555949999999,17.912931591612594,25.58866810588668,11.74974051,5.682776783615819,8.427682999999998
7,run,run02,1,1800,5.593740216666667,5.207819,8.325192849999999,16.781220650845697,24.975578762208386,12.201556385,5.479753181920904,8.1706545
7,run,run03,1,1800,5.573500175555555,5.0832035,8.10896985,16.720500526149838,24.326909793269095,12.188486814444445,5.346843440677966,7.9292888
7,run,run04,1,1800,5.661545463333333,5.0509695,8.4458216,16.984636393708694,25.33746429325071,11.533474310555555,5.405774155932203,8.3639944
7,run,run05,1,1800,5.950827361111111,5.427062,8.757514749999999,17.85248208583297,26.272543764104547,11.548653866666667,5.684771146327684,8.668409299999999
7,mean,ALL,5,1800.0,5.750118082888889,5.2432421,8.433411,17.250354249629957,25.300232943743886,11.844382377333334,5.519983741694915,8.312006
7,sample_sd,ALL,5,0.0,0.19529208519800745,0.1865520975342413,0.2405277234383126,0.5858762552768099,0.7215829197631272,0.33130703148785706,0.15676124718782167,0.27819057139061104
7,min,ALL,5,1800.0,5.573500175555555,5.0509695,8.10896985,16.720500526149838,24.326909793269095,11.533474310555555,5.346843440677966,7.9292888
7,max,ALL,5,1800.0,5.970977197777778,5.4471565,8.757514749999999,17.912931591612594,26.272543764104547,12.201556385,5.684771146327684,8.668409299999999
