K,scope,row_type,run_id,run_count,period_count,periods_with_waiting_carryover,waiting_carryover_period_pct,periods_with_inservice_carryover,inservice_carryover_period_pct,periods_with_inference_unfinished_carryover,inference_unfinished_carryover_period_pct,mean_waiting_carryover_depth,p95_waiting_carryover_depth,max_waiting_carryover_depth,mean_inservice_carryover_depth,max_inservice_carryover_depth,mean_inference_unfinished_depth,p95_inference_unfinished_depth,max_inference_unfinished_depth,maximum_consecutive_inference_unfinished_carryover_periods,pre_ready_carryover_period_pct,mean_pre_ready_carryover_depth,max_pre_ready_carryover_depth
4,all_60s,mean,ALL,5,1800.0,10.8,0.6,13.0,0.7222222222222222,13.0,0.7222222222222222,0.063,0.0,19.8,0.007222222222222223,1.0,0.07022222222222221,0.0,20.8,11.2,0.38888888888888895,0.03955555555555555,17.0
4,all_60s,sample_sd,ALL,5,0.0,0.8366600265340756,0.04648111258522644,1.8708286933869707,0.10393492741038722,1.8708286933869707,0.10393492741038722,0.008227100654859232,0.0,1.3038404810405297,0.0010393492741038724,0.0,0.00915065942439312,0.0,1.3038404810405297,1.0954451150103321,0.06804138174397716,0.01291233499649573,2.23606797749979
4,all_60s,min,ALL,5,1800.0,10.0,0.5555555555555556,11.0,0.6111111111111112,11.0,0.6111111111111112,0.056666666666666664,0.0,18.0,0.006111111111111111,1.0,0.06388888888888888,0.0,19.0,10.0,0.33333333333333337,0.028888888888888888,16.0
4,all_60s,max,ALL,5,1800.0,12.0,0.6666666666666667,16.0,0.8888888888888888,16.0,0.8888888888888888,0.07611111111111112,0.0,21.0,0.008888888888888889,1.0,0.085,0.0,22.0,13.0,0.5,0.06166666666666667,21.0
4,first_1s_excluded,run,run01,1,1770,0,0.0,1,0.05649717514124294,1,0.05649717514124294,0.0,0.0,0,0.0005649717514124294,1,0.0005649717514124294,0.0,1,1,0.0,0.0,0
4,first_1s_excluded,run,run02,1,1770,0,0.0,2,0.11299435028248588,2,0.11299435028248588,0.0,0.0,0,0.0011299435028248588,1,0.0011299435028248588,0.0,1,1,0.0,0.0,0
4,first_1s_excluded,run,run03,1,1770,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0
4,first_1s_excluded,run,run04,1,1770,0,0.0,2,0.11299435028248588,2,0.11299435028248588,0.0,0.0,0,0.0011299435028248588,1,0.0011299435028248588,0.0,1,1,0.0,0.0,0
4,first_1s_excluded,run,run05,1,1770,0,0.0,3,0.1694915254237288,3,0.1694915254237288,0.0,0.0,0,0.001694915254237288,1,0.001694915254237288,0.0,1,1,0.0,0.0,0
4,first_1s_excluded,mean,ALL,5,1770.0,0.0,0.0,1.6,0.0903954802259887,1.6,0.0903954802259887,0.0,0.0,0.0,0.000903954802259887,0.8,0.000903954802259887,0.0,0.8,0.8,0.0,0.0,0.0
