acquisition_id,round,trace,policy,window,phase,arrival_start_s,arrival_end_s,n,miss_count,DMR_percent,start_lag_mean_ms,start_lag_p95_ms,start_lag_p99_ms,front_end_mean_ms,front_end_p95_ms,front_end_p99_ms,queue_mean_ms,queue_p95_ms,queue_p99_ms,service_mean_ms,service_p95_ms,service_p99_ms,local_mean_ms,local_p95_ms,local_p99_ms
primary_08,2,B,K_LOOKUP_C2_C4,phase_remainder,2,31,45,2940,1379,46.904761904761905,1.0020734792517008,3.3739562499999987,5.147728220000003,13.312904126530611,17.1259192,18.909803960000005,5.651225527551021,15.485194149999998,17.550381129999998,15.105103065306123,19.26022674999999,22.419840270000005,35.071306198639455,45.97516794999999,49.274781890000014
primary_08,2,B,K_LOOKUP_C2_C4,transition,3,45,46,180,58,32.22222222222222,0.5518265611111111,1.7232671499999992,2.5708660500000033,12.022156661111111,14.415837099999996,16.33284267000001,7.354614177777777,15.71469375,16.03691033,8.598001349999999,9.747734449999998,10.770377810000003,28.52659875,38.11253865,38.644570560000005
primary_08,2,B,K_LOOKUP_C2_C4,phase_remainder,3,46,60,2520,807,32.023809523809526,0.5715283853174603,1.9542144499999994,3.369114199999995,12.03554753015873,14.740251349999998,16.418842689999995,7.3080711011904755,15.774161799999996,16.7376695,8.63478561984127,10.014109149999998,11.06909863,28.549932636507936,38.468154850000005,39.647804
primary_08,2,B,K_LOOKUP_C2_C4,K6_arrival_cohort,,,,5400,1748,32.370370370370374,0.5678593801851852,1.9012620000000002,3.294942080000003,12.084611033888889,14.7556683,16.298194770000006,7.325930526296296,15.78490515,16.79825488,8.65037023388889,10.0490499,11.326646970000004,28.62877117425926,38.482176200000005,39.94051986000001
primary_08,2,B,K_LOOKUP_C2_C4,K7_arrival_cohort,,,,6300,3273,51.95238095238095,3.6237256277777776,4.277761099999988,101.71679167000018,14.07419115095238,18.456689449999995,27.569285220000026,17.570833325238095,132.36719279999915,197.83329120000005,15.250657984285715,19.409058599999998,22.389356070000012,50.51940808825397,192.75752439999985,314.13225984000013
primary_09,2,A,FIXED_C4,startup,0,0,1,180,180,100.0,42.98345205555555,166.08190255,176.02817067,26.713330527777774,35.24795174999999,208.12979152,62.36509831666667,98.71190955,106.55286,17.876264255555554,22.05465185,53.02251127,149.93814515555556,254.69923529999997,266.86408466000006
primary_09,2,A,FIXED_C4,phase_remainder,0,1,15,2520,821,32.57936507936508,0.5825414349206349,1.9606866999999994,3.1836257099999985,12.137281562301588,14.663084149999998,16.360619859999993,4.376004238888888,15.2640368,16.9787885,14.198878955952381,18.650727099999997,19.87050951,31.29470619206349,39.04098265,40.50159357
primary_09,2,A,FIXED_C4,transition,1,15,16,210,96,45.714285714285715,1.1414839761904763,3.940738999999999,5.182471009999999,13.552100990476191,17.1860191,20.518490099999998,5.328578380952381,14.37458415,14.997264509999999,14.89842117142857,19.168772499999992,23.165824519999997,34.920584519047615,45.39873439999999,48.89099093
primary_09,2,A,FIXED_C4,phase_remainder,1,16,30,2940,1330,45.23809523809524,0.9806152887755102,3.551386199999999,5.683940840000014,13.330936335714286,17.112730299999996,19.02004212,5.427605258163265,14.927891849999998,16.579133450000004,14.913954802040816,18.79847355,21.02616861,34.65311168469388,45.267545549999994,47.77845473000001
primary_09,2,A,FIXED_C4,transition,2,30,31,180,56,31.11111111111111,0.46399888888888885,1.3187439999999997,1.946534000000003,12.414153877777778,15.169210549999997,15.818392980000002,4.3077918833333335,15.145009449999995,16.64564746000002,14.137199566666666,18.451259299999997,20.19974707,31.323144216666666,38.65863435,40.53943032000001
primary_09,2,A,FIXED_C4,phase_remainder,2,31,45,2520,831,32.976190476190474,0.6284833734126984,2.071723899999993,3.8403919699999984,12.158306161507936,14.849055299999998,16.593053899999997,4.298842382936509,14.97871485,16.753385369999997,14.180995223412697,18.60313075,19.95997384,31.26662714126984,38.90312459999999,40.567539339999996
primary_09,2,A,FIXED_C4,transition,3,45,46,210,94,44.76190476190476,1.0520850380952382,3.87362725,6.2678033300000005,12.866014519047619,15.82792115,17.19560461,5.376595714285714,15.078557299999993,16.94263379,14.854953376190476,19.010983850000002,22.516006069999996,34.149648647619046,44.930089200000005,47.2859751
primary_09,2,A,FIXED_C4,phase_remainder,3,46,60,2940,1321,44.93197278911565,0.958884725170068,3.247996949999997,5.140941520000013,13.199024963945579,16.836988099999996,18.810765370000006,5.456042053061225,15.165784699999998,17.042308460000008,14.86810211462585,18.821517699999998,21.02049129000001,34.48205385680272,44.76247875,47.235048240000005
primary_09,2,A,FIXED_C4,K6_arrival_cohort,,,,5400,1888,34.96296296296296,2.0133932753703703,2.4729139,58.69377597,12.642190417962963,15.547873050000002,25.028949270000005,6.270691430185185,16.154193850000002,82.95433105000001,14.311056744444445,18.73485145,20.258179350000002,35.237331867962965,40.01981925,197.4951776800001
primary_09,2,A,FIXED_C4,K7_arrival_cohort,,,,6300,2841,45.095238095238095,0.9782189736507937,3.451049299999993,5.481679690000004,13.261252456825396,16.94384915,18.951583990000003,5.4358745484126985,15.03385535,16.78151862,14.89007237936508,18.82039725,21.144320470000004,34.56541835825397,45.05423,47.71824176
primary_10,2,B,FIXED_C4,startup,0,0,1,210,210,100.0,32.487047842857145,137.57056544999998,166.30846157,22.481344628571428,51.32380774999996,163.17156497,114.4660875,157.77255334999998,162.43596494,18.072301028571427,23.611911349999982,49.73988644999999,187.506781,255.3721836,266.89779228
primary_10,2,B,FIXED_C4,phase_remainder,0,1,15,2940,1446,49.183673469387756,0.9140836697278911,3.331639299999995,5.433606429999999,13.679367488095238,18.0609392,21.777489890000002,9.318316240816326,41.84224374999969,95.90755229999999,15.013147567006802,19.086982299999995,22.0676211,38.92491496564626,78.09190705,130.70851517000008
primary_10,2,B,FIXED_C4,transition,1,15,16,180,60,33.333333333333336,0.6543349833333333,2.4566014,3.5824984100000017,11.744975083333333,13.8858897,14.832530500000006,4.362990861111111,14.81267925,16.149844210000005,14.207223777777777,18.253748100000003,19.250334000000002,30.969524705555553,38.03371155,40.41251449
primary_10,2,B,FIXED_C4,phase_remainder,1,16,30,2520,830,32.93650793650794,0.5845082801587301,1.944070149999995,3.5075736899999987,12.173879094444445,14.860364899999995,16.15138621,4.2556673837301595,15.047828349999993,16.8105484,14.148530232142857,18.60231475,19.82706274,31.16258499047619,38.87755245,40.45582809999999
primary_10,2,B,FIXED_C4,transition,2,30,31,210,93,44.285714285714285,0.7331431952380952,2.4214960499999973,3.1726362999999997,13.113820109523811,16.6400096,18.597995949999998,5.357791333333333,14.782524449999995,15.5639558,14.960944857142856,18.263584,21.94313834,34.165699495238094,45.16139354999999,47.25637482
primary_10,2,B,FIXED_C4,phase_remainder,2,31,45,2940,1334,45.374149659863946,0.932040775510204,3.3288214499999986,5.1010397600000035,13.30681675170068,16.99849015,19.297981780000015,5.360509008163265,15.123353899999996,17.032519470000004,14.860502909183674,18.873222099999996,21.02002827,34.459869444557825,45.376027349999994,48.35431563
primary_10,2,B,FIXED_C4,transition,3,45,46,180,59,32.77777777777778,0.49732685,1.370086249999992,3.0197966900000033,12.11470583888889,14.9586754,15.68837423,4.160443388888889,14.3242911,16.350489440000008,13.968537927777778,18.166457349999998,19.630295450000002,30.741014005555556,38.5118405,39.381652880000004
primary_10,2,B,FIXED_C4,phase_remainder,3,46,60,2520,812,32.22222222222222,0.5753364285714285,1.8825588499999986,3.3072588399999994,12.134779311904762,14.68747975,16.40629147,4.209138095634921,14.847649549999996,16.3446705,14.068129501984126,18.343185799999997,19.63488002,30.987383338095235,38.743857,40.12560192
primary_10,2,B,FIXED_C4,K6_arrival_cohort,,,,5400,1761,32.611111111111114,0.5796495918518519,1.9038560500000015,3.4459594200000083,12.139363287037037,14.7378706,16.238050630000007,4.234357032037037,14.93905805,16.51741548000001,14.106966599444446,18.44040885,19.755099280000003,31.06033651037037,38.80337815,40.274662580000005
primary_10,2,B,FIXED_C4,K7_arrival_cohort,,,,6300,3083,48.93650793650794,1.9688644423809525,3.7028338499999993,30.121345370000284,13.780058136507936,17.773494449999998,22.174835480000006,10.844247743968253,52.24227514999981,141.35000833000007,15.042145085079364,19.12182304999999,22.055592970000003,41.6353154079365,96.60866354999982,196.95848924
primary_11,2,A,FIXED_C2,startup,0,0,1,180,180,100.0,31.44865233333333,153.80574114999996,169.13571374,20.414277911111114,24.22369249999999,201.88184782,128.09737951666668,183.51971594999998,189.57899254000006,9.935331138888888,13.937218749999998,26.095681510000123,189.89564090000002,264.60829755,272.61317849
primary_11,2,A,FIXED_C2,phase_remainder,0,1,15,2520,876,34.76190476190476,0.5820367706349207,1.8698177999999999,3.1093941999999997,12.050765132142857,14.833160099999994,17.668120769999994,9.265457536904762,17.031176499999994,78.83842529999994,8.660118736507938,10.206589649999996,11.46981855,30.558378176190477,39.43003589999999,102.27462234999996
primary_11,2,A,FIXED_C2,transition,1,15,16,210,92,43.80952380952381,0.7188465571428572,2.5614789,3.8410354499999992,12.865397990476191,16.260447949999993,18.27802804,9.923960561904762,22.409046999999997,23.64243264,8.520901647619048,10.159224499999999,11.267643529999999,32.029106757142856,44.86893635,48.42522166
primary_11,2,A,FIXED_C2,phase_remainder,1,16,30,2940,1273,43.29931972789116,0.6946369959183673,2.4906383999999986,4.20605233000001,12.875537449319728,16.470483899999998,18.550909780000012,9.7260798207483,22.423296949999994,24.21646623,8.506475052040818,10.515142199999998,11.948922320000007,31.80272931802721,44.8813291,48.36239237
primary_11,2,A,FIXED_C2,transition,2,30,31,180,57,31.666666666666668,0.6903589666666666,2.460648649999999,3.3961812700000005,12.131906177777779,14.6203632,17.033623860000002,7.206684583333333,15.629136099999998,16.55656837,8.668829466666667,9.911405199999999,10.387792300000003,28.697779194444443,38.943504299999994,39.52882701
primary_11,2,A,FIXED_C2,phase_remainder,2,31,45,2520,821,32.57936507936508,0.6134037543650793,1.9778431499999978,3.5994694899999997,11.946844786904762,14.40534245,16.49384426,7.365217269444444,15.862785149999999,16.87048216,8.632363082936509,10.0483677,11.272639289999999,28.557828893650793,38.43769135,39.799976799999996
primary_11,2,A,FIXED_C2,transition,3,45,46,210,89,42.38095238095238,0.6502272523809524,2.543225849999998,3.964346309999998,13.04716198095238,16.810165249999997,18.57865133,9.60548501904762,22.46357825,23.55196896,8.505041271428572,10.3520279,13.231833089999997,31.807915523809523,44.968011499999996,48.496619
