acquisition_id,round,trace,policy,phase,logical_boundary_ns,notification_ns,apply_ns,old_C,new_C,active_counter_at_apply,A_service_at_apply,ready_at_apply,generated_backlog_at_apply,due_not_generated_at_apply,first_A_service_le_C_ns,first_A_service_lt_C_ns,first_counter_le_C_ns,first_counter_lt_C_ns,first_new_admission_ns,cohort_at_apply,n,miss_count,DMR_percent,start_lag_mean_ms,start_lag_p95_ms,start_lag_p99_ms,front_end_mean_ms,front_end_p95_ms,front_end_p99_ms,queue_mean_ms,queue_p95_ms,queue_p99_ms,service_mean_ms,service_p95_ms,service_p99_ms,local_mean_ms,local_p95_ms,local_p99_ms
primary_03,1,A,K_LOOKUP_C2_C4,1,85641099785040,85641099880526,85641099908869,2,4,2,2,0,2,7,85641099908869,85641099908869,85641099908869,85641099908869,85641112884887,already_ready,0,,,,,,,,,,,,,,,,,
primary_03,1,A,K_LOOKUP_C2_C4,1,85641099785040,85641099880526,85641099908869,2,4,2,2,0,2,7,85641099908869,85641099908869,85641099908869,85641099908869,85641112884887,generated_pre_ready,0,,,,,,,,,,,,,,,,,
primary_03,1,A,K_LOOKUP_C2_C4,1,85641099785040,85641099880526,85641099908869,2,4,2,2,0,2,7,85641099908869,85641099908869,85641099908869,85641099908869,85641112884887,generated_after_apply,9000,3739,41.544444444444444,0.878343294,2.9716554499999996,4.9678316800000015,12.831354565,16.4311559,18.42373217,6.155800168,15.6926914,17.004620550000002,13.130244054555556,18.510277449999993,20.63089336000001,32.995742081555555,44.80275454999999,47.40815605
primary_03,1,A,K_LOOKUP_C2_C4,2,85656099785040,85656099887492,85656099909982,4,2,3,3,0,3,6,85656108034216,85656110316427,85656108057216,85656110330779,85656111544130,already_service,3,3,100.0,0.503359,0.5640314000000001,0.56713588,15.169818333333334,16.0847486,16.18772332,13.616430666666666,15.0515779,15.22014438,13.849490666666666,15.353156,15.4510456,43.13909866666666,43.9595306,43.96795812
primary_03,1,A,K_LOOKUP_C2_C4,2,85656099785040,85656099887492,85656099909982,4,2,3,3,0,3,6,85656108034216,85656110316427,85656108057216,85656110330779,85656111544130,already_ready,0,,,,,,,,,,,,,,,,,
primary_03,1,A,K_LOOKUP_C2_C4,2,85656099785040,85656099887492,85656099909982,4,2,3,3,0,3,6,85656108034216,85656110316427,85656108057216,85656110330779,85656111544130,generated_pre_ready,0,,,,,,,,,,,,,,,,,
primary_03,1,A,K_LOOKUP_C2_C4,2,85656099785040,85656099887492,85656099909982,4,2,3,3,0,3,6,85656108034216,85656110316427,85656108057216,85656110330779,85656111544130,generated_after_apply,5850,2313,39.53846153846154,0.8260629986324787,2.8277719000000006,4.834448720000008,12.598487582735043,16.04769105,18.105800010000003,6.509059838632479,15.817729350000002,16.942389490000007,12.121969083931623,18.2129085,19.959635690000006,32.055579503931625,44.420478550000006,47.16391642000001
primary_03,1,A,K_LOOKUP_C2_C4,3,85671099785040,85671099869053,85671099884775,2,4,2,2,0,2,7,85671099884775,85671099884775,85671099884775,85671099884775,85671110559461,already_service,2,2,100.0,0.5360005,0.71586865,0.7318569300000001,13.5664535,13.83330935,13.85702987,14.600632,14.6432326,14.64701932,9.399766,9.542954199999999,9.555682039999999,38.102852,38.7353648,38.791588159999996
primary_03,1,A,K_LOOKUP_C2_C4,3,85671099785040,85671099869053,85671099884775,2,4,2,2,0,2,7,85671099884775,85671099884775,85671099884775,85671099884775,85671110559461,already_ready,0,,,,,,,,,,,,,,,,,
primary_03,1,A,K_LOOKUP_C2_C4,3,85671099785040,85671099869053,85671099884775,2,4,2,2,0,2,7,85671099884775,85671099884775,85671099884775,85671099884775,85671110559461,generated_pre_ready,0,,,,,,,,,,,,,,,,,
