request_id,phase,round,iteration,sample_id,split_point,network_used,activation_shape,payload_bytes,request_payload_sha256,output_shape,response_payload_bytes,response_payload_sha256,device_inference_wall_ms,device_inference_cuda_ms,remote_roundtrip_ms,e2e_inference_ms,success,error
28,preflight,0,2,299,7,True,"[1, 256, 12, 12]",147456,4a4150013da97ebc6627bf6fcac4755fec0a4cb7dbc85b899e44968a4d15216f,"[1, 1000]",4000,95afa7ca496b0b31e225901f341b30a59e751ad377f5f0fb9f93a10bc9106c6c,16.917541,16.645151138305664,10.467805,27.385346,True,
29,preflight,0,2,299,8,True,"[1, 1280]",5120,2c6e395e8647da1e08e093e4c8cc1bc26084c63c5bc35ef7baff61f82202e717,"[1, 1000]",4000,95afa7ca496b0b31e225901f341b30a59e751ad377f5f0fb9f93a10bc9106c6c,17.235794,17.190336227416992,5.144175,22.379969,True,
30,preflight,0,2,299,9,False,"[1, 1000]",0,NA,"[1, 1000]",0,NA,17.429915,17.384479522705078,NA,17.491277,True,
31,warmup,0,0,0,0,True,"[1, 3, 384, 384]",1769472,7ab6cf3da25978cfb8b411994e4741372d4993d1f866042079887cf364ebd687,"[1, 1000]",4000,cd4bb223fec7df70abd3d77c02dde7f3d4e305038d0a5d7b6cbc10d6c9de0fff,0.0,0.0,82.217128,82.217128,True,
32,warmup,0,0,0,1,True,"[1, 24, 192, 192]",3538944,78efa18f2814adfce7884ad1c2dc9896ec2ce31de7ef7b55c58241c16f69fc21,"[1, 1000]",4000,cd4bb223fec7df70abd3d77c02dde7f3d4e305038d0a5d7b6cbc10d6c9de0fff,0.425262,0.11919999867677689,127.556914,127.982176,True,
33,warmup,0,0,0,2,True,"[1, 24, 192, 192]",3538944,a80d9c872917c6ff7756b22db93e3d34ecf2940223c2fd089433443e484c00c9,"[1, 1000]",4000,cd4bb223fec7df70abd3d77c02dde7f3d4e305038d0a5d7b6cbc10d6c9de0fff,2.218206,1.8932479619979858,132.568066,134.786272,True,
34,warmup,0,0,0,3,True,"[1, 48, 96, 96]",1769472,4f390f8e3e072df6b22d9e592c684fd44155e96fde037d647a1a40ed9fe0f62f,"[1, 1000]",4000,cd4bb223fec7df70abd3d77c02dde7f3d4e305038d0a5d7b6cbc10d6c9de0fff,5.740817,5.396671772003174,74.704632,80.445449,True,
35,warmup,0,0,0,4,True,"[1, 64, 48, 48]",589824,1897a1cda5ca8d586fff8a7e818f074909070b49c8eef3270a835efa8e43255d,"[1, 1000]",4000,cd4bb223fec7df70abd3d77c02dde7f3d4e305038d0a5d7b6cbc10d6c9de0fff,7.338362,7.001760005950928,35.987318,43.32568,True,
36,warmup,0,0,0,5,True,"[1, 128, 24, 24]",294912,4374ce04152dea8ef393a08e8e26550bf031e2788b3173e6d5398c19e6b39f09,"[1, 1000]",4000,cd4bb223fec7df70abd3d77c02dde7f3d4e305038d0a5d7b6cbc10d6c9de0fff,9.330808,8.984895706176758,23.786171,33.116979,True,
37,warmup,0,0,0,6,True,"[1, 160, 24, 24]",368640,4d72df879cc42ce6b8cefc6971851320f70743146cd85141c7b0730f712cde11,"[1, 1000]",4000,cd4bb223fec7df70abd3d77c02dde7f3d4e305038d0a5d7b6cbc10d6c9de0fff,14.351483,14.008511543273926,21.916505,36.267988,True,
38,warmup,0,0,0,7,True,"[1, 256, 12, 12]",147456,90b2283c578501bf446dc5ae83fde5e832ffe269df7c90a908e63f6c8fed3836,"[1, 1000]",4000,cd4bb223fec7df70abd3d77c02dde7f3d4e305038d0a5d7b6cbc10d6c9de0fff,22.339284,22.184831619262695,10.731678,33.070962,True,
39,warmup,0,0,0,8,True,"[1, 1280]",5120,ed0665df177a724dee349ef4a86ec0f1551887ba068b54a38b826e59191fa1a1,"[1, 1000]",4000,cd4bb223fec7df70abd3d77c02dde7f3d4e305038d0a5d7b6cbc10d6c9de0fff,22.924335,22.87596893310547,6.257478,29.181813,True,
40,warmup,0,0,0,9,False,"[1, 1000]",0,NA,"[1, 1000]",0,NA,23.025705,22.977760314941406,NA,23.083946,True,
41,warmup,0,1,149,0,True,"[1, 3, 384, 384]",1769472,47a6bc967793854f8c725a134ffa98bb8518d6b4fc7bf08f4ed5c37513073571,"[1, 1000]",4000,5d4d7e074f73248cb25bf92b4ad3291e0eca61ca38f6aa2fed2099cb7f5e5da4,0.0,0.0,66.926814,66.926814,True,
42,warmup,0,1,149,1,True,"[1, 24, 192, 192]",3538944,3d7f2fc4c950875182f6eca5fee15289187bc27045a07908310d74278f27d97d,"[1, 1000]",4000,5d4d7e074f73248cb25bf92b4ad3291e0eca61ca38f6aa2fed2099cb7f5e5da4,0.579891,0.2024639993906021,154.47131,155.051201,True,
43,warmup,0,1,149,2,True,"[1, 24, 192, 192]",3538944,d4ae850c17fe4904cfa303fe15bd84c68fb59ca9fef222e9190c405f109feedd,"[1, 1000]",4000,5d4d7e074f73248cb25bf92b4ad3291e0eca61ca38f6aa2fed2099cb7f5e5da4,2.782857,2.390944004058838,111.254907,114.037764,True,
44,warmup,0,1,149,3,True,"[1, 48, 96, 96]",1769472,d517ee466078c00f4053d8413e5b10789889d668588574d7ed1461fe4d32201f,"[1, 1000]",4000,5d4d7e074f73248cb25bf92b4ad3291e0eca61ca38f6aa2fed2099cb7f5e5da4,7.247715,7.063136100769043,58.083807,65.331522,True,
45,warmup,0,1,149,4,True,"[1, 64, 48, 48]",589824,c2daf35102573c9a49f537698efe6dcce61f0b8d84712071dad8d61405b2898a,"[1, 1000]",4000,5d4d7e074f73248cb25bf92b4ad3291e0eca61ca38f6aa2fed2099cb7f5e5da4,9.391458,8.98681640625,33.833233,43.224691,True,
46,warmup,0,1,149,5,True,"[1, 128, 24, 24]",294912,02d307fb9b44f7c70147e811846cdb6f30caedd9111fefb28d8117f6567f11cb,"[1, 1000]",4000,5d4d7e074f73248cb25bf92b4ad3291e0eca61ca38f6aa2fed2099cb7f5e5da4,12.030287,11.614879608154297,19.628168,31.658455,True,
