C,K,run_id,frames,local_latency_mean_ms,local_latency_median_ms,local_latency_p95_ms,local_latency_p99_ms,start_lag_mean_ms,front_end_mean_ms,queue_wait_mean_ms,queue_wait_p95_ms,inference_mean_ms,inference_p95_ms,deadline_miss_pct,peak_waiting_queue,time_weighted_waiting_queue,max_active_inferences,service_overlap_pair_count,service_overlap_time_ms
2,5,run03,9000,26.343367899333334,26.8828915,32.20566645,73.43347515,1.0312379257777777,10.961086881555556,6.660044883777778,15.23662845,7.690998208222222,9.0555464,1.5222222222222221,32,1.0019761179776714,2,7221,30485.497266
1,6,run03,10800,40.51923977935185,28.9429845,147.2806438,247.32938271,1.0116167590740741,11.753425459814816,22.634961871944444,123.74495735,5.119235688518518,7.175021,36.666666666666664,50,4.086530835165036,1,0,0.0
2,6,run03,10800,31.73681915722222,28.025405,37.99507115,204.61088598,1.3252314327777779,11.61628995138889,10.268002164166667,16.303706,8.527295608888888,9.7913498,32.49074074074074,49,1.8548305661508868,2,9049,43949.144399
2,5,run04,9000,25.831323518333335,26.925353,32.230064,35.29016151,0.7813892666666666,10.864937790444445,6.487059741222223,15.3560429,7.69793672,9.01259975,1.2444444444444445,28,0.9752209623659579,2,7217,30422.916077
1,5,run04,9000,26.240331320333333,24.314906,34.81157195,120.26740642,0.9040281418888889,10.837030850222222,9.761684558,17.02194935,4.737587770222222,5.18909455,11.133333333333333,30,1.4677440666178594,1,0,0.0
2,6,run04,10800,30.143694793333335,28.1193105,37.9082438,137.73104845,0.8223919397222222,11.71178551824074,9.088756126388889,16.11812205,8.520761208981481,9.7868135,32.28703703703704,38,1.639519366626391,2,9036,43893.256238
1,6,run04,10800,168.28761844842592,199.438924,243.1905618,256.08892451,1.2070797,13.475314993333333,148.2248405960185,219.40702495,5.380383159074074,9.2096458,86.21296296296296,46,26.763509332680986,1,0,0.0
2,7,run04,12600,186.75894700936507,205.1426855,258.4568047,270.46366442,1.1882614926984127,14.059992652222222,162.18965440444444,233.2309456,9.32103846,13.0359225,94.0952380952381,54,34.14424524420805,2,12463,57796.940611
1,7,run04,12600,5596.304486613333,5807.5946095,9110.9909767,9192.7698751,1.2982478353968254,13.612277900555556,5575.985290772461,9091.31185315,5.408670104920635,8.659837,100.0,1934,1032.653340600049,1,0,0.0
1,6,run05,10800,41.98227479027778,29.314162,167.9515963,275.87352507,1.1174552487037037,11.770958136851851,23.89045329398148,144.3028164,5.203408110740741,7.09416385,38.629629629629626,52,4.3136488001212685,1,0,0.0
2,6,run05,10800,31.03062624462963,28.2064055,38.21630675,163.09154712,0.9464599561111111,11.721728947962964,9.781648563055555,16.32207045,8.5807887775,9.8576215,33.083333333333336,42,1.7652860762654288,2,9051,44276.882125
1,7,run05,12600,4889.5678266838095,5061.277329,8155.1497781,8251.19560625,0.9793898039682539,13.45259962936508,4869.797420810397,8137.54961215,5.338416440079365,8.4610976,100.0,1736,911.4620557606927,1,0,0.0
2,7,run05,12600,170.4479863597619,184.7048325,257.80653115,276.86608559,1.2307094295238095,14.072230946825396,145.79784992357142,232.1145997,9.34719605984127,13.12120595,95.84920634920636,59,30.71472290742697,2,12509,58086.803347
1,5,run05,9000,26.369295527666665,24.3874675,34.8697207,115.59450147,0.941212708,11.022723609444444,9.65204512488889,16.8859477,4.753314085333334,5.2324096,12.188888888888888,37,1.451846759705861,1,0,0.0
2,5,run05,9000,26.500643573666668,26.931052,32.1778149,86.90091406,1.0333676616666667,10.907844719888889,6.867304807,15.33730625,7.692126385111111,9.0165509,1.5333333333333334,34,1.0333045455298189,2,7223,30445.410581
