K,run_id,second,waiting_time_mean,active_time_mean,logical_frame_deadline_miss_pct,boundary_prior_waiting_mean,boundary_prior_active_mean
5,run02,24,0.821465104,1.144888033,0.0,0,0
5,run02,25,0.841644898,1.147371706,0.0,0,0
5,run02,26,0.814128628,1.142453412,0.0,0,0
5,run02,27,0.792920764,1.143494032,0.0,0,0
5,run02,28,0.843925513,1.15492262,0.0,0,0
5,run02,29,0.858643387,1.153713785,0.6666666666666666,0,0.03333333333333333
5,run02,30,0.844152294,1.149377876,0.0,0,0
5,run02,31,0.86141243,1.153894786,0.6666666666666666,0,0.03333333333333333
5,run02,32,0.868491361,1.150619126,0.6666666666666666,0,0.03333333333333333
5,run02,33,0.872252406,1.146810499,0.0,0,0
5,run02,34,0.87827377,1.150638298,0.0,0,0
5,run02,35,0.874062881,1.153823183,2.0,0,0.1
5,run02,36,0.893469938,1.155744783,0.6666666666666666,0,0.03333333333333333
5,run02,37,0.864146438,1.146097899,0.0,0,0
5,run02,38,0.873401467,1.147958973,2.0,0,0.1
5,run02,39,0.875594179,1.147845274,0.0,0,0
5,run02,40,0.889764696,1.151043075,1.3333333333333333,0,0.06666666666666667
5,run02,41,0.868723436,1.14441075,2.6666666666666665,0,0.13333333333333333
5,run02,42,0.857817234,1.149858849,0.0,0,0
5,run02,43,0.876166221,1.152409067,0.0,0,0
5,run02,44,0.874819188,1.150886597,0.0,0,0
5,run02,45,0.843084003,1.142848266,0.0,0,0
5,run02,46,0.852299885,1.146775689,0.0,0,0
5,run02,47,0.894457442,1.164657849,0.6666666666666666,0,0.03333333333333333
5,run02,48,0.871751729,1.149545016,0.0,0,0
5,run02,49,0.896971969,1.156038347,0.0,0,0
5,run02,50,0.863788251,1.14704214,0.0,0,0
5,run02,51,0.898504849,1.166160275,0.6666666666666666,0,0.03333333333333333
5,run02,52,0.820941877,1.152861423,0.6666666666666666,0,0.03333333333333333
5,run02,53,0.857864507,1.149678474,0.0,0,0
5,run02,54,0.887466906,1.152020981,0.6666666666666666,0,0.03333333333333333
5,run02,55,0.849274198,1.151688018,0.6666666666666666,0,0.03333333333333333
5,run02,56,0.819502468,1.14755034,0.0,0,0
5,run02,57,0.82694711,1.147717104,0.0,0,0
5,run02,58,0.873891313,1.15952276,1.3333333333333333,0,0.06666666666666667
5,run02,59,0.871902258,1.144760817,1.3333333333333333,0,0.06666666666666667
5,run03,0,7.356733191,1.372129077,64.66666666666667,6.833333333333333,0.9666666666666667
5,run03,1,0.900459562,1.160337613,1.3333333333333333,0,0.06666666666666667
5,run03,2,0.894201934,1.16659954,1.3333333333333333,0,0.06666666666666667
5,run03,3,0.894951792,1.165045864,0.0,0,0
5,run03,4,0.865675689,1.156455289,2.0,0,0.1
5,run03,5,0.867832285,1.155668782,0.6666666666666666,0,0.03333333333333333
5,run03,6,0.897449211,1.171493397,1.3333333333333333,0,0.06666666666666667
5,run03,7,0.829355482,1.158540875,0.0,0,0
5,run03,8,0.841294451,1.152051634,0.6666666666666666,0,0.03333333333333333
5,run03,9,0.860229886,1.150778614,1.3333333333333333,0,0.06666666666666667
5,run03,10,0.861750843,1.156677135,0.6666666666666666,0,0.03333333333333333
5,run03,11,0.821192269,1.148399379,0.0,0,0
5,run03,12,0.845272209,1.160793478,0.0,0,0
5,run03,13,0.842880128,1.147923054,1.3333333333333333,0,0.06666666666666667
5,run03,14,0.848774245,1.144074341,0.0,0,0
5,run03,15,0.877094607,1.149094377,0.0,0,0
5,run03,16,0.877827958,1.154777939,1.3333333333333333,0,0.06666666666666667
5,run03,17,0.857987264,1.15443489,2.0,0,0.1
5,run03,18,0.852728045,1.149117978,0.0,0,0
5,run03,19,0.875028227,1.158890484,0.6666666666666666,0,0.03333333333333333
5,run03,20,0.901513149,1.158163059,0.0,0,0
5,run03,21,0.85142859,1.149972043,0.0,0,0
5,run03,22,0.83660373,1.158906929,0.0,0,0
