scope,K,C,model,stage,n_runs,n_frames,observed_rate,observed_run_SD,predicted_rate,predicted_run_SD,signed_error,absolute_error,mean_run_absolute_error,run_absolute_error_SD
K3,3.0,,B1,Queue,40,214743,0.0006551709482313179,0.000841732268787334,0.006238938065707305,0.012030682407290437,0.005583767117475987,0.005583767117475987,0.005583767117475988,0.011739325579877476
K3,3.0,,B1,Service,40,214743,0.00031200221791925266,0.00015993844157036178,0.012696280504047133,0.012255658717242702,0.01238427828612788,0.01238427828612788,0.01238427828612788,0.012264398673943432
K3,3.0,,B1,On_time,40,214743,0.9990328268338494,0.0008093411757290817,0.9810647814302456,0.017186504038995788,-0.01796804540360386,0.01796804540360386,0.017968045403603878,0.017333359611028727
K3,3.0,,P-old,Queue,40,214743,0.0006551709482313179,0.000841732268787334,4.418808020400986e-05,8.975540970848522e-05,-0.000610982868027308,0.000610982868027308,0.0006116717724931412,0.0007801663453526841
K3,3.0,,P-old,Service,40,214743,0.00031200221791925266,0.00015993844157036178,0.0003428030803233425,0.0001630284551090225,3.080086240408986e-05,3.080086240408986e-05,0.00012926204901840687,0.00011187259019889532
K3,3.0,,P-old,On_time,40,214743,0.9990328268338494,0.0008093411757290817,0.9996130088394727,0.000138924763660604,0.0005801820056232643,0.0005801820056232643,0.000681876501935269,0.0007463887339075371
K3,3.0,,P-joint,Queue,40,214743,0.0006551709482313179,0.000841732268787334,4.418808020400986e-05,8.975540970848522e-05,-0.000610982868027308,0.000610982868027308,0.0006116717724931412,0.0007801663453526841
K3,3.0,,P-joint,Service,40,214743,0.00031200221791925266,0.00015993844157036178,0.0003383737028905638,0.00016837172081135223,2.6371484971311125e-05,2.6371484971311125e-05,0.00012922776435645683,0.00011188022100363346
K3,3.0,,P-joint,On_time,40,214743,0.9990328268338494,0.0008093411757290817,0.9996174382169054,0.00014622961376709612,0.0005846113830559885,0.0005846113830559885,0.0006854160566851202,0.0007489192198978868
K4,4.0,,B1,Queue,40,285699,0.0014600864702235474,0.0017578487777045015,0.009735749615539949,0.018708669383428085,0.008275663145316402,0.008275663145316402,0.008313851514033709,0.018641768328173658
K4,4.0,,B1,Service,40,285699,0.0005183136322449913,0.0006295510018054051,0.015275502063439167,0.0194058850760606,0.014757188431194175,0.014757188431194175,0.014757188431194177,0.019295361444377736
K4,4.0,,B1,On_time,40,285699,0.9980215998975315,0.0017777321891241362,0.9749887483210209,0.028739097879187957,-0.023032851576510582,0.023032851576510582,0.023032851576510575,0.029161121829380125
K4,4.0,,P-old,Queue,40,285699,0.0014600864702235474,0.0017578487777045015,0.00010800304262119416,0.0001831423850292074,-0.0013520834276023533,0.0013520834276023533,0.0013544035040319354,0.001659140420620099
K4,4.0,,P-old,Service,40,285699,0.0005183136322449913,0.0006295510018054051,0.012202186326766288,0.02539354792531574,0.011683872694521296,0.011683872694521296,0.011695714109817984,0.0253297723429164
K4,4.0,,P-old,On_time,40,285699,0.9980215998975315,0.0017777321891241362,0.9876898106306126,0.025513646894500926,-0.010331789266918912,0.010331789266918912,0.012214385127131,0.024263622102707275
K4,4.0,,P-joint,Queue,40,285699,0.0014600864702235474,0.0017578487777045015,0.00010800304262119416,0.0001831423850292074,-0.0013520834276023533,0.0013520834276023533,0.0013544035040319354,0.001659140420620099
K4,4.0,,P-joint,Service,40,285699,0.0005183136322449913,0.0006295510018054051,0.0021779932013782583,0.00446733577094799,0.0016596795691332668,0.0016596795691332668,0.0017193243913223202,0.0040415031166865616
K4,4.0,,P-joint,On_time,40,285699,0.9980215998975315,0.0017777321891241362,0.9977140037560005,0.0044517650743290844,-0.0003075961415309747,0.0003075961415309747,0.0027844463550926596,0.0038620726179757993
K5,5.0,,B1,Queue,40,355776,0.0036912641046786972,0.004797381516615531,0.011462482228765749,0.017784800271089165,0.007771218124087051,0.007771218124087051,0.008425079684812051,0.016750196397952964
K5,5.0,,B1,Service,40,355776,0.10367445767477323,0.06736121436085568,0.10592145715517867,0.09924531722725237,0.002246999480405437,0.002246999480405437,0.04771988027713879,0.04216091583259321
K5,5.0,,B1,On_time,40,355776,0.8926342782205481,0.06567674377583728,0.8826160606160556,0.09813442510703385,-0.010018217604492508,0.010018217604492508,0.05390610634969055,0.04203226665389618
K5,5.0,,P-old,Queue,40,355776,0.0036912641046786972,0.004797381516615531,0.0005882891608118459,0.0012069511631416954,-0.0031029749438668515,0.0031029749438668515,0.0031707004566793274,0.004463305824592227
K5,5.0,,P-old,Service,40,355776,0.10367445767477323,0.06736121436085568,0.18178074778119063,0.06748869733403566,0.0781062901064174,0.0781062901064174,0.07993643491036295,0.05526905618024955
K5,5.0,,P-old,On_time,40,355776,0.8926342782205481,0.06567674377583728,0.8176309630579975,0.06732756489845151,-0.07500331516255054,0.07500331516255054,0.07817161283575358,0.053900061284966036
K5,5.0,,P-joint,Queue,40,355776,0.0036912641046786972,0.004797381516615531,0.0005882891608118463,0.0012069511631416958,-0.0031029749438668507,0.0031029749438668507,0.003170700456679327,0.004463305824592227
K5,5.0,,P-joint,Service,40,355776,0.10367445767477323,0.06736121436085568,0.14849600556553572,0.0951053222544368,0.04482154789076248,0.04482154789076248,0.04839760775247372,0.050666114158490545
K5,5.0,,P-joint,On_time,40,355776,0.8926342782205481,0.06567674377583728,0.8509157052736525,0.09500978659564789,-0.04171857294689563,0.04171857294689563,0.046632783522541396,0.05121243303177756
K6,6.0,,B1,Queue,40,423166,0.07334252062364835,0.2092223142875115,0.06669681294047379,0.08498407931289846,-0.006645707683174559,0.006645707683174559,0.0692434887621242,0.12674767683036578
K6,6.0,,B1,Service,40,423166,0.5168281941189594,0.2995954038430357,0.5048409538665086,0.23034397817550534,-0.011987240252450793,0.011987240252450793,0.08781672756430425,0.05949640529003274
K6,6.0,,B1,On_time,40,423166,0.40982928525739226,0.26029135752889854,0.42846223319301757,0.1896119881462304,0.01863294793562531,0.01863294793562531,0.07852417767410018,0.0615355867832803
