scope,K,C,model,stage,n_runs,n_frames,observed_rate,observed_run_SD,predicted_rate,predicted_run_SD,signed_error,absolute_error,mean_run_absolute_error,run_absolute_error_SD
K5/C5,5.0,5.0,B1,Service,5,44241,0.12293074990499739,0.025403419202355983,0.045327360533229374,0.0007562643162975797,-0.07760338937176801,0.07760338937176801,0.077603389371768,0.025527050289306265
K5/C5,5.0,5.0,B1,On_time,5,44241,0.877046589773226,0.025390961290477573,0.9505001930047655,0.0006566464797233314,0.07345360323153949,0.07345360323153949,0.07345360323153946,0.025148790480767794
K5/C5,5.0,5.0,P-old,Queue,5,44241,2.2660321776569226e-05,5.067001988442759e-05,2.1574189964457458e-06,2.9278166514844936e-06,-2.050290278012348e-05,2.050290278012348e-05,2.2913360035511745e-05,4.7934481202062116e-05
K5/C5,5.0,5.0,P-old,Service,5,44241,0.12293074990499739,0.025403419202355983,0.16814338730484596,0.007050894190937805,0.04521263739984857,0.04521263739984857,0.045212637399848536,0.024662675025765527
K5/C5,5.0,5.0,P-old,On_time,5,44241,0.877046589773226,0.025390961290477573,0.8318544552761576,0.007050671444258451,-0.04519213449706838,0.04519213449706838,0.04519213449706838,0.0246430603824319
K5/C5,5.0,5.0,P-joint,Queue,5,44241,2.2660321776569226e-05,5.067001988442759e-05,2.157418996445746e-06,2.9278166514844953e-06,-2.050290278012348e-05,2.050290278012348e-05,2.2913360035511745e-05,4.7934481202062116e-05
K5/C5,5.0,5.0,P-joint,Service,5,44241,0.12293074990499739,0.025403419202355983,0.16425513805058045,0.0069230211835964684,0.04132438814558306,0.04132438814558306,0.041324388145583056,0.023604565548179406
K5/C5,5.0,5.0,P-joint,On_time,5,44241,0.877046589773226,0.025390961290477573,0.8357427045304231,0.006922641955620007,-0.04130388524280293,0.04130388524280293,0.04130388524280291,0.023585756230852874
K5/C6,5.0,6.0,B1,Queue,5,44126,4.5305244082002494e-05,6.20367603924755e-05,0.00830167771896485,0.001001712952120266,0.008256372474882848,0.008256372474882848,0.008256372474882848,0.0009876737377970965
K5/C6,5.0,6.0,B1,Service,5,44126,0.16135981361581803,0.02250123490906945,0.19414055391577353,0.0063254474671436845,0.03278074029995551,0.03278074029995551,0.03422898427099191,0.02186474202723646
K5/C6,5.0,6.0,B1,On_time,5,44126,0.8385948811401001,0.022480887674131297,0.7975577683652615,0.006706719891959582,-0.04103711277483857,0.04103711277483857,0.04103711277483839,0.023878128559804486
K5/C6,5.0,6.0,P-old,Queue,5,44126,4.5305244082002494e-05,6.20367603924755e-05,1.369674793824627e-05,1.746601303461605e-05,-3.1608496143756226e-05,3.1608496143756226e-05,5.662111118548542e-05,5.10813915019063e-05
K5/C6,5.0,6.0,P-old,Service,5,44126,0.16135981361581803,0.02250123490906945,0.2102043649289918,0.009712588131877926,0.04884455131317378,0.04884455131317378,0.04884455131317378,0.017060115027937355
K5/C6,5.0,6.0,P-old,On_time,5,44126,0.8385948811401001,0.022480887674131297,0.78978193832307,0.009722080209013587,-0.04881294281703008,0.04881294281703008,0.04881294281702999,0.017014310645490752
K5/C6,5.0,6.0,P-joint,Queue,5,44126,4.5305244082002494e-05,6.20367603924755e-05,1.3696747938246267e-05,1.7466013034616045e-05,-3.1608496143756226e-05,3.1608496143756226e-05,5.662111118548542e-05,5.10813915019063e-05
K5/C6,5.0,6.0,P-joint,Service,5,44126,0.16135981361581803,0.02250123490906945,0.2046021454985162,0.010137184318110386,0.04324233188269819,0.04324233188269819,0.04324233188269817,0.01542398339566943
K5/C6,5.0,6.0,P-joint,On_time,5,44126,0.8385948811401001,0.022480887674131297,0.7953841577535454,0.010148179985158367,-0.04321072338655463,0.04321072338655463,0.043210723386554475,0.015380267759866692
K5/C7,5.0,7.0,B1,Queue,5,44119,0.0,0.0,0.003906608374028187,0.0003653619769346846,0.003906608374028187,0.003906608374028187,0.003906608374028187,0.0003653619769346846
K5/C7,5.0,7.0,B1,Service,5,44119,0.15551387515507034,0.02994676490764038,0.22531986030000478,0.008320218032536554,0.06980598514493444,0.06980598514493444,0.06980598514493444,0.0350307821934808
K5/C7,5.0,7.0,B1,On_time,5,44119,0.8444861248449296,0.02994676490764038,0.770773531325967,0.008264130647910647,-0.07371259351896253,0.07371259351896253,0.07371259351896264,0.035094470858715233
K5/C7,5.0,7.0,P-old,Queue,5,44119,0.0,0.0,2.5387332012708794e-06,5.3482927708440284e-06,2.5387332012708794e-06,2.5387332012708794e-06,2.5387332012708794e-06,5.3482927708440284e-06
K5/C7,5.0,7.0,P-old,Service,5,44119,0.15551387515507034,0.02994676490764038,0.21090776032542377,0.009667395729516502,0.05539388517035343,0.05539388517035343,0.05539388517035343,0.03075577283607626
K5/C7,5.0,7.0,P-old,On_time,5,44119,0.8444861248449296,0.02994676490764038,0.7890897009413751,0.009669339293797657,-0.05539642390355448,0.05539642390355448,0.055396423903554634,0.030753580872462112
K5/C7,5.0,7.0,P-joint,Queue,5,44119,0.0,0.0,2.5387332012708803e-06,5.34829277084403e-06,2.5387332012708803e-06,2.5387332012708803e-06,2.5387332012708803e-06,5.34829277084403e-06
K5/C7,5.0,7.0,P-joint,Service,5,44119,0.15551387515507034,0.02994676490764038,0.20453752022589128,0.009192128872005672,0.04902364507082094,0.04902364507082094,0.04902364507082094,0.030031216806730685
K5/C7,5.0,7.0,P-joint,On_time,5,44119,0.8444861248449296,0.02994676490764038,0.7954599410409076,0.009194339440820572,-0.04902618380402202,0.04902618380402202,0.04902618380402215,0.03002902294437119
K5/C8,5.0,8.0,B1,Queue,5,44088,0.0,0.0,0.0055605604809976835,0.003974645314407844,0.0055605604809976835,0.0055605604809976835,0.0055605604809976835,0.003974645314407844
K5/C8,5.0,8.0,B1,Service,5,44088,0.18037559524277427,0.04225276067273794,0.2539532917348503,0.0776177931561168,0.07357769649207604,0.07357769649207604,0.07357769649207604,0.05450255043554359
K5/C8,5.0,8.0,B1,On_time,5,44088,0.8196244047572258,0.04225276067273795,0.740486147784152,0.08155756022782117,-0.07913825697307375,0.07913825697307375,0.07913825697307372,0.0577069444404651
K5/C8,5.0,8.0,P-old,Queue,5,44088,0.0,0.0,9.016910382584561e-07,1.90995381892213e-06,9.016910382584561e-07,9.016910382584561e-07,9.016910382584561e-07,1.90995381892213e-06
K5/C8,5.0,8.0,P-old,Service,5,44088,0.18037559524277427,0.04225276067273794,0.2672138078645675,0.13513381891598178,0.08683821262179323,0.08683821262179323,0.08683821262179321,0.10826672972929996
K5/C8,5.0,8.0,P-old,On_time,5,44088,0.8196244047572258,0.04225276067273795,0.7327852904443942,0.1351333193409767,-0.08683911431283153,0.08683911431283153,0.08683911431283145,0.10826645102268113
K5/C8,5.0,8.0,P-joint,Queue,5,44088,0.0,0.0,9.016910382584569e-07,1.90995381892213e-06,9.016910382584569e-07,9.016910382584569e-07,9.016910382584569e-07,1.90995381892213e-06
K5/C8,5.0,8.0,P-joint,Service,5,44088,0.18037559524277427,0.04225276067273794,0.26379768974986206,0.1378164506367708,0.08342209450708779,0.08342209450708779,0.08465801324141242,0.10944246165833967
K5/C8,5.0,8.0,P-joint,On_time,5,44088,0.8196244047572258,0.04225276067273795,0.7362014085590997,0.13781595209035585,-0.0834229961981261,0.0834229961981261,0.08465889768986704,0.10944217893970683
K6/C1,6.0,1.0,B1,Queue,5,53734,0.5401404479306461,0.33926520141325134,0.23658366214945098,0.09189230084862873,-0.3035567857811951,0.3035567857811951,0.3035567857811951,0.24849822628826124
K6/C1,6.0,1.0,B1,Service,5,53734,0.08992014630658372,0.06647530813760218,0.2845979706812435,0.015164230201013767,0.19467782437465975,0.19467782437465975,0.19467782437465972,0.0807342078716678
K6/C1,6.0,1.0,B1,On_time,5,53734,0.3699394057627702,0.27280429437543563,0.4788183671693055,0.10588134945939219,0.1088789614065353,0.1088789614065353,0.15026091444518083,0.12207760342869789
K6/C1,6.0,1.0,P-old,Queue,5,53734,0.5401404479306461,0.33926520141325134,0.5117481199718548,0.3272600297098037,-0.02839232795879132,0.02839232795879132,0.028392327958791413,0.021156034043996075
K6/C1,6.0,1.0,P-old,Service,5,53734,0.08992014630658372,0.06647530813760218,0.10451815508113524,0.0665399306612486,0.014598008774551516,0.014598008774551516,0.01459800877455152,0.004118959080161098
K6/C1,6.0,1.0,P-old,On_time,5,53734,0.3699394057627702,0.27280429437543563,0.38373372494701,0.2607322515254476,0.013794319184239845,0.013794319184239845,0.014890581191740592,0.017261276921944173
