fold,run,K,C,model,n,Brier,logloss,true_class_exact_zero,Queue_observed,Queue_predicted,Queue_absolute_error,Service_observed,Service_predicted,Service_absolute_error,On_time_observed,On_time_predicted,On_time_absolute_error
2,186,5,6,P-old,8829,0.2879855786730695,0.4574072689391248,1,0.00011326311020500623,9.947464136767976e-08,0.00011316363556363854,0.16853550798504927,0.21384969980130974,0.04531419181626048,0.8313512289047458,0.786150200724049,0.04520102818069682
2,191,5,7,P-old,8820,0.23293062708096823,0.3886196545989559,0,0.0,0.0,0.0,0.11564625850340136,0.20317611036149244,0.08752985185809108,0.8843537414965986,0.7968238896385076,0.08752985185809103
2,196,5,8,P-old,8806,0.5521846390405224,0.8676834346728888,0,0.0,1.1712741912430722e-08,1.1712741912430722e-08,0.23790597320009085,0.5082517690355169,0.27034579583542606,0.7620940267999091,0.49174821925174117,0.27034580754816795
2,201,6,1,P-old,10760,0.05275342652441023,0.0897549746144179,0,1.0,0.9369332369164372,0.06306676308356285,0.0,0.01884708374044617,0.01884708374044617,0.0,0.04421967934311661,0.04421967934311661
2,206,6,2,P-old,10754,0.07503027479180906,0.14273461541374166,0,0.01627301469220755,0.003173134674792614,0.013099880017414937,0.2976566858843221,0.32132213578262997,0.023665449898307878,0.6860702994234703,0.6755047295425775,0.010565569880892856
2,211,6,3,P-old,10732,0.21164409930326267,0.321176045583676,0,0.013045098770033545,0.0012374778540076823,0.011807620916025862,0.3439247111442415,0.43181865749304255,0.08789394634880104,0.6430301900857249,0.5669438646529498,0.07608632543277516
2,216,6,4,P-old,10739,0.035344876313403946,0.08222252586241566,0,0.009404972530030729,0.0021764329816916115,0.007228539548339117,0.32628736381413537,0.3124574808973359,0.013829882916799485,0.6643076636558338,0.6853660861209725,0.02105842246513867
2,221,6,5,P-old,10432,0.35254499815447976,0.5328456075182703,0,0.011407208588957055,0.017908041147090086,0.006500832558133031,0.42925613496932513,0.3983452199490024,0.030910915020322727,0.5593366564417178,0.5837467389039074,0.024410082462189564
2,226,6,6,P-old,10440,0.14099816726957512,0.22768370388011366,0,9.578544061302682e-05,1.1744043223220441e-05,8.404139738980638e-05,0.8788314176245211,0.8659988935475031,0.01283252407701796,0.1210727969348659,0.1339893624092737,0.012916565474407796
2,231,6,7,P-old,10399,0.1252626301989126,0.20531475520385803,0,9.616309260505818e-05,1.4999964914338625e-06,9.466309611362431e-05,0.9067218001730936,0.8997389206299378,0.0069828795431557955,0.09318203673430138,0.10025957937357079,0.007077542639269407
2,236,6,8,P-old,10415,0.12991628239124614,0.21073087171505278,0,9.601536245799327e-05,5.616128656745879e-06,9.039923380124739e-05,0.8982237157945271,0.8900570221453602,0.00816669364916689,0.10168026884301488,0.10993736172598306,0.008257092882968178
2,241,7,1,P-old,12519,0.0,-0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,246,7,2,P-old,12536,0.028188021319296735,0.0568202544264615,0,0.6901723037651564,0.6827788425103225,0.007393461254833866,0.10338225909380983,0.11552586121324196,0.012143602119432134,0.20644543714103383,0.20169529627643554,0.004750140864598296
2,251,7,3,P-old,12523,0.1737028888914985,0.26756932226039354,0,0.13950331390241955,0.1293384215391919,0.010164892363227651,0.4036572706220554,0.3969987668168976,0.006658503805157812,0.45683941547552503,0.47366281164391055,0.016823396168385518
2,256,7,4,P-old,12307,0.10161545856850022,0.18854270595172085,0,0.024295116600308767,0.015771676635792656,0.00852343996451611,0.4303242057365727,0.4399014037905617,0.009577198053988989,0.5453806776631186,0.5443269195736457,0.0010537580894729448
2,261,7,5,P-old,11668,0.4080132110375065,0.6077646226715753,0,0.0804765169694892,0.08282520703428048,0.002348690064791284,0.6078162495714775,0.5279371749865109,0.07987907458496657,0.31170723345903323,0.3892376179792087,0.07753038452017547
2,266,7,6,P-old,11365,0.23383335542251596,0.37110983693815114,0,0.08913330400351958,0.07925726945575566,0.009876034547763923,0.8418829740431149,0.7781823910061736,0.06370058303694126,0.06898372195336559,0.14256033953807068,0.07357661758470509
2,271,7,7,P-old,11486,0.061642240594939286,0.12748585542114368,0,0.00034825004353125546,0.00011901664831600494,0.00022923339521525052,0.9666550583318823,0.9751287636017183,0.00847370526983604,0.032996691624586454,0.024752219749965772,0.008244471874620681
2,276,7,8,P-old,11337,0.07542528235753146,0.14973242437079418,0,8.820675663755844e-05,1.9783828810477592e-05,6.842292782708085e-05,0.9585428243803475,0.9672232315536712,0.008680407173323634,0.04136896886301491,0.03275698461751836,0.00861198424549655
2,1,1,1,P-joint,1798,0.0022084461057705596,0.007640117657345821,0,0.0005561735261401557,6.184000290648014e-07,0.000555555126111091,0.0005561735261401557,0.000550221425860407,5.952100279748738e-06,0.9988876529477196,0.9994491601741105,0.0005615072263908116
2,6,1,2,P-joint,1798,3.6568795190217257e-10,3.868064635445624e-07,0,0.0,3.0937200730922303e-07,3.0937200730922303e-07,0.0005561735261401557,0.0005559414971346738,2.3202900548190217e-07,0.9994438264738599,0.9994437491308581,7.734300178086073e-08
2,11,1,3,P-joint,1798,0.0011101834044795675,0.0038571148360401868,0,0.0,0.0,0.0,0.0005561735261401557,5.411752408925619e-07,0.0005556323508992631,0.9994438264738599,0.9999994588247592,0.0005556323508992822
2,16,1,4,P-joint,1799,0.001111110681953142,0.004551414405821163,0,0.0,0.0,0.0,0.0005558643690939411,3.0911406594964053e-07,0.0005555552550279915,0.9994441356309061,0.999999690885934,0.0005555552550279286
2,21,1,5,P-joint,1798,0.0011086764281959072,0.003696489245698609,0,0.0,0.0,0.0,0.0005561735261401557,0.00014037775272098,0.00041579577341917576,0.9994438264738599,0.9998596222472794,0.0004157957734195472
2,26,1,6,P-joint,1795,3.454242935717348e-10,3.1027740376916685e-07,0,0.0,0.0,0.0,0.0,3.101910156274234e-07,3.101910156274234e-07,1.0,0.9999996898089843,3.1019101565110674e-07
2,31,1,7,P-joint,1796,0.001112965709543571,0.004558165092967617,0,0.0,0.0,0.0,0.0005567928730512249,3.1010463550611244e-07,0.0005564827684157188,0.9994432071269488,0.9999996898953645,0.0005564827684156892
2,36,1,8,P-joint,1796,0.0011126560795779673,0.004332637529613387,0,0.0,0.0,0.0,0.0005567928730512249,4.6502745522095623e-07,0.0005563278455960039,0.9994432071269488,0.9999995349725448,0.0005563278455960052
2,41,2,1,P-joint,3592,0.0012981953465898781,0.004110420155263126,0,0.0005567928730512249,0.00011135857461024498,0.0004454342984409799,0.00027839643652561246,0.0001770664014675096,0.00010133003505810286,0.9991648106904232,0.9997115750239223,0.0005467643334990946
2,46,2,2,P-joint,3588,0.0005574187074313488,0.009627036711513352,1,0.0,0.0,0.0,0.0,0.00027955037239952543,0.00027955037239952543,1.0,0.9997204496276005,0.0002795503723994619
2,51,2,3,P-joint,3592,0.0005566396799530103,0.00247264020718139,0,0.00027839643652561246,3.877117701073915e-08,0.0002783576653486017,0.00027839643652561246,0.0005567289561996244,0.00027833251967401194,0.9994432071269488,0.9994432322726233,2.5145674542592644e-08
2,56,2,4,P-joint,3593,0.0011083152376604336,0.011137348842144451,1,0.0,1.591303336310662e-07,1.591303336310662e-07,0.00027831895352073476,0.0002771558989719644,1.1630545487703288e-06,0.9997216810464793,0.9997226849706944,1.0039242150927663e-06
2,61,2,5,P-joint,3588,1.0836698723871995e-11,3.886311105034112e-08,0,0.0,3.88604016238052e-08,3.88604016238052e-08,0.0002787068004459309,0.00027866794004430707,3.8860401623810534e-08,0.999721293199554,0.999721293199554,0.0
2,66,2,6,P-joint,3581,2.5055672234816706e-10,1.8710326039771516e-07,0,0.0,0.0,0.0,0.0,1.8704059323290875e-07,1.8704059323290875e-07,1.0,0.9999998129594068,1.87040593235821e-07
2,71,2,7,P-joint,3578,7.115576384323092e-11,1.3081802640674897e-07,0,0.0,3.9045228587167146e-08,3.9045228587167146e-08,0.00027948574622694243,0.0002795384560036826,5.2709776740154576e-08,0.9997205142537731,0.9997204224987678,9.175500526037439e-08
2,76,2,8,P-joint,3579,0.0005578656722998532,0.001975471977278525,0,0.0,0.0,0.0,0.0,0.0002791701450117183,0.0002791701450117183,1.0,0.9997208298549882,0.0002791701450117756
2,81,3,1,P-joint,5380,0.004057886527526245,0.012618315903644652,0,0.0018587360594795538,9.67968400040297e-05,0.001761939219475524,0.0003717472118959108,0.00017801111284861563,0.00019373609904729515,0.9977695167286246,0.9997251920471474,0.0019556753185228093
2,86,3,2,P-joint,5382,0.0021088401924778113,0.006062108364790813,0,0.0009290226681531029,7.961514469407021e-06,0.0009210611536836959,0.0001858045336306206,9.682923003332861e-05,8.897530359729198e-05,0.9988851727982163,0.9998952092554974,0.0010100364572810383
2,91,3,3,P-joint,5380,0.002224441126821789,0.00803306132530461,0,0.0007434944237918215,1.4688101618162233e-06,0.0007420256136300053,0.0003717472118959108,0.0005570979807721248,0.00018535076887621398,0.9988847583643122,0.9994414332090659,0.0005566748447536352
2,96,3,4,P-joint,5375,0.0008172546151802961,0.0028817378188753617,0,0.00037209302325581393,2.3352032978259906e-07,0.0003718595029260313,0.00037209302325581393,0.00045942957412661904,8.733655087080511e-05,0.9992558139534884,0.9995403369055436,0.0002845229520551662
2,101,3,5,P-joint,5365,0.00015493570639846986,0.00019287866911537756,0,0.0,0.0,0.0,0.0003727865796831314,0.0004929606213423877,0.00012017404165925625,0.9996272134203169,0.9995070393786576,0.00012017404165931556
2,106,3,6,P-joint,5354,0.0003655636655220743,0.0008466775274994518,0,0.0,0.0,0.0,0.00018677624206200972,0.0003716082263141589,0.0001848319842521492,0.999813223757938,0.999628391773686,0.00018483198425200964
2,111,3,7,P-joint,5353,0.00037168655586049243,0.0011124079215713116,0,0.0,0.0,0.0,0.00018681113394358303,0.0003731567864616613,0.00018634565251807826,0.9998131888660564,0.9996268432135383,0.00018634565251807178
2,116,3,8,P-joint,5348,0.0003708297731782263,0.0010184556886967998,0,0.0,1.2552572933206505e-06,1.2552572933206505e-06,0.00018698578908002991,0.00037557062996580845,0.00018858484088577854,0.99981301421092,0.9996231741127408,0.00018984009817912817
2,121,4,1,P-joint,7172,0.01020044246802812,0.027163677855040404,0,0.005158951477969883,8.265375183178586e-05,0.005076297726138097,0.0002788622420524261,0.00036848774586634446,8.962550381391834e-05,0.9945621862799777,0.9995488585023019,0.004986672222324184
2,126,4,2,P-joint,7174,0.007191352780345758,0.019054680165311748,0,0.003345413994981879,2.0571241933833044e-05,0.003324842753048046,0.00027878449958182325,0.00033758365642787194,5.8799156846048686e-05,0.9963758015054363,0.9996418451016383,0.003266043596202084
2,131,4,3,P-joint,7173,0.004643432668234329,0.015001794452307211,1,0.002369998605883173,0.0005383259575733363,0.0018316726483098367,0.0005576467307960407,0.0001297998509880588,0.00042784687980798196,0.9970723546633208,0.9993318741914387,0.0022595195281178704
