fold,service_lookup_id,K,C,A_start,level,key,training_samples,training_runs
1,156,5,5,2,KCA_start,"(5, 5, 2)",7082,4
1,157,5,5,3,KCA_start,"(5, 5, 3)",7087,4
1,158,5,5,4,KCA_start,"(5, 5, 4)",7081,4
1,159,5,6,0,KCA_start,"(5, 6, 0)",7054,4
1,160,5,6,1,KCA_start,"(5, 6, 1)",7059,4
1,161,5,6,2,KCA_start,"(5, 6, 2)",7065,4
1,162,5,6,3,KCA_start,"(5, 6, 3)",7067,4
1,163,5,6,4,KCA_start,"(5, 6, 4)",7052,4
1,164,5,6,5,CA_start,"(6, 5)",20683,12
1,165,5,7,0,KCA_start,"(5, 7, 0)",7054,4
1,166,5,7,1,KCA_start,"(5, 7, 1)",7056,4
1,167,5,7,2,KCA_start,"(5, 7, 2)",7061,4
1,168,5,7,3,KCA_start,"(5, 7, 3)",7065,4
1,169,5,7,4,KCA_start,"(5, 7, 4)",7057,4
1,170,5,7,5,CA_start,"(7, 5)",14717,13
1,171,5,7,6,CA_start,"(7, 6)",8824,10
1,172,5,8,0,KCA_start,"(5, 8, 0)",7047,4
1,173,5,8,1,KCA_start,"(5, 8, 1)",7050,4
1,174,5,8,2,KCA_start,"(5, 8, 2)",7050,4
1,175,5,8,3,KCA_start,"(5, 8, 3)",7074,4
1,176,5,8,4,KCA_start,"(5, 8, 4)",7035,4
1,177,5,8,5,CA_start,"(8, 5)",14506,11
1,178,5,8,6,CA_start,"(8, 6)",7381,11
1,179,5,8,7,CA_start,"(8, 7)",1175,6
1,180,6,1,0,KCA_start,"(6, 1, 0)",42990,4
1,181,6,2,0,KCA_start,"(6, 2, 0)",7030,4
1,182,6,2,1,KCA_start,"(6, 2, 1)",35959,4
1,183,6,3,0,KCA_start,"(6, 3, 0)",7068,4
1,184,6,3,1,KCA_start,"(6, 3, 1)",7075,4
1,185,6,3,2,KCA_start,"(6, 3, 2)",28809,4
1,186,6,4,0,KCA_start,"(6, 4, 0)",7073,4
1,187,6,4,1,KCA_start,"(6, 4, 1)",7086,4
1,188,6,4,2,KCA_start,"(6, 4, 2)",7094,4
1,189,6,4,3,KCA_start,"(6, 4, 3)",21641,4
1,190,6,5,0,KCA_start,"(6, 5, 0)",6925,4
1,191,6,5,1,KCA_start,"(6, 5, 1)",6976,4
1,192,6,5,2,KCA_start,"(6, 5, 2)",6984,4
1,193,6,5,3,KCA_start,"(6, 5, 3)",6994,4
1,194,6,5,4,KCA_start,"(6, 5, 4)",13965,4
1,195,6,6,0,KCA_start,"(6, 6, 0)",6931,4
1,196,6,6,1,KCA_start,"(6, 6, 1)",6944,4
1,197,6,6,2,KCA_start,"(6, 6, 2)",6953,4
1,198,6,6,3,KCA_start,"(6, 6, 3)",6964,4
1,199,6,6,4,KCA_start,"(6, 6, 4)",6961,4
1,200,6,6,5,KCA_start,"(6, 6, 5)",6964,4
1,201,6,7,0,KCA_start,"(6, 7, 0)",6918,4
1,202,6,7,1,KCA_start,"(6, 7, 1)",6929,4
1,203,6,7,2,KCA_start,"(6, 7, 2)",6929,4
1,204,6,7,3,KCA_start,"(6, 7, 3)",6939,4
1,205,6,7,4,KCA_start,"(6, 7, 4)",6934,4
1,206,6,7,5,KCA_start,"(6, 7, 5)",6939,4
1,207,6,7,6,CA_start,"(7, 6)",8824,10
1,208,6,8,0,KCA_start,"(6, 8, 0)",6918,4
1,209,6,8,1,KCA_start,"(6, 8, 1)",6934,4
1,210,6,8,2,KCA_start,"(6, 8, 2)",6940,4
1,211,6,8,3,KCA_start,"(6, 8, 3)",6941,4
1,212,6,8,4,KCA_start,"(6, 8, 4)",6944,4
1,213,6,8,5,KCA_start,"(6, 8, 5)",6928,4
1,214,6,8,6,CA_start,"(8, 6)",7381,11
1,215,6,8,7,CA_start,"(8, 7)",1175,6
1,216,7,1,0,KCA_start,"(7, 1, 0)",50130,4
1,217,7,2,0,KCA_start,"(7, 2, 0)",1954,4
1,218,7,2,1,KCA_start,"(7, 2, 1)",48182,4
1,219,7,3,0,KCA_start,"(7, 3, 0)",4609,4
1,220,7,3,1,KCA_start,"(7, 3, 1)",6868,4
1,221,7,3,2,KCA_start,"(7, 3, 2)",38636,4
1,222,7,4,0,KCA_start,"(7, 4, 0)",5713,4
1,223,7,4,1,KCA_start,"(7, 4, 1)",6521,4
1,224,7,4,2,KCA_start,"(7, 4, 2)",7010,4
1,225,7,4,3,KCA_start,"(7, 4, 3)",30341,4
1,226,7,5,0,KCA_start,"(7, 5, 0)",4595,4
1,227,7,5,1,KCA_start,"(7, 5, 1)",6187,4
1,228,7,5,2,KCA_start,"(7, 5, 2)",7151,4
1,229,7,5,3,KCA_start,"(7, 5, 3)",7049,4
1,230,7,5,4,KCA_start,"(7, 5, 4)",21823,4
1,231,7,6,0,KCA_start,"(7, 6, 0)",3964,4
1,232,7,6,1,KCA_start,"(7, 6, 1)",7289,4
1,233,7,6,2,KCA_start,"(7, 6, 2)",6969,4
1,234,7,6,3,KCA_start,"(7, 6, 3)",6830,4
1,235,7,6,4,KCA_start,"(7, 6, 4)",6780,4
1,236,7,6,5,KCA_start,"(7, 6, 5)",13705,4
1,237,7,7,0,KCA_start,"(7, 7, 0)",2700,4
1,238,7,7,1,KCA_start,"(7, 7, 1)",4967,4
1,239,7,7,2,KCA_start,"(7, 7, 2)",6425,4
1,240,7,7,3,KCA_start,"(7, 7, 3)",7196,4
1,241,7,7,4,KCA_start,"(7, 7, 4)",7696,4
1,242,7,7,5,KCA_start,"(7, 7, 5)",7772,4
1,243,7,7,6,KCA_start,"(7, 7, 6)",8802,4
1,244,7,8,0,KCA_start,"(7, 8, 0)",2739,4
1,245,7,8,1,KCA_start,"(7, 8, 1)",5115,4
1,246,7,8,2,KCA_start,"(7, 8, 2)",6605,4
1,247,7,8,3,KCA_start,"(7, 8, 3)",7273,4
1,248,7,8,4,KCA_start,"(7, 8, 4)",7621,4
1,249,7,8,5,KCA_start,"(7, 8, 5)",7571,4
1,250,7,8,6,KCA_start,"(7, 8, 6)",7371,4
1,251,7,8,7,KCA_start,"(7, 8, 7)",1170,4
2,0,1,1,0,KCA_start,"(1, 1, 0)",7195,4
2,1,1,2,0,KCA_start,"(1, 2, 0)",7186,4
2,2,1,2,1,CA_start,"(2, 1)",156418,28
2,3,1,3,0,KCA_start,"(1, 3, 0)",7186,4
2,4,1,3,1,CA_start,"(3, 1)",42320,27
2,5,1,3,2,CA_start,"(3, 2)",110986,25
2,6,1,4,0,KCA_start,"(1, 4, 0)",7187,4
2,7,1,4,1,CA_start,"(4, 1)",42190,27
2,8,1,4,2,CA_start,"(4, 2)",35582,22
2,9,1,4,3,CA_start,"(4, 3)",73818,21
2,10,1,5,0,KCA_start,"(1, 5, 0)",7183,4
2,11,1,5,1,CA_start,"(5, 1)",41725,26
2,12,1,5,2,CA_start,"(5, 2)",35509,23
2,13,1,5,3,CA_start,"(5, 3)",28217,18
2,14,1,5,4,CA_start,"(5, 4)",42846,16
2,15,1,6,0,KCA_start,"(1, 6, 0)",7176,4
2,16,1,6,1,CA_start,"(6, 1)",42687,24
2,17,1,6,2,CA_start,"(6, 2)",35284,23
2,18,1,6,3,CA_start,"(6, 3)",27969,22
2,19,1,6,4,CA_start,"(6, 4)",20806,15
2,20,1,6,5,CA_start,"(6, 5)",20704,13
2,21,1,7,0,KCA_start,"(1, 7, 0)",7176,4
2,22,1,7,1,CA_start,"(7, 1)",40308,24
2,23,1,7,2,CA_start,"(7, 2)",34756,21
2,24,1,7,3,CA_start,"(7, 3)",28359,23
2,25,1,7,4,CA_start,"(7, 4)",21684,15
2,26,1,7,5,CA_start,"(7, 5)",14706,13
2,27,1,7,6,CA_start,"(7, 6)",8737,9
2,28,1,8,0,KCA_start,"(1, 8, 0)",7177,4
2,29,1,8,1,CA_start,"(8, 1)",40435,24
2,30,1,8,2,CA_start,"(8, 2)",34748,21
2,31,1,8,3,CA_start,"(8, 3)",28349,21
2,32,1,8,4,CA_start,"(8, 4)",21631,15
2,33,1,8,5,CA_start,"(8, 5)",14532,11
2,34,1,8,6,CA_start,"(8, 6)",7445,10
2,35,1,8,7,CA_start,"(8, 7)",1294,5
