scope,model,stage,runs,observed_rate_mean,predicted_rate_mean,signed_rate_gap,absolute_mean_rate_gap,mean_run_absolute_error,SD_run_absolute_error
K6/C8,B0,Service,5,0.8860840739736355,0.8066549153263567,-0.07942915864727884,0.07942915864727884,0.07942915864727881,0.01377299377561784
K6/C8,B0,On_time,5,0.1138967229538729,0.18461514704631515,0.07071842409244225,0.07071842409244225,0.07071842409244225,0.015067402285616848
K6/C8,B1,Queue,5,1.9203072491598654e-05,0.008821833416406143,0.008802630343914545,0.008802630343914545,0.008802630343914545,0.0013646782086085235
K6/C8,B1,Service,5,0.8860840739736355,0.7911937105379906,-0.09489036343564494,0.09489036343564494,0.09489036343564487,0.012700382086427675
K6/C8,B1,On_time,5,0.1138967229538729,0.19998445604560317,0.08608773309173026,0.08608773309173026,0.08608773309173026,0.013920348936346512
K6/C8,P,Queue,5,1.9203072491598654e-05,1.1945727576449742e-06,-1.800849973395368e-05,1.800849973395368e-05,1.815119378654528e-05,4.038799564460115e-05
K6/C8,P,Service,5,0.8860840739736355,0.8945020308330858,0.008417956859450237,0.008417956859450237,0.011684634319116838,0.00665498251477789
K6/C8,P,On_time,5,0.1138967229538729,0.1054967745941567,-0.008399948359716206,0.008399948359716206,0.011702785512903458,0.00664317651776603
K7/C1,B0,Queue,5,1.0,0.7142834628083979,-0.28571653719160206,0.28571653719160206,0.28571653719160206,0.010965948348662874
K7/C1,B0,Service,5,0.0,0.13042532142853908,0.13042532142853908,0.13042532142853908,0.13042532142853908,0.007036547610689928
K7/C1,B0,On_time,5,0.0,0.15529121576306298,0.15529121576306298,0.15529121576306298,0.15529121576306298,0.0057832604832716485
K7/C1,B1,Queue,5,1.0,0.9859592618137606,-0.01404073818623941,0.01404073818623941,0.014040738186239455,0.0022184510346214925
K7/C1,B1,Service,5,0.0,0.003733022126295126,0.003733022126295126,0.003733022126295126,0.003733022126295126,0.0007261838379786476
K7/C1,B1,On_time,5,0.0,0.010307716059944357,0.010307716059944357,0.010307716059944357,0.010307716059944357,0.0015251623699923179
K7/C1,P,Queue,5,1.0,1.0,0.0,0.0,0.0,0.0
K7/C1,P,Service,5,0.0,0.0,0.0,0.0,0.0,0.0
K7/C1,P,On_time,5,0.0,0.0,0.0,0.0,0.0,0.0
K7/C2,B0,Queue,5,0.7401744463631277,0.6202355544774505,-0.11993889188567719,0.11993889188567719,0.20102785799740955,0.11442956131960072
K7/C2,B0,Service,5,0.08673098936672494,0.154670275996694,0.06793928662996906,0.06793928662996906,0.09655411481903453,0.0520540643391929
K7/C2,B0,On_time,5,0.17309456427014744,0.22509416952585548,0.05199960525570804,0.05199960525570804,0.10447374317837499,0.06609499505554799
K7/C2,B1,Queue,5,0.7401744463631277,0.5818845087133488,-0.15828993764977883,0.15828993764977883,0.20111382981823267,0.11443728853652681
K7/C2,B1,Service,5,0.08673098936672494,0.15719378686268393,0.07046279749595899,0.07046279749595899,0.08611398497353055,0.05105328368860242
K7/C2,B1,On_time,5,0.17309456427014744,0.26092170442396717,0.08782714015381973,0.08782714015381973,0.11499984484470212,0.06368308107674724
K7/C2,P,Queue,5,0.7401744463631277,0.7355867093179848,-0.004587737045142926,0.004587737045142926,0.0045877370451428475,0.0030225609162968558
K7/C2,P,Service,5,0.08673098936672494,0.0957824390777414,0.009051449711016457,0.009051449711016457,0.009051449711016459,0.005424234074589269
K7/C2,P,On_time,5,0.17309456427014744,0.16863085160427382,-0.004463712665873615,0.004463712665873615,0.005360907875644092,0.005301476396921122
K7/C3,B0,Queue,5,0.21902903213450314,0.26630000065429493,0.04727096851979179,0.04727096851979179,0.0973207210272005,0.06866874512500455
K7/C3,B0,Service,5,0.3674199523920759,0.3907242433288084,0.023304290936732475,0.023304290936732475,0.05732877128000717,0.04408636282382572
K7/C3,B0,On_time,5,0.41355101547342094,0.3429757560168967,-0.07057525945652421,0.07057525945652421,0.07057525945652429,0.09523578271577965
K7/C3,B1,Queue,5,0.21902903213450314,0.2246781033948249,0.00564907126032177,0.00564907126032177,0.07713879463677116,0.0586757769336499
