fold,run,K,C,A_start,training_n,training_runs,test_n,train_W_q25_ns,train_W_q75_ns,test_low_n,test_high_n,test_low_service_mean_ms,test_high_service_mean_ms,high_minus_low_ms,heldout_spearman_W_S,heldout_service_CDF_mean
2,231,6,7,1,6934,4,1733,44522.0,128957.5,417,429,24.604164697841725,25.409476918414917,0.8053122205731924,0.11830159017810028,0.5310512388589739
2,231,6,7,2,6936,4,1730,48239.5,219324.75,447,403,25.306200899328857,25.252993104218366,-0.053207795110491674,-0.03326790572808082,0.5520774579808122
2,231,6,7,3,6943,4,1735,47400.0,267567.0,415,428,25.151347469879518,24.741003049065423,-0.41034442081409495,-0.15063590964125392,0.541461327126071
2,231,6,7,4,6938,4,1732,47695.25,295704.0,415,424,24.86195284819277,24.341369375,-0.5205834731927723,-0.17902611245110814,0.5511874557695777
2,231,6,7,5,6933,4,1736,45861.0,267707.0,445,404,24.180906256179775,23.84476425,-0.33614200617977374,-0.11485453461690137,0.5327661368423641
2,236,6,8,0,6915,4,1732,44092.0,88112.5,352,467,22.853236431818182,24.532187464668095,1.6789510328499127,0.1675373743607388,0.5436123899746008
2,236,6,8,1,6934,4,1736,48272.0,134406.5,382,441,24.892406363874347,25.309473412698413,0.417067048824066,0.04967449708318041,0.5235617686973558
2,236,6,8,2,6940,4,1738,47210.75,215665.75,405,425,25.246347718518518,25.068783910588234,-0.1775638079302837,-0.062087281968643895,0.5359052440282149
2,236,6,8,3,6943,4,1733,46917.0,268290.5,409,414,25.18026795843521,24.720181173913044,-0.460086784522165,-0.14193238520646614,0.5327427966528867
2,236,6,8,4,6945,4,1735,48555.0,274316.0,407,455,24.807381486486488,24.404567707692305,-0.402813778794183,-0.1500748945877588,0.5389613326611105
2,236,6,8,5,6930,4,1736,43412.5,240519.75,469,427,24.217452396588484,23.879220953161592,-0.33823144342689204,-0.1316110759570085,0.5340361315591731
2,241,7,1,0,50138,4,12519,3026817826.25,7812058742.25,3391,2525,5.518207357416691,4.775941950891089,-0.7422654065256022,-0.26144622192140426,0.468566666536345
2,246,7,2,0,1502,3,452,46375.5,158710.0,110,120,8.830692372727274,9.050240641666667,0.21954826893939305,0.12834582058940383,0.5111311761309405
2,246,7,2,1,48618,4,12084,22597967.5,198071745.5,3841,3310,8.579166517833897,9.325502610574018,0.7463360927401208,0.1604870262565288,0.4887805140641451
2,251,7,3,0,4521,4,1346,46973.0,162770.0,363,342,11.978817,12.851784763157895,0.8729677631578951,0.20768824785745854,0.5062117251735586
2,251,7,3,1,6604,4,1844,50912.75,242481.5,481,444,12.515429024948025,12.44348083108108,-0.07194819386694462,-0.006015064921165462,0.5081467256418577
2,251,7,3,2,39004,4,9333,8909182.0,21725607.25,2606,1180,12.493475006523408,9.84250541779661,-2.650969588726797,-0.27867666691677956,0.46929250322750404
2,256,7,4,0,5648,4,1440,46233.75,157379.75,420,327,14.93156190952381,16.598312327217126,1.6667504176933168,0.24388187616342075,0.4895674722615675
2,256,7,4,1,6457,4,1665,50240.0,272473.0,447,408,15.783857136465324,16.643380475490197,0.8595233390248733,0.14928906687002283,0.4803714664021308
2,256,7,4,2,7018,4,1757,53031.0,354757.25,466,441,16.23025697639485,16.151441916099774,-0.07881506029507435,-0.016712451484040013,0.47863506686521834
2,256,7,4,3,30616,4,7445,1606523.25,14295616.0,1886,1570,16.551879812831388,14.222031481528662,-2.329848331302726,-0.3976273913293662,0.481042666691001
2,261,7,5,0,4640,4,1055,47729.75,187296.25,202,295,17.428437757425744,20.72092233898305,3.292484581557307,0.30857974591525344,0.5143352672005229
2,261,7,5,1,6214,4,1496,54329.25,347514.5,327,409,20.02023157492355,21.87894149633252,1.8587099214089697,0.2591287436166575,0.5390261811779163
2,261,7,5,2,7141,4,1812,57111.0,470433.0,392,450,20.519641997448982,21.533866097777775,1.0142241003287928,0.14569719678022577,0.5193039263056076
2,261,7,5,3,7056,4,1774,53257.5,451981.25,389,474,21.132577727506426,21.500262,0.36768427249357316,0.057422592163042685,0.5381788660597647
2,261,7,5,4,21774,4,5531,404354.0,16365845.75,1335,1486,21.394384722097378,11.234489577388963,-10.159895144708415,-0.8118293076723563,0.509406619971766
2,266,7,6,0,3937,4,977,47010.0,169160.0,187,261,23.258970588235293,24.79488264367816,1.5359120554428678,0.14392826464741984,0.5186308202708524
2,266,7,6,1,7287,4,1826,50399.0,239562.0,432,481,24.759067131944445,25.676717089397087,0.9176499574526424,0.10364687993074176,0.5372268669723619
2,266,7,6,2,7007,4,1741,55153.5,415782.5,416,430,25.517746959134616,25.859088755813953,0.3413417966793375,0.006802385515162302,0.5137862875616219
2,266,7,6,3,6847,4,1700,57551.5,459170.0,423,461,25.66686093144208,25.337591997830806,-0.3292689336112744,-0.10741768933434549,0.5179633845651594
2,266,7,6,4,6797,4,1681,53232.0,428816.0,396,448,25.25280555808081,25.16521885267857,-0.0875867054022379,-0.06109143103394507,0.5210908126262443
2,266,7,6,5,13741,4,3440,95889.0,18325992.0,834,969,24.86993648321343,8.366256818369452,-16.50367966484398,-0.8420431757304414,0.4994191546940661
