run_index,K,C,valid_slot,run_id,acquisition_phase,source_artifact,actual_round_id
71,2,7,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k2/run02,2.0
72,2,7,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k2/run03,3.0
73,2,7,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k2/run04,4.0
74,2,7,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k2/run05,5.0
75,2,8,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k2/run01,1.0
76,2,8,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k2/run02,2.0
77,2,8,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k2/run03,3.0
78,2,8,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k2/run04,4.0
79,2,8,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k2/run05,5.0
80,3,1,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k3/run01,1.0
81,3,1,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k3/run02,2.0
82,3,1,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k3/run03,3.0
83,3,1,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k3/run04,4.0
84,3,1,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k3/run05,5.0
85,3,2,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k3/run01,1.0
86,3,2,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k3/run02,2.0
87,3,2,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k3/run03,3.0
88,3,2,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k3/run04,4.0
89,3,2,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k3/run05,5.0
90,3,3,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k3/run01,1.0
91,3,3,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k3/run02,2.0
92,3,3,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k3/run03,3.0
93,3,3,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k3/run04,4.0
94,3,3,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k3/run05,5.0
95,3,4,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k3/run01,1.0
96,3,4,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k3/run02,2.0
97,3,4,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k3/run03,3.0
98,3,4,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k3/run04,4.0
99,3,4,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k3/run05,5.0
100,3,5,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k3/run01,1.0
101,3,5,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k3/run02,2.0
102,3,5,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k3/run03,3.0
103,3,5,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k3/run04,4.0
104,3,5,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k3/run05,5.0
105,3,6,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k3/run01,1.0
106,3,6,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k3/run02,2.0
107,3,6,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k3/run03,3.0
108,3,6,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k3/run04,4.0
109,3,6,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k3/run05,5.0
110,3,7,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k3/run01,1.0
111,3,7,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k3/run02,2.0
112,3,7,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k3/run03,3.0
113,3,7,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k3/run04,4.0
114,3,7,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k3/run05,5.0
115,3,8,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k3/run01,1.0
116,3,8,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k3/run02,2.0
117,3,8,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k3/run03,3.0
118,3,8,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k3/run04,4.0
119,3,8,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k3/run05,5.0
120,4,1,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k4/run01,1.0
121,4,1,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k4/run02,2.0
122,4,1,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k4/run03,3.0
123,4,1,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k4/run04,4.0
124,4,1,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k4/run05,5.0
125,4,2,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k4/run01,1.0
126,4,2,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k4/run02,2.0
127,4,2,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k4/run03,3.0
128,4,2,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k4/run04,4.0
129,4,2,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k4/run05,5.0
130,4,3,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k4/run01,1.0
131,4,3,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k4/run02,2.0
132,4,3,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k4/run03,3.0
133,4,3,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k4/run04,4.0
134,4,3,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k4/run05,5.0
135,4,4,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k4/run01,1.0
136,4,4,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k4/run02,2.0
137,4,4,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k4/run03,3.0
138,4,4,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k4/run04,4.0
139,4,4,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k4/run05,5.0
140,4,5,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k4/run01,1.0
141,4,5,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k4/run02,2.0
142,4,5,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k4/run03,3.0
143,4,5,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k4/run04,4.0
144,4,5,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k4/run05,5.0
145,4,6,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k4/run01,1.0
146,4,6,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k4/run02,2.0
147,4,6,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k4/run03,3.0
148,4,6,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k4/run04,4.0
149,4,6,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k4/run05,5.0
150,4,7,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k4/run01,1.0
151,4,7,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k4/run02,2.0
152,4,7,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k4/run03,3.0
153,4,7,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k4/run04,4.0
154,4,7,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k4/run05,5.0
155,4,8,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k4/run01,1.0
156,4,8,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k4/run02,2.0
157,4,8,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k4/run03,3.0
158,4,8,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k4/run04,4.0
159,4,8,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k4/run05,5.0
160,5,1,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k5/run01,1.0
161,5,1,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k5/run02,2.0
162,5,1,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k5/run03,3.0
163,5,1,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k5/run04,4.0
164,5,1,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k5/run05,5.0
165,5,2,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k5/run01,1.0
166,5,2,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k5/run02,2.0
167,5,2,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k5/run03,3.0
168,5,2,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k5/run04,4.0
169,5,2,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k5/run05,5.0
170,5,3,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k5/run01,1.0
171,5,3,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k5/run02,2.0
172,5,3,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k5/run03,3.0
173,5,3,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k5/run04,4.0
174,5,3,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k5/run05,5.0
175,5,4,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k5/run01,1.0
176,5,4,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k5/run02,2.0
177,5,4,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k5/run03,3.0
178,5,4,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k5/run04,4.0
179,5,4,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k5/run05,5.0
180,5,5,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k5/run01,1.0
181,5,5,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k5/run02,2.0
182,5,5,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k5/run03,3.0
183,5,5,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k5/run04,4.0
184,5,5,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k5/run05,5.0
185,5,6,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k5/run01,1.0
186,5,6,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k5/run02,2.0
187,5,6,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k5/run03,3.0
188,5,6,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k5/run04,4.0
189,5,6,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k5/run05,5.0
190,5,7,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k5/run01,1.0
191,5,7,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k5/run02,2.0
192,5,7,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k5/run03,3.0
193,5,7,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k5/run04,4.0
194,5,7,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k5/run05,5.0
195,5,8,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k5/run01,1.0
196,5,8,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k5/run02,2.0
197,5,8,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k5/run03,3.0
198,5,8,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k5/run04,4.0
199,5,8,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k5/run05,5.0
200,6,1,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k6/run01,1.0
201,6,1,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k6/run02,2.0
202,6,1,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k6/run03,3.0
203,6,1,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k6/run04,4.0
204,6,1,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k6/run05,5.0
205,6,2,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k6/run01,1.0
206,6,2,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k6/run02,2.0
207,6,2,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k6/run03,3.0
208,6,2,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k6/run04,4.0
209,6,2,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k6/run05,5.0
210,6,3,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k6/run01,1.0
211,6,3,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k6/run02,2.0
212,6,3,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k6/run03,3.0
213,6,3,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k6/run04,4.0
214,6,3,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k6/run05,5.0
215,6,4,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k6/run01,1.0
216,6,4,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k6/run02,2.0
217,6,4,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k6/run03,3.0
218,6,4,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k6/run04,4.0
219,6,4,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k6/run05,5.0
220,6,5,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k6/run01,1.0
221,6,5,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k6/run02,2.0
222,6,5,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k6/run03,3.0
223,6,5,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k6/run04,4.0
224,6,5,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k6/run05,5.0
225,6,6,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k6/run01,1.0
226,6,6,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k6/run02,2.0
227,6,6,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k6/run03,3.0
228,6,6,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k6/run04,4.0
229,6,6,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k6/run05,5.0
230,6,7,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k6/run01,1.0
231,6,7,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k6/run02,2.0
232,6,7,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k6/run03,3.0
233,6,7,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k6/run04,4.0
234,6,7,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k6/run05,5.0
235,6,8,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k6/run01,1.0
236,6,8,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k6/run02,2.0
237,6,8,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k6/run03,3.0
238,6,8,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k6/run04,4.0
239,6,8,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k6/run05,5.0
240,7,1,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k7/run01,1.0
241,7,1,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k7/run02,2.0
242,7,1,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k7/run03,3.0
243,7,1,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k7/run04,4.0
244,7,1,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c1/k7/run05,5.0
245,7,2,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k7/run01,1.0
246,7,2,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k7/run02,2.0
247,7,2,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k7/run03,3.0
248,7,2,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k7/run04,4.0
249,7,2,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c2/k7/run05,5.0
250,7,3,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k7/run01,1.0
251,7,3,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k7/run02,2.0
