K,C,A_start,valid_heldout_run_groups,mean_high_minus_low_service_ms,SD_high_minus_low_service_ms,negative_direction_runs,median_heldout_spearman
5,8,0,5,1.7594996045554656,0.21417005887507723,0,0.2597191107608059
5,8,1,5,0.8979720765445911,0.3153727331421342,0,0.1580632577363672
5,8,2,5,-0.018853067019311685,0.24576479520452985,4,-0.0458517243810637
5,8,3,5,-0.3872042050005525,0.3226177477105851,4,-0.1562207907968125
5,8,4,5,-0.2806959119874044,0.39408768137768907,4,-0.1217650450552954
6,1,0,4,0.3999693264761095,0.08119933907024694,0,0.14915452285515415
6,2,0,5,0.4609841649673566,0.04986235412875339,0,0.2415174660785112
6,2,1,5,-0.049936865056526565,0.03497473493708935,5,-0.0233437396096186
6,3,0,5,0.9951662321005937,0.07879453992315653,0,0.2707780233702474
6,3,1,5,0.014051994411569162,0.11371145096597846,2,0.0009136272601432
6,3,2,5,-0.21663786838768573,0.06821831382807697,5,0.0457344755776413
6,4,0,5,1.684387035329737,0.20343343280622733,0,0.2560686325783699
6,4,1,5,0.39661149173930743,0.2572162248553936,0,0.0821793014900713
6,4,2,5,-0.06475447307549054,0.4404161715394007,4,-0.0808863381547232
6,4,3,5,-6.294008261531035,0.5654791047138836,5,-0.8171528379616586
6,5,0,5,2.378136371864039,0.21492039076436212,0,0.2676593595276006
6,5,1,5,1.1386546767445096,0.12780547297243688,0,0.188827509687142
6,5,2,5,0.2619477840250105,0.1612772053399879,0,0.0477571445954235
6,5,3,5,-0.24165805879243502,0.1718801357027751,5,-0.0558518279387637
6,5,4,5,-12.932974940594088,0.10556079991905228,5,-0.8636139522328119
6,6,0,5,2.0354198660954443,0.38018069876869015,0,0.1878032517753958
6,6,1,5,0.6154523273581767,0.22920110599265778,0,0.0695056923499012
6,6,2,5,-0.04566189432095908,0.09192712450420762,4,-0.0555507051565803
6,6,3,5,-0.3015329482360932,0.10950966159467689,5,-0.1221842248535802
6,6,4,5,-0.4247731142815866,0.05575114994157887,5,-0.1678882128898635
6,6,5,5,-0.59102385488383,0.09246517612401892,5,-0.1699744735126082
6,7,0,5,1.3857209449380157,0.26887511287601806,0,0.13729151367565
6,7,1,5,0.7169099533049028,0.1816184482849209,0,0.0847095428685665
6,7,2,5,-0.12048581445043136,0.11543325492131357,4,-0.0553204763756557
6,7,3,5,-0.3617083384758892,0.0956271595660763,5,-0.1344820132235011
6,7,4,5,-0.45957726121984804,0.0688003671136034,5,-0.1584806902224224
6,7,5,5,-0.3879421349905797,0.08988320999364188,5,-0.1362653472738839
6,8,0,5,1.6022683430088165,0.30932648683109365,0,0.1675373743607388
6,8,1,5,0.5230103072761025,0.20468031182545296,0,0.0498154684456237
6,8,2,5,-0.09780875159033188,0.116984622024631,4,-0.0502986332330445
6,8,3,5,-0.3513475887641576,0.09866796089525448,5,-0.1315004035275458
6,8,4,5,-0.41471987118027087,0.08061365867367459,5,-0.1500748945877588
6,8,5,5,-0.3269168539348811,0.037872082704232216,5,-0.1146684488045428
7,1,0,5,-0.6839258885438078,0.05519830518599606,5,-0.3516074270221059
7,2,0,4,0.19432220680359832,0.16199255650774466,0,0.0836225763726255
7,2,1,4,0.7423265135139285,0.1574200546259042,0,0.1288880921067837
7,3,0,5,0.800417552677007,0.0897462812400451,0,0.1927862224148525
7,3,1,5,0.2154248476816356,0.34355152487541457,2,0.0496250714144546
7,3,2,5,-1.2739273539992584,1.2585345444821487,4,-0.2150407880701602
7,4,0,5,1.5972738462045832,0.13622531253892284,0,0.2307365089551137
7,4,1,5,0.5875686051627419,0.19574929585621925,0,0.1166281498774963
7,4,2,5,-0.08060385382548177,0.14627253451833858,3,-0.0225760464739089
7,4,3,5,-2.0078700155163918,0.22352374721204665,5,-0.3205809537066366
7,5,0,5,3.1141996860261782,0.14614195410756597,0,0.2960214749580097
7,5,1,5,1.6233923933932153,0.22040903632473835,0,0.2167335022327763
7,5,2,5,0.9016210286444732,0.14954654052492608,0,0.125741810551857
7,5,3,5,0.15674357466649622,0.16303711715472224,1,0.0315605412066711
7,5,4,5,-10.089214041444954,0.13234990503950858,5,-0.8150517682631403
7,6,0,5,1.937753499894746,0.6709103131112116,0,0.1943361970235073
