K,C,model,n_mean,n_std,Brier_mean,Brier_std,logloss_mean,logloss_std,true_class_exact_zero_mean,true_class_exact_zero_std,Queue_observed_mean,Queue_observed_std,Queue_predicted_mean,Queue_predicted_std,Queue_absolute_error_mean,Queue_absolute_error_std,Service_observed_mean,Service_observed_std,Service_predicted_mean,Service_predicted_std,Service_absolute_error_mean,Service_absolute_error_std,On_time_observed_mean,On_time_observed_std,On_time_predicted_mean,On_time_predicted_std,On_time_absolute_error_mean,On_time_absolute_error_std,n_valid_runs
3,1,B1,5380.0,1.7320508075689265,0.011146981630065413,0.015783205792450124,0.04001660946620935,0.04192839733708698,0.0,0.0,0.0023419316595229777,0.0006104537674831848,0.022720109307683013,0.03092726079901631,0.02037817764816003,0.03120778464694725,0.0001858943392001526,0.0001314324885721602,0.006510768732692936,0.005768361487063644,0.006324874393492784,0.005664532443911235,0.9974721740012769,0.0005351941722328085,0.9707691219596241,0.03669486378003607,0.026703052041652842,0.03686944283501766,5
3,1,P,5380.0,1.7320508075689265,0.004567918017357853,0.001012159229842869,0.013552771184007962,0.0027938391873048776,0.0,0.0,0.0023419316595229777,0.0006104537674831848,0.00014526372847094,6.39579738073671e-05,0.002196667931052038,0.0005540763964475811,0.0001858943392001526,0.0001314324885721602,0.00016931064262538722,9.919893725275991e-05,5.901812763029592e-05,7.461346879666044e-05,0.9974721740012769,0.0005351941722328085,0.9996854256289037,9.460138556321616e-05,0.0022132516276267998,0.0005449590576711933,5
3,2,B0,5383.2,2.774887385102248,0.002417298727241366,0.0006950339903354268,0.015482437764485634,0.0019556231374418726,0.0,0.0,0.0013004111632107514,0.0003945017246820934,0.008421350123974816,0.0018559784996025534,0.007120938960764066,0.0021096541038292524,0.00022295858059656718,0.00015547801388227987,0.0019221547636537567,7.331567412502516e-05,0.0016991961830571897,0.00014322287356796968,0.9984766302561926,0.00044420163523088257,0.9896564951123714,0.0019121006648641023,0.00882013514382125,0.002176694376024667,5
3,2,B1,5383.2,2.774887385102248,0.0024615281696457143,0.0006827412123313774,0.016943335446017782,0.0018820771468220391,0.0,0.0,0.0013004111632107514,0.0003945017246820934,0.009784197475743044,0.0015873696117248703,0.008483786312532294,0.0018599699433789845,0.00022295858059656718,0.00015547801388227987,0.002480988447389314,0.00011465934961239334,0.0022580298667927465,0.0001653939304097565,0.9984766302561926,0.00044420163523088257,0.9877348140768676,0.0016715310108002632,0.010741816179325014,0.0019484964811969702,5
3,2,P,5383.2,2.774887385102248,0.002577478015650681,0.0008950063697639044,0.007420462461217883,0.002727177573708728,0.0,0.0,0.0013004111632107514,0.0003945017246820934,0.0002002591037998565,0.00013176499610707118,0.0011001520594108951,0.00036725597012362925,0.00022295858059656718,0.00015547801388227987,0.00019492893353237743,0.00013535980882695858,0.00013831453021365174,0.00014625867404885994,0.9984766302561926,0.00044420163523088257,0.9996048119626678,0.00016365159600324652,0.001128181706475062,0.0003772994943391365,5
3,3,B0,5378.6,2.0736441353328434,0.001797643256948952,0.0007541093378782965,0.00884296288852444,0.0019192356210375198,0.0,0.0,0.000966826259670033,0.00015580058154461047,0.002197433193215136,0.00043478489637839975,0.0012306069335451034,0.0005159493890298069,0.00037184401850415434,0.00013145699982046235,0.0026965880680880163,0.00010007678189113172,0.0023247440495838623,0.00011953289107757266,0.9986613297218259,0.00024262187615406672,0.9951059787386967,0.0004743234033228043,0.003555350983129024,0.0005316714637257907,5
3,3,B1,5378.6,2.0736441353328434,0.0017437745465257296,0.0007452619456503295,0.0090207660784709,0.0018184157797818908,0.0,0.0,0.000966826259670033,0.00015580058154461047,0.002881692831256031,0.000413328868323735,0.0019148665715859978,0.00046744775397018816,0.00037184401850415434,0.00013145699982046235,0.002755190863966879,0.00010991904791423916,0.0023833468454627247,9.533353036303371e-05,0.9986613297218259,0.00024262187615406672,0.994363116304777,0.0004397365281450774,0.004298213417048724,0.0004561307857712945,5
3,3,P,5378.6,2.0736441353328434,0.0026445565741010394,0.00047663144907606777,0.009794283324517284,0.00256279927101481,0.0,0.0,0.000966826259670033,0.00015580058154461047,4.697621581357265e-06,7.572810383829935e-06,0.0009621286380886758,0.0001519380353691077,0.00037184401850415434,0.00013145699982046235,0.0004047572346910332,0.000151239453304088,0.00018379829078333325,0.00012409273428951986,0.9986613297218259,0.00024262187615406672,0.9995905451437276,0.0001506280162942846,0.0009292154219017635,0.0003419702085491631,5
3,4,B0,5377.2,2.5884358211089658,0.0014046760344711292,0.0004187077408826621,0.006011489886710167,0.001456793403628979,0.0,0.0,0.0004834788391494515,0.0003623520791923111,0.0008700163108491291,0.0002037607475854187,0.000465788812328259,0.0003072013496114529,0.00044631794783838694,0.000166281359186711,0.0019736304442052564,0.00029788640006518744,0.0015273124963668693,0.0001395781011326322,0.9990702032130121,0.00032184274774886687,0.9971563532449457,0.00045498574528090533,0.0019138499680665167,0.0004958990669413551,5
3,4,B1,5377.2,2.5884358211089658,0.0014460746046714638,0.0003100325220110648,0.0057359425680483574,0.001159145419958144,0.0,0.0,0.0004834788391494515,0.0003623520791923111,0.001182762429730409,0.0002606746824352414,0.0006992835905809575,0.0004557925958352081,0.00044631794783838694,0.000166281359186711,0.001763929617844752,0.0001714890805255183,0.001317611670006365,4.306879839132074e-05,0.9990702032130121,0.00032184274774886687,0.9970533079524249,0.0004118322645330733,0.0020168952605873923,0.0004377346193998843,5
