fold,model,scope,stage,bin,n,predicted,observed
1,B1,K6,Queue,1,6578,0.14748837587356575,0.16144724840377014
1,B1,K6,Queue,2,4362,0.2434028838623122,0.28541953232462175
1,B1,K6,Queue,3,1482,0.3407327293138358,0.45546558704453444
1,B1,K6,Queue,4,742,0.44829133301294777,0.6994609164420486
1,B1,K6,Queue,5,638,0.5498346815251971,0.8510971786833855
1,B1,K6,Queue,6,607,0.6497336610557162,0.929159802306425
1,B1,K6,Queue,7,455,0.746932399294447,0.9736263736263736
1,B1,K6,Queue,8,379,0.8436735962203583,0.9920844327176781
1,B1,K6,Queue,9,100,0.9356237603874166,0.97
1,B1,K6,Service,0,8251,0.06558346127044669,0.0036359229184341293
1,B1,K6,Service,1,8690,0.1470489654446103,0.02911392405063291
1,B1,K6,Service,2,8381,0.2519866507310532,0.052857654217873765
1,B1,K6,Service,3,12827,0.3518528204095296,0.33990800654868636
1,B1,K6,Service,4,7411,0.44518851175318563,0.48158143300499257
1,B1,K6,Service,5,6974,0.5524770778996421,0.7355893318038429
1,B1,K6,Service,6,6030,0.6475962714745992,0.8001658374792703
1,B1,K6,Service,7,5285,0.7516175812416821,0.8450331125827815
1,B1,K6,Service,8,7442,0.8551100064130956,0.9465197527546358
1,B1,K6,Service,9,13268,0.9496212778071133,0.993292131444076
1,B1,K6,On_time,0,17398,0.041362452989797516,0.008679158523968273
1,B1,K6,On_time,1,7868,0.14607521238552987,0.06736146415861718
1,B1,K6,On_time,2,6769,0.24977778952896057,0.15556212143595805
1,B1,K6,On_time,3,9594,0.3533598594556619,0.19293308317698563
1,B1,K6,On_time,4,9195,0.4469472876228234,0.3483414899401849
1,B1,K6,On_time,5,7768,0.5481189850255648,0.6072348094747683
1,B1,K6,On_time,6,6626,0.6461918150914384,0.7965590099607607
1,B1,K6,On_time,7,5460,0.752474144416928,0.8732600732600733
1,B1,K6,On_time,8,7658,0.8547677863793954,0.9343170540611125
1,B1,K6,On_time,9,6223,0.932243496021587,0.9963040334243933
1,B1,K7,Queue,0,54257,0.0381415248908844,0.028346572792450744
1,B1,K7,Queue,1,11723,0.14008739752105825,0.15328840740424807
1,B1,K7,Queue,2,3844,0.24217057611467876,0.46800208116545267
1,B1,K7,Queue,3,1978,0.3473742660621376,0.7699696663296259
1,B1,K7,Queue,4,1642,0.44901344315292385,0.9311814859926918
1,B1,K7,Queue,5,1729,0.5496302815814906,0.9855407750144592
1,B1,K7,Queue,6,1919,0.6512422050886312,0.9880145909327774
1,B1,K7,Queue,7,2192,0.7526113016870637,0.9945255474452555
1,B1,K7,Queue,8,2878,0.8509920630000481,0.9965253648366922
1,B1,K7,Queue,9,13687,0.9901662189323966,0.9997077518813473
1,B1,K7,Service,0,17223,0.020631930786348493,0.0006967427277477791
1,B1,K7,Service,1,10995,0.15270760663822702,0.024010914051841747
1,B1,K7,Service,2,7782,0.23461279772144233,0.06013878180416345
1,B1,K7,Service,3,3466,0.3515369623564809,0.21552221581073283
1,B1,K7,Service,4,4524,0.45377642513670247,0.39765694076038904
1,B1,K7,Service,5,7412,0.5551075312466762,0.6334322719913653
1,B1,K7,Service,6,6896,0.6449024554590911,0.789008120649652
1,B1,K7,Service,7,8229,0.7473197259773613,0.9095880422894641
1,B1,K7,Service,8,10439,0.8521892697313732,0.9108152121850752
1,B1,K7,Service,9,18883,0.9499123643936548,0.9437589366096489
1,B1,K7,On_time,0,48291,0.02426904357691105,0.0045557143152968466
1,B1,K7,On_time,1,11767,0.14687283745996002,0.05413444378346222
1,B1,K7,On_time,2,8548,0.24757500286025597,0.10914833879270004
1,B1,K7,On_time,3,6143,0.3476757608917283,0.19892560638124696
1,B1,K7,On_time,4,4610,0.4471273042540196,0.35531453362255966
1,B1,K7,On_time,5,3790,0.547532759614977,0.5271767810026385
1,B1,K7,On_time,6,3266,0.6492989736344268,0.6604409063074097
1,B1,K7,On_time,7,3482,0.7515095635704336,0.7696726019529007
1,B1,K7,On_time,8,3811,0.8506038480909589,0.9110469692993964
1,B1,K7,On_time,9,2141,0.928055037750425,0.9971975712283979
1,P,ALL,Queue,0,354035,0.0007787953814724834,0.0031720027680879007
1,P,ALL,Queue,1,1860,0.1433576539290791,0.17204301075268819
1,P,ALL,Queue,2,978,0.24781506808783008,0.3537832310838446
1,P,ALL,Queue,3,1304,0.3537956707881324,0.625
1,P,ALL,Queue,4,1325,0.4482852829953754,0.5735849056603773
1,P,ALL,Queue,5,2043,0.5505711030938927,0.6647087616250612
1,P,ALL,Queue,6,1022,0.6424875445664479,0.6741682974559687
1,P,ALL,Queue,7,659,0.745302693888518,0.7617602427921093
1,P,ALL,Queue,8,463,0.8534311516591067,0.8034557235421166
1,P,ALL,Queue,9,31042,0.9988849574652332,0.9977449906578184
1,P,ALL,Service,0,243980,0.0049966047401059956,0.004012623985572588
1,P,ALL,Service,1,15462,0.14926360964915297,0.1720346656318717
1,P,ALL,Service,2,13309,0.248875572375739,0.24862874746412203
1,P,ALL,Service,3,10729,0.34615785627933876,0.29639295367695034
1,P,ALL,Service,4,7815,0.44662645718489324,0.4212412028150992
1,P,ALL,Service,5,10847,0.5545542663473059,0.47146676500414864
1,P,ALL,Service,6,6262,0.6459250282319022,0.5431172149473011
1,P,ALL,Service,7,6778,0.758603866874725,0.693272351726173
1,P,ALL,Service,8,17003,0.8546653574024217,0.7975063224136917
1,P,ALL,Service,9,62546,0.9756576419562751,0.9668883701595625
1,P,ALL,On_time,0,103425,0.017704008391671935,0.01942470389170897
1,P,ALL,On_time,1,15783,0.14202385012225247,0.17556864981309003
1,P,ALL,On_time,2,5198,0.2451637911019006,0.33012697191227397
1,P,ALL,On_time,3,5837,0.35546068767994193,0.45331505910570496
1,P,ALL,On_time,4,9036,0.44576335733137673,0.4822930500221337
1,P,ALL,On_time,5,5985,0.5544292197221224,0.5739348370927319
1,P,ALL,On_time,6,9666,0.6549307270565647,0.7117732257397061
1,P,ALL,On_time,7,12737,0.7513962367926083,0.7501766507026773
1,P,ALL,On_time,8,14211,0.8493555667167535,0.8170431355991837
1,P,ALL,On_time,9,212853,0.9944693519925767,0.9951656777212442
