fold,run,K,C,model,n,Brier,logloss,true_class_exact_zero,Queue_observed,Queue_predicted,Queue_absolute_error,Service_observed,Service_predicted,Service_absolute_error,On_time_observed,On_time_predicted,On_time_absolute_error
1,165,5,2,B0,8961,0.017581503709538093,0.05954017097985041,0,0.005691329092735186,0.014528153983414603,0.008836824890679417,0.004129003459435331,0.015412371981946657,0.011283368522511326,0.9901796674478295,0.9700594740346388,0.020120193413190712
1,170,5,3,B0,8960,0.04559826618664305,0.108605468007284,0,0.004910714285714286,0.0038121240696295466,0.001098590216084739,0.01997767857142857,0.021432687805833996,0.0014550092344054258,0.9751116071428572,0.9747551881245365,0.0003564190183206195
1,175,5,4,B0,8955,0.16910199710793242,0.2926783647089259,0,0.005695142378559464,0.015795972999072903,0.010100830620513437,0.11055276381909548,0.11747159828883405,0.006918834469738566,0.8837520938023451,0.866732428712093,0.0170196650902521
1,180,5,5,B0,8847,0.2900515594431541,0.5300552455752586,0,0.0,0.00310504008755883,0.00310504008755883,0.1606194190120945,0.04104855579311909,0.11957086321897542,0.8393805809879055,0.9558464041193222,0.11646582313141673
1,185,5,6,B0,8816,0.29675015556878864,0.46572492813796074,0,0.0,0.006501389159010158,0.006501389159010158,0.18954174228675136,0.17296978415289563,0.01657195813385573,0.8104582577132486,0.8205288266880942,0.010070568974845595
1,190,5,7,B0,8819,0.291698776827393,0.4565780822184943,0,0.0,0.0038836223146494083,0.0038836223146494083,0.1851683864383717,0.21596694201547262,0.030798555577100928,0.8148316135616283,0.780149435669878,0.03468217789175021
1,195,5,8,B0,8819,0.29733219053139126,0.46394378826552635,0,0.0,0.003498875935475665,0.003498875935475665,0.1902710057829686,0.1942674105948273,0.0039964048118587,0.8097289942170314,0.8022337134696972,0.007495280747334188
1,200,6,1,B0,10744,0.5147767220489814,0.885373245588601,0,0.5503536857781087,0.31411491358543936,0.23623877219266937,0.08730454206999255,0.26718441540082344,0.1798798733308309,0.3623417721518987,0.41870067101373726,0.056358898861838536
1,205,6,2,B0,10740,0.31747155512970193,0.5779599969032332,0,0.02057728119180633,0.1487357582902075,0.12815847709840117,0.30130353817504657,0.2465566340372299,0.05474690413781666,0.6781191806331471,0.6047076076725626,0.07341157296058454
1,210,6,3,B0,10751,0.2990991605855966,0.4945533375048097,0,0.009580504139149846,0.03601969810244943,0.02643919396329958,0.36954701888196445,0.33020697425754175,0.0393400446244227,0.6208724769788857,0.6337733276400088,0.01290085066112312
1,215,6,4,B0,10657,0.2534019555336214,0.41635661792283607,0,9.38350380031904e-05,0.016914995759853675,0.016821160721850484,0.32588908698508023,0.30069228415654076,0.025196802828539477,0.6740170779769166,0.6823927200836056,0.008375642106689063
1,220,6,5,B0,10443,0.3737176827079302,0.5890834502682023,0,0.01110791918031217,0.0224810992269588,0.01137318004664663,0.4108972517475821,0.4881047954320092,0.07720754368442706,0.5779948290721058,0.48941410534103214,0.08858072373107362
1,225,6,6,B0,10389,0.16783840459070282,0.30865661644212355,0,0.0,0.01829772352938663,0.01829772352938663,0.8752526710944268,0.7785883573906424,0.09666431370378448,0.1247473289055732,0.20311391907997092,0.07836659017439772
1,230,6,7,B0,10419,0.15413308267602865,0.27735086668442976,0,0.0,0.009174260146520334,0.009174260146520334,0.88021883098186,0.8196060229219486,0.06061280805991143,0.11978116901813994,0.1712197169315311,0.051438547913391156
1,235,6,8,B0,10416,0.1543447541010549,0.27866887503939447,0,0.0,0.00926678627047915,0.00926678627047915,0.8759600614439325,0.8118765582119973,0.06408350323193512,0.12403993855606758,0.17885665551752353,0.054816716961455944
