run_id,kind,repeat,exclusion_reason,protocol_version,K,C,freq_state,requested_freq_MHz,actual_freq_mean_MHz,admission_fps_per_stream,source_fps,aggregate_admitted_fps,aggregate_ready_fps,aggregate_completed_fps,min_per_stream_completed_fps,mean_per_stream_completed_fps,g_B,backlog_at_active_end,backlog_peak,queue_stable,avg_power_W,median_power_W,active_energy_J,energy_per_frame_J,temperature,OC3_delta,integrity_status,hardware_status,supply_status,active_concurrency_peak,active_concurrency_mean,frontend_ready_deficit_fraction,frontend_pending_slope,source_pending_slope,pipeline_audit_status,queue_classification,child_returncode,child_exit_signal,PIPELINE_SEMANTICS,PROCESS_LIFECYCLE
RDVG_B_20260919_P01,primary,1,,2,7,4,HIGH,1575,1575.0,21,210.0,147.0,147.0,146.95,20.983333333333334,20.992857142857144,0.0035644660468857536,3,14,True,36.84325836307217,,2210.59550178433,0.25071968943907563,48.27419130434782,9,VALID,PROTECTION_LIMITED,NORMAL,4,2.2220859453833253,0.0,0.0027154338511053834,0.0004276795535058007,PASS,QUEUE_STABLE,0,,PASS,PASS
RDVG_B_20260919_P02,primary,1,,2,7,4,LOW,945,945.0,24,210.0,168.0,162.66666666666666,162.53333333333333,22.983333333333334,23.21904761904762,5.638455859858313,328,333,False,31.186731022836717,,1871.203861370203,,50.39718717504333,0,VALID,CLEAN,FRONTEND_LIMITED,4,3.5689047292833345,0.031746031746031744,5.662871774945338,7.07896911239202,PASS,UNSTABLE,0,,PASS,PASS
RDVG_B_20260919_P03,primary,1,,2,7,4,MID,1260,1260.0,27,210.0,189.0,189.0,188.91666666666666,26.983333333333334,26.988095238095237,0.00024378911875339783,5,15,True,42.143991232966606,,2528.639473977996,0.2230824414625493,56.22348347826087,0,VALID,CLEAN,NORMAL,4,3.3954904907833385,0.0,-0.0016769673988606606,-0.00016129391643618265,PASS,QUEUE_STABLE,0,,PASS,PASS
RDVG_B_20260919_P04,primary,1,,2,7,4,HIGH,1575,1575.0,30,210.0,210.0,210.0,209.95,29.983333333333334,29.992857142857144,-0.005584241796692292,3,17,True,51.48530974257453,,3089.118584554472,0.24522652890009303,62.42754006968641,11,VALID,PROTECTION_LIMITED,NORMAL,4,3.2777152781999814,0.0,-0.002758892018320397,-0.00036920743095061366,PASS,QUEUE_STABLE,0,,PASS,PASS
RDVG_B_20260919_P05,primary,1,,2,7,4,LOW,945,945.0,21,210.0,147.0,147.0,146.88333333333333,20.983333333333334,20.983333333333334,0.0024431981482580974,7,17,True,29.77126330990617,,1786.2757985943704,0.20268646301989907,57.215561525129985,0,VALID,CLEAN,NORMAL,4,3.226449689783325,0.0,0.001190131270360161,0.001269931623117907,PASS,QUEUE_STABLE,0,,PASS,PASS
RDVG_B_20260919_P06,primary,1,,2,7,4,MID,1260,1260.0,24,210.0,168.0,168.0,167.93333333333334,23.983333333333334,23.99047619047619,0.0012828439071974963,4,19,True,38.643315478341464,,2318.5989287004877,0.23011104889842077,59.96963888888889,0,VALID,CLEAN,NORMAL,4,2.929611535016664,0.0,0.0007941956370452961,-0.0005004365648045036,PASS,QUEUE_STABLE,0,,PASS,PASS
RDVG_B_20260919_P07,primary,1,,2,7,4,HIGH,1575,1575.0,27,210.0,189.0,189.0,188.95,26.983333333333334,26.992857142857144,-0.006397688297895008,3,16,True,47.51462197878756,,2850.8773187272536,0.25146664185650996,64.52222608695652,8,VALID,PROTECTION_LIMITED,NORMAL,4,2.89959317273332,0.0,-0.0030191522736629727,-0.0015348064825334567,PASS,QUEUE_STABLE,0,,PASS,PASS
RDVG_B_20260919_P08,primary,1,,2,7,4,LOW,945,945.0,30,210.0,210.0,167.45,164.53333333333333,23.35,23.504761904761907,44.98121805161694,2728,2734,False,32.3319390526354,,1939.9163431581237,,60.290181975736566,0,VALID,CLEAN,FRONTEND_LIMITED,4,3.9868510019333527,0.20261904761904762,42.05765328737916,42.055603029437634,PASS,UNSTABLE,0,,PASS,PASS
RDVG_B_20260919_P09,primary,1,,2,7,4,MID,1260,1260.0,21,210.0,147.0,147.0,146.95,20.983333333333334,20.992857142857144,0.002422690392078424,3,14,True,34.75285537408457,,2085.171322445074,0.23649442241636318,60.71912152777778,0,VALID,CLEAN,NORMAL,4,2.5014929801499988,0.0,-0.0003214928218544407,-0.0001549283724089463,PASS,QUEUE_STABLE,0,,PASS,PASS
RDVG_B_20260919_P10,primary,1,,2,7,4,HIGH,1575,1575.0,24,210.0,168.0,168.0,167.95,23.983333333333334,23.992857142857144,0.0002081621508282486,3,16,True,43.02924901061013,,2581.754940636608,0.2562027330194113,63.97858782608696,13,VALID,PROTECTION_LIMITED,NORMAL,4,2.534552063050006,0.0,0.001518410502687249,5.631473356175575e-05,PASS,QUEUE_STABLE,0,,PASS,PASS
RDVG_B_20260919_P11,primary,1,,2,7,4,LOW,945,945.0,27,210.0,189.0,163.83333333333334,163.75,23.333333333333332,23.392857142857142,25.094897440025303,1515,1521,False,32.174873323860965,,1930.4923994316578,,61.14024652777778,0,VALID,CLEAN,FRONTEND_LIMITED,4,3.7952820396666587,0.13315696649029982,25.102530414733675,27.89021515200222,PASS,UNSTABLE,0,,PASS,PASS
RDVG_B_20260919_P12,primary,1,,2,7,4,MID,1260,1260.0,30,210.0,210.0,204.65,203.13333333333333,28.85,29.01904761904762,6.581153940732387,412,419,False,45.45176143577483,,2727.1056861464895,,66.31310398613519,0,VALID,CLEAN,FRONTEND_LIMITED,4,3.98753836156664,0.025476190476190475,6.8407966714645845,6.839935029117762,PASS,UNSTABLE,0,,PASS,PASS
RDVG_B_20260919_P13,primary,2,,2,7,4,LOW,945,945.0,24,210.0,168.0,162.5,162.45,22.4,23.207142857142856,5.154929717302266,333,339,False,32.33572779482202,,1940.1436676893213,,63.162204506065855,0,VALID,CLEAN,FRONTEND_LIMITED,4,3.5741380442833495,0.03273809523809524,5.144777379775755,6.429261402512344,PASS,UNSTABLE,0,,PASS,PASS
RDVG_B_20260919_P14,primary,2,,2,7,4,MID,1260,1260.0,27,210.0,189.0,189.0,188.93333333333334,26.983333333333334,26.99047619047619,-0.0023354516614283952,4,25,True,43.38964477735967,,2603.3786866415803,0.2296558474454464,67.19562956521739,0,VALID,CLEAN,NORMAL,4,3.406843906466685,0.0,0.000748092183055478,-0.0005026278140109248,PASS,QUEUE_STABLE,0,,PASS,PASS
RDVG_B_20260919_P15,primary,2,,2,7,4,HIGH,1575,1575.0,30,210.0,210.0,210.0,209.93333333333334,29.983333333333334,29.99047619047619,0.012613344488322905,4,18,True,52.949985214353106,,3176.9991128611864,0.2522228574834222,72.43728222996516,34,VALID,PROTECTION_LIMITED,NORMAL,4,3.268363037616675,0.0,0.006244926932768022,0.000944988535517314,PASS,QUEUE_STABLE,0,,PASS,PASS
RDVG_B_20260919_P16,primary,2,,2,7,4,LOW,945,945.0,21,210.0,147.0,147.0,146.88333333333333,20.983333333333334,20.983333333333334,0.00042020508563088774,7,16,True,30.894077326639604,,1853.6446395983762,0.21033072048092322,66.03483680555556,0,VALID,CLEAN,NORMAL,4,3.196586401533333,0.0,0.00043536685869957143,-0.00027378258028759145,PASS,QUEUE_STABLE,0,,PASS,PASS
RDVG_B_20260919_P17,primary,2,,2,7,4,MID,1260,1260.0,24,210.0,168.0,168.0,167.95,23.983333333333334,23.992857142857144,-0.0003172177399348786,3,22,True,39.59836111970768,,2375.901667182461,0.23577470151656854,68.11980381944444,0,VALID,CLEAN,NORMAL,4,2.923085663266678,0.0,-0.0003615573025856535,5.874704631467664e-05,PASS,QUEUE_STABLE,0,,PASS,PASS
RDVG_B_20260919_P18,primary,2,,2,7,4,HIGH,1575,1575.0,27,210.0,189.0,189.0,188.95,26.983333333333334,26.992857142857144,-0.00010286395019796954,3,16,True,48.7431965789664,,2924.591794737984,0.2579687567026536,72.30733391304348,23,VALID,PROTECTION_LIMITED,NORMAL,4,2.9125200708666665,0.0,0.00047624976780876377,0.00028455006476188537,PASS,QUEUE_STABLE,0,,PASS,PASS
RDVG_B_20260919_P19,primary,2,,2,7,4,LOW,945,945.0,30,210.0,210.0,166.56666666666666,164.03333333333333,23.366666666666667,23.433333333333334,46.40039195604008,2758,2763,False,33.059791416987856,,1983.5874850192713,,67.63015077989601,0,VALID,CLEAN,FRONTEND_LIMITED,4,3.98800819603333,0.20682539682539683,42.93734883430609,42.9376737770145,PASS,UNSTABLE,0,,PASS,PASS
