acquisition_id,round,trace,policy,phase,K,window,arrival_start_s,arrival_end_s,arrival_count,miss_count,DMR_percent,local_mean_ms,local_p95_ms,local_p99_ms,queue_mean_ms,queue_p95_ms,queue_p99_ms,service_mean_ms,service_p95_ms,service_p99_ms,start_lag_mean_ms,start_lag_p95_ms,start_lag_p99_ms,front_end_mean_ms,front_end_p95_ms,front_end_p99_ms,calendar_completed_fps,time_mean_ready_queue,peak_ready_queue,time_mean_unfinished_backlog,peak_unfinished_backlog,time_mean_generated_unfinished,peak_generated_unfinished,time_mean_A,peak_A
primary_04,1,B,FIXED_C2,3,6,transition,45,46,180,60,33.3333333333333,28.79487495,38.67916955,39.03262038,7.53899603333333,16.0469305,17.14568685,8.67419913333333,9.808995,10.2263712,0.547903711111111,1.20082075,3.36261811,12.0337760722222,14.4690234,16.19930293,181,1.360702907,4,5.190286579,9,5.161177926,9,1.564881311,2
primary_04,1,B,FIXED_C2,3,6,phase_remainder,46,60,2520,816,32.3809523809524,28.4854252023809,38.209868,39.27353935,7.39752825079365,15.9722372,16.73933206,8.64423657420635,9.8659386,10.70499017,0.576573675,1.88623195,3.18030885,11.867086702381,14.2843213,16.28962375,180,1.33155508514286,4,5.12795952642857,8,5.09939278628571,8,1.55654557335714,2
primary_05,1,B,K_LOOKUP_C2_C4,0,7,startup,0,1,210,210,100,215.482239890476,270.49359525,283.94291955,141.436331628571,189.5943471,198.43618073,18.0107316571429,25.0622391,48.73240166,33.7152394666667,150.01728475,158.33734079,22.3199371380952,27.50386575,190.14614158,175,27.51125009,47,42.492776908,58,42.315493025,57,3.214139731,4
primary_05,1,B,K_LOOKUP_C2_C4,0,7,phase_remainder,1,15,2940,1504,51.156462585034,41.642790129932,102.951825549999,152.82308284,11.9174432870748,68.7521844499997,119.81808545,15.175866294898,19.329633,21.98909643,0.979116042176871,3.46318975,5.18982848,13.5703645057823,17.9220919,21.10998422,212.285714285714,2.65911877257143,35,8.94034430307143,42,8.89434148942857,42,3.22583461542857,4
primary_05,1,B,K_LOOKUP_C2_C4,1,6,transition,15,16,180,58,32.2222222222222,28.8728632722222,38.5455357,39.46478852,7.52662658333333,15.9919852,16.94903876,8.59293318888889,9.87046415,10.50788262,0.552124922222222,1.738508,3.35938887,12.2011785777778,14.45135885,15.72551477,181,1.354792785,4,5.213518823,9,5.185605142,9,1.563131408,3
primary_05,1,B,K_LOOKUP_C2_C4,1,6,phase_remainder,16,30,2520,813,32.2619047619048,28.6317420773809,38.5482262,40.08684124,7.30081442301587,15.74525625,16.80883757,8.6178234718254,10.0311587,11.11150484,0.589627781746032,1.94988275,3.63236768,12.1234764007937,14.80866685,16.65677969,180,1.31414659614286,4,5.15369484771429,8,5.12361907435714,8,1.55118949871429,2
primary_05,1,B,K_LOOKUP_C2_C4,2,7,transition,30,31,210,92,43.8095238095238,34.0884787809524,44.49986235,45.41775124,5.3778007,14.37976215,16.79817703,14.7561694047619,18.4787467,20.32094936,0.948931514285714,3.17703765,5.60656495,13.0055771619048,16.44995905,18.77161024,209,1.129338147,5,7.131068175,11,7.086631515,11,3.071283206,4
primary_05,1,B,K_LOOKUP_C2_C4,2,7,phase_remainder,31,45,2940,1342,45.6462585034014,34.7396399561225,45.3585422,47.96318198,5.46202827346939,15.23460505,16.76991825,14.9635061306122,18.86251395,21.17380139,0.932793787755102,3.17304025,4.96517565,13.3813117642857,17.262638,19.5584243,210,1.14702593742857,6,7.29672999142857,14,7.25048558042857,14,3.14374188807143,4
primary_05,1,B,K_LOOKUP_C2_C4,3,6,transition,45,46,180,60,33.3333333333333,28.6965669111111,38.5922746,39.38393506,7.35657802222222,15.7431853,16.68862751,8.69565335,9.78253615,10.3261964,0.579864483333333,1.92623855,2.97494845,12.0644710555556,15.2233609,15.79098339,181,1.324184044,4,5.172703832,9,5.143420042,9,1.572539391,3
primary_05,1,B,K_LOOKUP_C2_C4,3,6,phase_remainder,46,60,2520,812,32.2222222222222,28.5846750952381,38.44023235,39.66342061,7.34742911984127,15.80886975,16.92252776,8.62568646071429,9.9292435,11.23405021,0.541892511111111,1.83554,2.99192696,12.0696670035714,14.61418055,16.44968287,180,1.32253724157143,4,5.14528209521429,9,5.11660208614286,9,1.552664141,2
