acquisition_id,round,trace,policy,phase,boundary_s,boundary_ns,K_before,K_after,C_before,C_after,logical_boundary_ns,notification_ns,apply_ns,cap_apply_delay_ms,offset_ms,sample_ns,sample_side,C,A,ready_queue,unfinished_backlog,generated_unfinished,due_not_generated,online_active_counter,observed_K,latest_event_seq,latest_event_ns,unfinished_slack_min_ms,unfinished_slack_p10_ms,unfinished_slack_median_ms,unfinished_slack_p90_ms,unfinished_late_count,unfinished_late_fraction,unfinished_urgent_5ms_count,unfinished_urgent_10ms_count,ready_slack_min_ms,ready_slack_p10_ms,ready_slack_median_ms,ready_slack_p90_ms,ready_late_count,ready_late_fraction,ready_urgent_5ms_count,ready_urgent_10ms_count,generated_slack_min_ms,generated_slack_p10_ms,generated_slack_median_ms,generated_slack_p90_ms,generated_late_count,generated_late_fraction,generated_urgent_5ms_count,generated_urgent_10ms_count
primary_02,1,A,FIXED_C2,1,15,85577271800980,6,7,2,2,85577271800980,85577271901636,85577271943571,0.142591,100,85577371800980,RIGHT_CONTINUOUS,2,2,2,11,4,7,2,7,10880,85577371385202,-6.66666666666667e-07,-6.66666666666667e-07,33.3333333333333,33.3333333333333,4,0.363636363636364,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,4,1,0,0
primary_02,1,A,FIXED_C2,1,15,85577271800980,6,7,2,2,85577271800980,85577271901636,85577271943571,0.142591,500,85577771800980,RIGHT_CONTINUOUS,2,2,1,10,3,7,2,7,11218,85577767531401,-6.66666666666667e-07,-6.66666666666667e-07,33.3333333333333,33.3333333333333,3,0.3,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,1,1,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0
primary_02,1,A,FIXED_C2,1,15,85577271800980,6,7,2,2,85577271800980,85577271901636,85577271943571,0.142591,1000,85578271800980,RIGHT_CONTINUOUS,2,2,1,10,3,7,2,7,11638,85578269513804,-6.66666666666667e-07,-6.66666666666667e-07,33.3333333333333,33.3333333333333,3,0.3,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,1,1,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0
primary_02,1,A,FIXED_C2,2,30,85592271800980,7,6,2,2,85592271800980,85592271897037,85592271921731,0.120751,1,85592272800980,RIGHT_CONTINUOUS,2,2,1,9,9,0,2,6,23406,85592272050649,-1.00000066666667,-1.00000066666667,32.3333333333333,32.3333333333333,3,0.333333333333333,0,0,-1.00000066666667,-1.00000066666667,-1.00000066666667,-1.00000066666667,1,1,0,0,-1.00000066666667,-1.00000066666667,32.3333333333333,32.3333333333333,3,0.333333333333333,0,0
primary_02,1,A,FIXED_C2,2,30,85592271800980,7,6,2,2,85592271800980,85592271897037,85592271921731,0.120751,5,85592276800980,RIGHT_CONTINUOUS,2,1,0,7,7,0,1,6,23409,85592276366828,-5.00000066666667,14.9999997333333,28.3333333333333,28.3333333333333,1,0.142857142857143,0,0,,,,,0,,0,0,-5.00000066666667,14.9999997333333,28.3333333333333,28.3333333333333,1,0.142857142857143,0,0
primary_02,1,A,FIXED_C2,2,30,85592271800980,7,6,2,2,85592271800980,85592271897037,85592271921731,0.120751,10,85592281800980,RIGHT_CONTINUOUS,2,2,0,6,6,0,2,6,23414,85592281740736,23.3333333333333,23.3333333333333,23.3333333333333,23.3333333333333,0,0,0,0,,,,,0,,0,0,23.3333333333333,23.3333333333333,23.3333333333333,23.3333333333333,0,0,0,0
primary_02,1,A,FIXED_C2,2,30,85592271800980,7,6,2,2,85592271800980,85592271897037,85592271921731,0.120751,20,85592291800980,RIGHT_CONTINUOUS,2,2,2,4,4,0,2,6,23422,85592291034646,13.3333333333333,13.3333333333333,13.3333333333333,13.3333333333333,0,0,0,0,13.3333333333333,13.3333333333333,13.3333333333333,13.3333333333333,0,0,0,0,13.3333333333333,13.3333333333333,13.3333333333333,13.3333333333333,0,0,0,0
primary_02,1,A,FIXED_C2,2,30,85592271800980,7,6,2,2,85592271800980,85592271897037,85592271921731,0.120751,50,85592321800980,RIGHT_CONTINUOUS,2,2,4,6,6,0,2,6,23442,85592318368195,16.6666663333333,16.6666663333333,16.6666663333333,16.6666663333333,0,0,0,0,16.6666663333333,16.6666663333333,16.6666663333333,16.6666663333333,0,0,0,0,16.6666663333333,16.6666663333333,16.6666663333333,16.6666663333333,0,0,0,0
primary_02,1,A,FIXED_C2,2,30,85592271800980,7,6,2,2,85592271800980,85592271897037,85592271921731,0.120751,100,85592371800980,RIGHT_CONTINUOUS,2,2,0,8,2,6,2,6,23474,85592366042547,-6.66666666666667e-07,-6.66666666666667e-07,33.3333333333333,33.3333333333333,2,0.25,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_02,1,A,FIXED_C2,2,30,85592271800980,7,6,2,2,85592271800980,85592271897037,85592271921731,0.120751,500,85592771800980,RIGHT_CONTINUOUS,2,2,0,8,2,6,2,6,23762,85592765826061,-6.66666666666667e-07,-6.66666666666667e-07,33.3333333333333,33.3333333333333,2,0.25,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
