acquisition_id,round,trace,policy,phase,K,arrival_start_s,arrival_end_s,arrival_count,miss_count,DMR_percent,local_mean_ms,local_p95_ms,local_p99_ms,queue_mean_ms,queue_p95_ms,queue_p99_ms,service_mean_ms,service_p95_ms,service_p99_ms,start_lag_mean_ms,start_lag_p95_ms,start_lag_p99_ms,front_end_mean_ms,front_end_p95_ms,front_end_p99_ms,calendar_completed_fps,time_mean_ready_queue,peak_ready_queue,time_mean_unfinished_backlog,peak_unfinished_backlog,time_mean_generated_unfinished,peak_generated_unfinished,time_mean_A,peak_A
primary_08,2,B,K_LOOKUP_C2_C4,0,7,0,15,3150,1795,56.984126984127,65.9687643965079,257.939157549999,328.83662691,29.4898719346032,186.3218536,203.85672932,15.4055101387302,19.5370019,22.33699549,6.25237956984127,14.2637788999998,185.68461059,14.8210027533333,20.78874565,31.3332157399999,209.8,6.19287310626667,50,13.8518182200667,74,13.7998409364667,73,3.23353482593333,4
primary_08,2,B,K_LOOKUP_C2_C4,1,6,15,30,2700,883,32.7037037037037,28.7091653044444,38.53841745,40.12769168,7.34068707962963,15.7987575,16.84362764,8.66840713259259,10.09432695,11.60065434,0.56550383,1.85634625,3.30712481,12.1345672622222,14.77237495,16.20771229,180.066666666667,1.32132367433333,4,5.16816594846667,9,5.13963887173333,9,1.56082947753333,3
primary_08,2,B,K_LOOKUP_C2_C4,2,7,30,45,3150,1478,46.9206349206349,35.07005178,45.98011745,49.31549789,5.65179471587302,15.55590205,17.64006368,15.0958058298413,19.329096,22.41475957,0.995071685714286,3.38361895,5.15711456,13.3273795485714,17.13721115,19.01257733,209.933333333333,1.18687689033333,6,7.36444875413333,14,7.3165913008,14,3.1698571046,4
primary_08,2,B,K_LOOKUP_C2_C4,3,6,45,60,2700,865,32.037037037037,28.5483770440741,38.44907845,39.58262897,7.31117397296296,15.76396675,16.72363859,8.63233333518518,10.009228,11.06604023,0.57021493037037,1.94156915,3.27014623999999,12.0346548055556,14.73747395,16.43255535,180.066666666667,1.31601131513333,4,5.13902288653333,9,5.110542677,9,1.55413501893333,3
primary_09,2,A,FIXED_C4,0,6,0,15,2700,1001,37.0740740740741,39.2042687896296,94.72051375,229.626582239999,8.24194384407407,41.0875811499999,91.84865862,14.4440379759259,18.8781991,20.55326769,3.40926880962963,3.0799537,118.903338049999,13.10901816,16.5853994,30.6969366199999,179.866666666667,1.48354989193333,26,7.0558798822,50,7.0207498998,50,2.59903833573333,4
primary_09,2,A,FIXED_C4,1,7,15,30,3150,1426,45.2698412698413,34.6709432069841,45.27323105,47.94020809,5.42100346634921,14.8812265,16.57672895,14.9129192266667,18.80805745,21.15718642,0.991339867936508,3.65337785,5.67331643999997,13.3456806460317,17.1257325,19.09443979,209.866666666667,1.13841072793333,6,7.27888811066667,14,7.23590240553333,14,3.1297030748,4
primary_09,2,A,FIXED_C4,2,6,30,45,2700,887,32.8518518518519,31.2703949462963,38.88660205,40.57947908,4.2994390162963,14.98358125,16.76276704,14.178075512963,18.60313075,20.03947216,0.617517741111111,2.02079875,3.81168449,12.1753626759259,14.9043371,16.5814619,180.2,0.773899022933333,5,5.63131669826667,11,5.6021583618,11,2.55469920026667,4
primary_09,2,A,FIXED_C4,3,7,45,60,3150,1415,44.9206349206349,34.4598935095238,44.7746437,47.25378783,5.45074563047619,15.1692617,17.03603986,14.8672255320635,18.83181985,21.10289647,0.965098079365079,3.2694405,5.28623203999999,13.176824267619,16.7988703,18.76160947,209.866666666667,1.1446565824,6,7.23592007753333,14,7.19067187446667,14,3.12145980226667,4
primary_10,2,B,FIXED_C4,0,7,0,15,3150,1656,52.5714285714286,48.8303727012698,163.6730488,226.31328359,16.3281676580952,108.0869632,148.51070654,15.2170911311111,19.46189815,22.96374899,3.01894794793651,4.40269674999998,101.996825899999,14.266165964127,18.8935644,24.3316716199999,209.8,3.4289152082,39,10.2518978146667,52,10.2044994765333,52,3.19310868493333,4
primary_10,2,B,FIXED_C4,1,6,15,30,2700,890,32.962962962963,31.1497143048148,38.8493151,40.46805904,4.26282228222222,15.0307789,16.68222226,14.1524431351852,18.5783455,19.82581954,0.589163393703704,1.964983,3.54221751999999,12.1452854937037,14.82334,16.0562203,180.066666666667,0.7673080108,4,5.6091811854,12,5.57970016493333,12,2.54967237486667,4
