trace,round,phase,K,window,fixed,lookup_acquisition,fixed_acquisition,DMR_percent_lookup,DMR_percent_fixed,delta_DMR_percent,miss_count_lookup,miss_count_fixed,delta_miss_count,queue_mean_ms_lookup,queue_mean_ms_fixed,delta_queue_mean_ms,queue_p95_ms_lookup,queue_p95_ms_fixed,delta_queue_p95_ms,service_mean_ms_lookup,service_mean_ms_fixed,delta_service_mean_ms,service_p95_ms_lookup,service_p95_ms_fixed,delta_service_p95_ms,local_mean_ms_lookup,local_mean_ms_fixed,delta_local_mean_ms,local_p95_ms_lookup,local_p95_ms_fixed,delta_local_p95_ms,start_lag_mean_ms_lookup,start_lag_mean_ms_fixed,delta_start_lag_mean_ms,front_end_mean_ms_lookup,front_end_mean_ms_fixed,delta_front_end_mean_ms,time_mean_ready_queue_lookup,time_mean_ready_queue_fixed,delta_time_mean_ready_queue,time_mean_unfinished_backlog_lookup,time_mean_unfinished_backlog_fixed,delta_time_mean_unfinished_backlog,calendar_completed_fps_lookup,calendar_completed_fps_fixed,delta_calendar_completed_fps
A,2,3,7,whole_phase,FIXED_C4,primary_12,primary_09,44.952380952381,44.9206349206349,0.0317460317460316,1416,1415,1,5.65848348857143,5.45074563047619,0.207737858095238,15.49633075,15.1692617,0.32706905,15.0992723260317,14.8672255320635,0.232046793968259,19.01432955,18.83181985,0.182509700000001,34.6159285126984,34.4598935095238,0.156035003174601,45.3138771,44.7746437,0.539233400000008,0.924698505396825,0.965098079365079,-0.0403995739682539,12.9334741926984,13.176824267619,-0.243350074920636,1.1882815326,1.1446565824,0.0436249502000001,7.26917811933333,7.23592007753333,0.0332580417999999,209.933333333333,209.866666666667,0.0666666666666629
A,3,0,6,whole_phase,FIXED_C2,primary_13,primary_18,38.962962962963,40.4074074074074,-1.44444444444445,1052,1091,-39,17.0930361459259,21.4531517888889,-4.36011564296296,106.31623085,145.12801355,-38.8117826999995,8.76126915111111,8.78750448296296,-0.0262353318518525,10.33627875,10.40290455,-0.0666258000000006,41.1254370414815,47.1476493777778,-6.0222123362963,156.1111984,203.5052374,-47.3940389999998,2.55443343407407,4.02488278148148,-1.47044934740741,12.7166983103704,12.8821103244444,-0.165412014074077,3.07674650626667,3.861567322,-0.784820815733333,7.4013620422,8.4858565574,-1.0844945152,179.866666666667,179.866666666667,0
A,3,0,6,whole_phase,FIXED_C4,primary_13,primary_16,38.962962962963,39.8148148148148,-0.851851851851855,1052,1075,-23,17.0930361459259,13.7702120785185,3.32282406740741,106.31623085,104.42861715,1.8876137000001,8.76126915111111,14.6297842825926,-5.86851513148148,10.33627875,18.8535323,-8.51725355,41.1254370414815,53.0422594737037,-11.9168224322222,156.1111984,248.04847445,-91.9372760499999,2.55443343407407,10.8784458055556,-8.32401237148148,12.7166983103704,13.763817307037,-1.04711899666667,3.07674650626667,2.47863817413333,0.598108332133334,7.4013620422,9.547259077,-2.1458970348,179.866666666667,179.866666666667,0
A,3,1,7,whole_phase,FIXED_C2,primary_13,primary_18,45.5555555555556,43.1428571428571,2.41269841269841,1435,1359,76,5.42654184285714,9.60310567206349,-4.17656382920635,15.10715115,22.09170205,-6.9845509,14.855238972381,8.48993630634921,6.36530266603175,18.91430405,10.48264165,8.4316624,34.551171412381,31.8782608422222,2.67291057015873,45.1937365,44.8656705,0.328066000000014,0.899160134603175,0.704738164444445,0.19442197015873,13.3702304625397,13.0804806993651,0.289749763174605,1.139573787,2.01647085453333,-0.876897067533333,7.25594717073333,6.69405629486667,0.561890875866666,209.933333333333,209.933333333333,0
A,3,1,7,whole_phase,FIXED_C4,primary_13,primary_16,45.5555555555556,44.5079365079365,1.04761904761905,1435,1402,33,5.42654184285714,5.57844300253968,-0.15190115968254,15.10715115,15.44277185,-0.3356207,14.855238972381,15.0103202704762,-0.15508129809524,18.91430405,18.8777675,0.036536550000001,34.551171412381,34.5978668857143,-0.0466954733333296,45.1937365,45.13888715,0.0548493499999978,0.899160134603175,0.954518151111111,-0.0553580165079365,13.3702304625397,13.0545854615873,0.315645000952383,1.139573787,1.17147303053333,-0.0318992435333334,7.25594717073333,7.26352859133333,-0.00758142060000022,209.933333333333,209.866666666667,0.0666666666666629
A,3,2,6,whole_phase,FIXED_C2,primary_13,primary_18,32.3333333333333,32.8888888888889,-0.555555555555564,873,888,-15,7.34446907148148,7.42880446333333,-0.0843353918518508,15.82102905,15.9530317,-0.132002649999999,8.64043233111111,8.65149169740741,-0.0110593662962959,9.92058165,10.1234268,-0.20284515,28.6696362640741,28.750502732963,-0.080866468888896,38.53121905,38.5699901,-0.038771049999994,0.587484005185185,0.614944534074074,-0.0274605288888888,12.0972508562963,12.0552620381481,0.04198881814815,1.32200443286667,1.33736614,-0.0153617071333334,5.16085253293333,5.17570305086667,-0.0148505179333336,180.066666666667,180.066666666667,0
A,3,2,6,whole_phase,FIXED_C4,primary_13,primary_16,32.3333333333333,33,-0.666666666666671,873,891,-18,7.34446907148148,4.41472431111111,2.92974476037037,15.82102905,15.38798795,0.433041100000002,8.64043233111111,14.2255601362963,-5.58512780518519,9.92058165,18.64917495,-8.7285933,28.6696362640741,31.1961122577778,-2.52647599370371,38.53121905,38.9635888,-0.432369749999999,0.587484005185185,0.616732870740741,-0.0292488655555555,12.0972508562963,11.9390949396296,0.158155916666667,1.32200443286667,0.794650376,0.527354056866667,5.16085253293333,5.6169045474,-0.456052014466667,180.066666666667,180.133333333333,-0.0666666666666629
A,3,3,7,whole_phase,FIXED_C2,primary_13,primary_18,45.3333333333333,43.5555555555556,1.77777777777778,1428,1372,56,5.50671853460317,9.77191179809524,-4.26519326349206,15.18137,22.59134855,-7.40997855,14.9933207784127,8.5202902831746,6.4730304952381,19.00678685,10.58424015,8.4225467,34.6706863136508,31.9447550847619,2.72593122888889,45.2588777,44.9945194,0.264358300000005,0.933896452063492,0.718815613650794,0.215080838412698,13.2367505485714,12.9337373898413,0.30301315873016,1.15641089226667,2.0512675446,-0.894856652333333,7.28028433473333,6.706306862,0.573977472733334,209.933333333333,209.933333333333,0
A,3,3,7,whole_phase,FIXED_C4,primary_13,primary_16,45.3333333333333,45.3333333333333,0,1428,1428,0,5.50671853460317,5.66898935301587,-0.162270818412698,15.18137,15.39854615,-0.21717615,14.9933207784127,15.0999475888889,-0.10662681047619,19.00678685,19.0062917,0.000495149999999001,34.6706863136508,34.7403390803175,-0.069652766666664,45.2588777,45.46555755,-0.20667985,0.933896452063492,0.97480817968254,-0.0409117276190477,13.2367505485714,12.9965939587302,0.240156589841272,1.15641089226667,1.19048776413333,-0.0340768718666666,7.28028433473333,7.29516863286667,-0.0148842981333335,209.933333333333,209.933333333333,0
B,3,0,7,whole_phase,FIXED_C2,primary_15,primary_14,55.0793650793651,100,-44.9206349206349,1735,3150,-1415,19.7513968784127,243.744785334603,-223.99338845619,123.0160404,291.17070085,-168.15466045,15.5240079987302,9.43992273079365,6.08408526793651,19.819816,12.95838445,6.86143155,53.0790271463492,271.159966739048,-218.080939592698,179.29404085,317.9697962,-138.67575535,3.48490218349206,3.26034210349206,0.224560080000001,14.3187200857143,14.7149165701587,-0.396196484444447,4.14779334446667,50.8510181775333,-46.7032248330667,11.1446368123333,56.5797168135333,-45.4350800012,209.8,206.666666666667,3.13333333333335
