trace,round,phase,K_before,K_after,fixed,sample,offset_ms,A_lookup,A_fixed,delta_A,ready_queue_lookup,ready_queue_fixed,delta_ready_queue,unfinished_backlog_lookup,unfinished_backlog_fixed,delta_unfinished_backlog,generated_unfinished_lookup,generated_unfinished_fixed,delta_generated_unfinished,due_not_generated_lookup,due_not_generated_fixed,delta_due_not_generated,unfinished_late_count_lookup,unfinished_late_count_fixed,delta_unfinished_late_count,unfinished_late_fraction_lookup,unfinished_late_fraction_fixed,delta_unfinished_late_fraction,unfinished_slack_p10_ms_lookup,unfinished_slack_p10_ms_fixed,delta_unfinished_slack_p10_ms,unfinished_slack_median_ms_lookup,unfinished_slack_median_ms_fixed,delta_unfinished_slack_median_ms
B,5,3,7,6,FIXED_C4,boundary_left,0,3,3,0,1,0,1,4,3,1,4,3,1,0,0,0,4,3,1,1,1,0,-6.66666666666667e-07,-6.66666666666667e-07,0,-6.66666666666667e-07,-6.66666666666667e-07,0
A,1,1,6,7,FIXED_C2,evolution,1,2,2,0,0,0,0,9,9,0,9,9,0,0,0,0,2,2,0,0.222222222222222,0.222222222222222,0,-1.00000066666667,-1.00000066666667,0,32.3333333333333,32.3333333333333,0
A,1,1,6,7,FIXED_C4,evolution,1,2,2,0,0,0,0,9,9,0,9,9,0,0,0,0,2,2,0,0.222222222222222,0.222222222222222,0,-1.00000066666667,-1.00000066666667,0,32.3333333333333,32.3333333333333,0
A,1,1,6,7,FIXED_C2,evolution,5,1,1,0,0,0,0,8,8,0,8,8,0,0,0,0,1,1,0,0.125,0.125,0,18.3333331333333,18.3333331333333,0,28.3333333333333,28.3333333333333,0
A,1,1,6,7,FIXED_C4,evolution,5,1,2,-1,0,0,0,8,9,-1,8,9,-1,0,0,0,1,2,-1,0.125,0.222222222222222,-0.097222222222222,18.3333331333333,-5.00000066666667,23.3333338,28.3333333333333,28.3333333333333,0
A,1,1,6,7,FIXED_C2,evolution,10,0,0,0,0,0,0,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,23.3333333333333,23.3333333333333,0,23.3333333333333,23.3333333333333,0
A,1,1,6,7,FIXED_C4,evolution,10,0,0,0,0,0,0,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,23.3333333333333,23.3333333333333,0,23.3333333333333,23.3333333333333,0
A,1,1,6,7,FIXED_C2,evolution,20,4,2,2,1,5,-4,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,13.3333333333333,13.3333333333333,0,13.3333333333333,13.3333333333333,0
A,1,1,6,7,FIXED_C4,evolution,20,4,4,0,1,2,-1,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,13.3333333333333,13.3333333333333,0,13.3333333333333,13.3333333333333,0
A,1,1,6,7,FIXED_C2,evolution,50,4,2,2,2,3,-1,7,8,-1,7,8,-1,0,0,0,0,1,-1,0,0.125,-0.125,16.6666663333333,6.66666643333333,9.99999989999997,16.6666663333333,16.6666663333333,0
A,1,1,6,7,FIXED_C4,evolution,50,4,4,0,2,1,1,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,16.6666663333333,16.6666663333333,0,16.6666663333333,16.6666663333333,0
A,1,1,6,7,FIXED_C2,evolution,100,3,2,1,0,2,-2,10,11,-1,3,4,-1,7,7,0,3,4,-1,0.3,0.363636363636364,-0.063636363636364,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
A,1,1,6,7,FIXED_C4,evolution,100,3,3,0,0,0,0,10,10,0,3,3,0,7,7,0,3,3,0,0.3,0.3,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
A,1,1,6,7,FIXED_C2,evolution,500,3,2,1,0,1,-1,10,10,0,3,3,0,7,7,0,3,3,0,0.3,0.3,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
A,1,1,6,7,FIXED_C4,evolution,500,3,3,0,0,0,0,10,10,0,3,3,0,7,7,0,3,3,0,0.3,0.3,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
A,1,1,6,7,FIXED_C2,evolution,1000,4,2,2,0,1,-1,11,10,1,4,3,1,7,7,0,4,3,1,0.363636363636364,0.3,0.063636363636364,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
A,1,1,6,7,FIXED_C4,evolution,1000,4,3,1,0,0,0,11,10,1,4,3,1,7,7,0,4,3,1,0.363636363636364,0.3,0.063636363636364,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
A,1,2,7,6,FIXED_C2,evolution,1,3,2,1,0,1,-1,9,9,0,9,9,0,0,0,0,3,3,0,0.333333333333333,0.333333333333333,0,-1.00000066666667,-1.00000066666667,0,32.3333333333333,32.3333333333333,0
A,1,2,7,6,FIXED_C4,evolution,1,3,4,-1,0,0,0,9,10,-1,9,10,-1,0,0,0,3,4,-1,0.333333333333333,0.4,-0.066666666666667,-1.00000066666667,-1.00000066666667,0,32.3333333333333,32.3333333333333,0
A,1,2,7,6,FIXED_C2,evolution,5,3,1,2,0,0,0,9,7,2,9,7,2,0,0,0,3,1,2,0.333333333333333,0.142857142857143,0.19047619047619,-5.00000066666667,14.9999997333333,-20.0000004,28.3333333333333,28.3333333333333,0
A,1,2,7,6,FIXED_C4,evolution,5,3,2,1,0,0,0,9,8,1,9,8,1,0,0,0,3,2,1,0.333333333333333,0.25,0.083333333333333,-5.00000066666667,-5.00000066666667,0,28.3333333333333,28.3333333333333,0
A,1,2,7,6,FIXED_C2,evolution,10,2,2,0,0,0,0,8,6,2,8,6,2,0,0,0,2,0,2,0.25,0,0.25,-10.0000006666667,23.3333333333333,-33.333334,23.3333333333333,23.3333333333333,0
A,1,2,7,6,FIXED_C4,evolution,10,2,1,1,0,0,0,8,7,1,8,7,1,0,0,0,2,1,1,0.25,0.142857142857143,0.107142857142857,-10.0000006666667,9.99999973333333,-20.0000004,23.3333333333333,23.3333333333333,0
A,1,2,7,6,FIXED_C2,evolution,20,2,2,0,4,2,2,6,4,2,6,4,2,0,0,0,0,0,0,0,0,0,13.3333333333333,13.3333333333333,0,13.3333333333333,13.3333333333333,0
A,1,2,7,6,FIXED_C4,evolution,20,2,4,-2,4,2,2,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,13.3333333333333,13.3333333333333,0,13.3333333333333,13.3333333333333,0
A,1,2,7,6,FIXED_C2,evolution,50,2,2,0,4,4,0,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,16.6666663333333,16.6666663333333,0,16.6666663333333,16.6666663333333,0
A,1,2,7,6,FIXED_C4,evolution,50,2,4,-2,4,2,2,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,16.6666663333333,16.6666663333333,0,16.6666663333333,16.6666663333333,0
A,1,2,7,6,FIXED_C2,evolution,100,2,2,0,0,0,0,8,8,0,2,2,0,6,6,0,2,2,0,0.25,0.25,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
A,1,2,7,6,FIXED_C4,evolution,100,2,2,0,0,0,0,8,8,0,2,2,0,6,6,0,2,2,0,0.25,0.25,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
A,1,2,7,6,FIXED_C2,evolution,500,2,2,0,0,0,0,8,8,0,2,2,0,6,6,0,2,2,0,0.25,0.25,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
A,1,2,7,6,FIXED_C4,evolution,500,2,2,0,0,0,0,8,8,0,2,2,0,6,6,0,2,2,0,0.25,0.25,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
A,1,2,7,6,FIXED_C2,evolution,1000,2,2,0,0,0,0,8,8,0,2,2,0,6,6,0,2,2,0,0.25,0.25,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
A,1,2,7,6,FIXED_C4,evolution,1000,2,2,0,0,0,0,8,8,0,2,2,0,6,6,0,2,2,0,0.25,0.25,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
A,1,3,6,7,FIXED_C2,evolution,1,2,2,0,0,0,0,9,9,0,9,9,0,0,0,0,2,2,0,0.222222222222222,0.222222222222222,0,-1.00000066666667,-1.00000066666667,0,32.3333333333333,32.3333333333333,0
A,1,3,6,7,FIXED_C4,evolution,1,2,2,0,0,0,0,9,9,0,9,9,0,0,0,0,2,2,0,0.222222222222222,0.222222222222222,0,-1.00000066666667,-1.00000066666667,0,32.3333333333333,32.3333333333333,0
A,1,3,6,7,FIXED_C2,evolution,5,1,0,1,0,0,0,8,7,1,8,7,1,0,0,0,1,0,1,0.125,0,0.125,18.3333331333333,28.3333333333333,-10.0000002,28.3333333333333,28.3333333333333,0
A,1,3,6,7,FIXED_C4,evolution,5,1,2,-1,0,0,0,8,9,-1,8,9,-1,0,0,0,1,2,-1,0.125,0.222222222222222,-0.097222222222222,18.3333331333333,-5.00000066666667,23.3333338,28.3333333333333,28.3333333333333,0
A,1,3,6,7,FIXED_C2,evolution,10,0,0,0,0,0,0,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,23.3333333333333,23.3333333333333,0,23.3333333333333,23.3333333333333,0
A,1,3,6,7,FIXED_C4,evolution,10,0,0,0,0,0,0,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,23.3333333333333,23.3333333333333,0,23.3333333333333,23.3333333333333,0
A,1,3,6,7,FIXED_C2,evolution,20,4,2,2,3,5,-2,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,13.3333333333333,13.3333333333333,0,13.3333333333333,13.3333333333333,0
A,1,3,6,7,FIXED_C4,evolution,20,4,4,0,3,2,1,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,13.3333333333333,13.3333333333333,0,13.3333333333333,13.3333333333333,0
A,1,3,6,7,FIXED_C2,evolution,50,4,2,2,1,5,-4,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,16.6666663333333,16.6666663333333,0,16.6666663333333,16.6666663333333,0
A,1,3,6,7,FIXED_C4,evolution,50,4,4,0,1,2,-1,7,8,-1,7,8,-1,0,0,0,0,1,-1,0,0.125,-0.125,16.6666663333333,6.66666643333333,9.99999989999997,16.6666663333333,16.6666663333333,0
A,1,3,6,7,FIXED_C2,evolution,100,3,2,1,0,1,-1,10,10,0,3,3,0,7,7,0,3,3,0,0.3,0.3,0,-6.66666666666667e-07,-6.66666666666667e-07,0,33.3333333333333,33.3333333333333,0
