acquisition_id,trace,policy,round,K,arrival_count,miss_count,DMR_percent,queue_mean_ms,service_mean_ms,start_lag_mean_ms,front_end_mean_ms,local_mean_ms
primary_18,A,FIXED_C2,3,6,5400,1979,36.6481481481481,14.4409781261111,8.71949809018519,2.31991365777778,12.4686861812962,37.9490760553704
primary_18,A,FIXED_C2,3,7,6300,2731,43.3492063492063,9.68750873507937,8.50511329476191,0.711776889047619,13.0071090446032,31.9115079634921
primary_19,B,K_LOOKUP_C2_C4,4,7,6300,3784,60.0634920634921,11.9253613022222,15.656714435873,2.25230576238096,15.378987596508,45.2133690969842
primary_19,B,K_LOOKUP_C2_C4,4,6,5400,1815,33.6111111111111,6.79893741407407,8.93290182481482,0.640999363148148,13.7824345857407,30.1552731877778
primary_20,A,FIXED_C4,4,6,5400,1937,35.8703703703704,7.95356884203704,14.4058589764815,2.20832115962963,12.472951245,37.0407002231481
primary_20,A,FIXED_C4,4,7,6300,2855,45.3174603174603,5.63046037698412,15.1253868136508,0.96236715015873,13.061827563492,34.7800419042858
primary_21,B,FIXED_C4,4,7,6300,3116,49.4603174603175,10.2233867080952,15.2327233412698,1.72356312349206,13.63018326,40.8098564328572
primary_21,B,FIXED_C4,4,6,5400,1779,32.9444444444444,4.43302020592593,14.2625190244444,0.602706008518519,12.0276084142593,31.3258536531481
primary_22,A,FIXED_C2,4,6,5400,1952,36.1481481481481,12.2347467062963,8.70903505166667,1.72139965222222,12.4475112418518,35.1126926520371
primary_22,A,FIXED_C2,4,7,6300,2745,43.5714285714286,9.75054831539683,8.50157901031746,0.697921627619048,13.0053818569841,31.9554308103175
primary_23,A,K_LOOKUP_C2_C4,4,6,5400,1991,36.8703703703704,14.9794420642593,8.72304527722223,2.08165028537037,12.5904471183333,38.3745847451852
primary_23,A,K_LOOKUP_C2_C4,4,7,6300,2875,45.6349206349206,5.52322903,15.0013432709524,0.989637603015873,13.290551975873,34.8047618798413
primary_24,B,FIXED_C2,4,7,6300,4654,73.8730158730159,120.960747911111,9.06030962317461,1.60808237301587,14.1981239726984,145.82726388
primary_24,B,FIXED_C2,4,6,5400,1936,35.8518518518519,12.4732715768518,8.76272096370371,0.593626767777778,12.8351662162963,34.6647855246297
primary_25,A,FIXED_C2,5,6,5400,1971,36.5,13.0123342146296,8.70667561388889,1.62415778203704,12.5247456587037,35.8679132692592
primary_25,A,FIXED_C2,5,7,6300,2815,44.6825396825397,9.82901438349207,8.60593396793651,0.724422523809524,13.3717208609524,32.5310917361904
primary_26,A,K_LOOKUP_C2_C4,5,6,5400,1928,35.7037037037037,12.2707419533334,8.71996921888889,1.70917438759259,12.3258391387037,35.0257246985185
primary_26,A,K_LOOKUP_C2_C4,5,7,6300,2852,45.2698412698413,5.56426452904762,15.0452439047619,0.964308595714286,13.1070206231746,34.6808376526984
primary_27,B,FIXED_C2,5,7,6300,4565,72.4603174603175,155.418155763968,8.9351361863492,3.27535490888889,13.9356560696826,181.564302928889
primary_27,B,FIXED_C2,5,6,5400,1773,32.8333333333333,7.87424742407407,8.64069348833333,0.556083857037037,11.9994051831481,29.0704299525926
primary_28,B,K_LOOKUP_C2_C4,5,7,6300,3190,50.6349206349206,12.6787429898413,15.1725703920635,2.34800934031746,13.9215227707936,44.1208454930159
primary_28,B,K_LOOKUP_C2_C4,5,6,5400,1757,32.537037037037,7.34416397092593,8.64346493203704,0.568421584259259,12.1439326651852,28.6999831524074
primary_29,A,FIXED_C4,5,6,5400,1847,34.2037037037037,6.10594529462963,14.2962386461111,1.31315314314815,12.3714588672222,34.0867959511111
primary_29,A,FIXED_C4,5,7,6300,2883,45.7619047619048,5.52524993746032,15.0241285587302,0.946902954761905,13.2907218895238,34.7870033404762
primary_30,B,FIXED_C4,5,7,6300,3265,51.8253968253968,20.1173652431746,15.2070794430159,3.83524127603174,14.0845764482539,53.2442624104762
primary_30,B,FIXED_C4,5,6,5400,1754,32.4814814814815,4.27448435444444,14.1453095203704,0.588933396851852,12.1766174331481,31.1853447048148
