trace,policy,round,K,earlier_phase,later_phase,DMR_percent_earlier,DMR_percent_later,delta_DMR_percent,queue_mean_ms_earlier,queue_mean_ms_later,delta_queue_mean_ms,local_p95_ms_earlier,local_p95_ms_later,delta_local_p95_ms,time_mean_unfinished_backlog_earlier,time_mean_unfinished_backlog_later,delta_time_mean_unfinished_backlog
A,FIXED_C4,5,7,1,3,45.7777777777778,45.7460317460317,-0.0317460317461027,5.4973678184127,5.55313205650794,0.0557642380952403,45.3042718,45.36874645,0.0644746500000011,7.31695569986667,7.29201738406667,-0.0249383157999992
A,K_LOOKUP_C2_C4,1,6,0,2,41.6666666666667,32.7407407407407,-8.925925925926,23.5803482785185,7.49582593037037,-16.0845223481481,218.8436707,38.74671185,-180.09695885,8.95710405306667,5.1815980922,-3.77550596086667
A,K_LOOKUP_C2_C4,1,7,1,3,45.2698412698413,45.3650793650794,0.095238095238102,5.49974649396825,5.66326033142857,0.16351383746032,45.3225286,45.4530613,0.130532700000003,7.29445558906667,7.3185767854,0.0241211963333301
A,K_LOOKUP_C2_C4,2,6,0,2,41.8888888888889,32.5185185185185,-9.3703703703704,23.3858655081482,7.4706483337037,-15.9152171744445,215.5402382,38.4360139,-177.1042243,8.86641425673333,5.14899669346667,-3.71741756326666
A,K_LOOKUP_C2_C4,2,7,1,3,44.984126984127,44.952380952381,-0.0317460317460032,5.5764074215873,5.65848348857143,0.0820760669841301,45.21065135,45.3138771,0.10322575,7.2716613988,7.26917811933333,-0.00248327946667004
A,K_LOOKUP_C2_C4,3,6,0,2,38.962962962963,32.3333333333333,-6.6296296296297,17.0930361459259,7.34446907148148,-9.74856707444442,156.1111984,38.53121905,-117.57997935,7.4013620422,5.16085253293333,-2.24050950926667
A,K_LOOKUP_C2_C4,3,7,1,3,45.5555555555556,45.3333333333333,-0.2222222222223,5.42654184285714,5.50671853460317,0.08017669174603,45.1937365,45.2588777,0.0651411999999993,7.25594717073333,7.28028433473333,0.0243371640000003
A,K_LOOKUP_C2_C4,4,6,0,2,41.0740740740741,32.6666666666667,-8.4074074074074,22.6159733725926,7.34291075592593,-15.2730626166667,208.82613685,38.8323427,-169.99379415,8.6270917474,5.18930699813333,-3.43778474926667
A,K_LOOKUP_C2_C4,4,7,1,3,46,45.2698412698413,-0.730158730158699,5.51672084476191,5.52973721523809,0.0130163704761808,45.5024335,45.5307268,0.0282932999999943,7.3151163912,7.30031536286667,-0.0148010283333297
A,K_LOOKUP_C2_C4,5,6,0,2,38.962962962963,32.4444444444444,-6.5185185185186,17.1233460518519,7.41813785481482,-9.70520819703708,151.17276955,38.72335895,-112.4494106,7.43828474133333,5.17066799193333,-2.2676167494
A,K_LOOKUP_C2_C4,5,7,1,3,45.4603174603175,45.0793650793651,-0.380952380952401,5.49582631619048,5.63270274190476,0.13687642571428,45.59912885,45.51275925,-0.0863695999999976,7.276706791,7.288851283,0.012144492
B,FIXED_C2,1,7,0,2,81.4603174603175,44.031746031746,-37.4285714285715,103.266445771429,9.90726041555556,-93.3591853558734,285.48286555,45.4104703,-240.07239525,27.189972948,6.7538061886,-20.4361667594
B,FIXED_C2,1,6,1,3,32.4444444444444,32.4444444444444,0,7.39514917740741,7.4069594362963,0.0118102588888904,38.5296828,38.259552,-0.270130800000004,5.157472821,5.13211466326667,-0.0253581577333302
B,FIXED_C2,2,7,0,2,100,44.5714285714286,-55.4285714285714,316.203839914921,10.1436004463492,-306.060239468572,373.2721638,46.21403255,-327.05813125,72.0288102857333,6.8013676912,-65.2274425945333
B,FIXED_C2,2,6,1,3,37.1111111111111,32.4444444444444,-4.6666666666667,16.0427892640741,7.36909636777778,-8.67369289629632,98.8704929499999,38.36914845,-60.5013444999999,7.19913037686667,5.1365275394,-2.06260283746667
B,FIXED_C2,3,7,0,2,100,43.4920634920635,-56.5079365079365,243.744785334603,9.82899879936508,-233.915786535238,317.9697962,44.7742427,-273.1955535,56.5797168135333,6.7001075626,-49.8796092509333
B,FIXED_C2,3,6,1,3,38.3703703703704,32.4814814814815,-5.8888888888889,16.5951025137037,7.35225724481481,-9.24284526888889,120.9813039,38.6165149,-82.364789,7.21357718113333,5.15838635906667,-2.05519082206666
B,FIXED_C2,4,7,0,2,100,47.7460317460317,-52.2539682539683,230.912915653968,11.008580168254,-219.904335485714,284.8535408,50.5827938999999,-234.2707469,53.7331620056,7.10083738793333,-46.6323246176667
B,FIXED_C2,4,6,1,3,39.6666666666667,32.037037037037,-7.6296296296297,17.7205881381481,7.22595501555555,-10.4946331225925,140.949282,38.2636933,-102.6855887,7.79098740386667,5.10056441473333,-2.69042298913334
B,FIXED_C2,5,7,0,2,100,44.9206349206349,-55.0793650793651,300.685560972698,10.1507505552381,-290.53481041746,414.9090985,46.29794265,-368.61115585,69.3631666722,6.83324163033333,-62.5299250418667
B,FIXED_C2,5,6,1,3,33.2962962962963,32.3703703703704,-0.925925925925895,8.34902933518518,7.39946551296296,-0.94956382222222,39.157122,38.4830126,-0.674109399999999,5.3787348762,5.14637055873333,-0.23236431746667
B,FIXED_C4,1,7,0,2,53.5555555555556,45.4920634920635,-8.0634920634921,23.6577848949206,5.42365650380952,-18.2341283911111,222.16033755,45.52850465,-176.6318329,12.0504403026,7.25411329433333,-4.79632700826667
B,FIXED_C4,1,6,1,3,32.7777777777778,31.5925925925926,-1.1851851851852,4.23953466296296,4.17403369814815,-0.0655009648148104,38.8026667,38.7384522,-0.0642145000000056,5.60253358846667,5.5619483978,-0.0405851906666701
B,FIXED_C4,2,7,0,2,52.5714285714286,45.3015873015873,-7.2698412698413,16.3281676580952,5.36032782984127,-10.9678398282539,163.6730488,45.38218085,-118.29086795,10.2518978146667,7.23113152653333,-3.02076628813337
B,FIXED_C4,2,6,1,3,32.962962962963,32.2592592592593,-0.703703703703695,4.26282228222222,4.20589178185185,-0.0569305003703695,38.8493151,38.7414953,-0.107819800000001,5.6091811854,5.57597946746667,-0.0332017179333297
B,FIXED_C4,3,7,0,2,56.6666666666667,46.2222222222222,-10.4444444444445,26.7035685730159,5.52779212920635,-21.1757764438095,241.19254645,45.6958809,-195.49666555,13.0525530070667,7.32044098093333,-5.73211202613337
B,FIXED_C4,3,6,1,3,32.8518518518519,32.962962962963,0.1111111111111,4.38053862444444,4.38207419111111,0.00153556666667054,38.9553571,38.99295565,0.0375985499999985,5.62822225633333,5.63187188673333,0.00364963039999999
B,FIXED_C4,4,7,0,2,52.6666666666667,46.2539682539683,-6.4126984126984,14.7286767869841,5.71809662920635,-9.01058015777775,146.1325923,45.77373705,-100.35885525,9.79258342126667,7.3449802534,-2.44760316786667
B,FIXED_C4,4,6,1,3,32.7407407407407,33.1481481481482,0.407407407407504,4.37134963037037,4.49469078148148,0.12334115111111,39.01153615,38.9294045,-0.0821316500000009,5.63293481053333,5.645604883,0.01267007246667
B,FIXED_C4,5,7,0,2,57.6190476190476,46.031746031746,-11.5873015873016,34.7226240901587,5.51210639619048,-29.2105176939682,289.3792044,45.44653345,-243.93267095,15.0332088532,7.32667063153333,-7.70653822166667
