acquisition_id,round,trace,policy,phase,boundary_s,boundary_ns,K_before,K_after,C_before,C_after,logical_boundary_ns,notification_ns,apply_ns,cap_apply_delay_ms,sample_ns,sample_side,C,A,ready_queue,unfinished_backlog,generated_unfinished,due_not_generated,online_active_counter,observed_K,latest_event_seq,latest_event_ns,unfinished_slack_min_ms,unfinished_slack_p10_ms,unfinished_slack_median_ms,unfinished_slack_p90_ms,unfinished_late_count,unfinished_late_fraction,unfinished_urgent_5ms_count,unfinished_urgent_10ms_count,ready_slack_min_ms,ready_slack_p10_ms,ready_slack_median_ms,ready_slack_p90_ms,ready_late_count,ready_late_fraction,ready_urgent_5ms_count,ready_urgent_10ms_count,generated_slack_min_ms,generated_slack_p10_ms,generated_slack_median_ms,generated_slack_p90_ms,generated_late_count,generated_late_fraction,generated_urgent_5ms_count,generated_urgent_10ms_count
primary_08,2,B,K_LOOKUP_C2_C4,1,15,85960583811350,7,6,4,2,85960583811350,85960583931808,85960583980595,0.169245,85960583811350,LEFT_LIMIT,4,3,0,3,3,0,3,7,12597,85960580122624,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0
primary_08,2,B,K_LOOKUP_C2_C4,2,30,85975583811350,6,7,2,4,85975583811350,85975583924555,85975583955176,0.143826,85975583811350,LEFT_LIMIT,2,2,0,2,2,0,2,6,23400,85975579558646,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_08,2,B,K_LOOKUP_C2_C4,3,45,85990583811350,7,6,4,2,85990583811350,85990583895527,85990583909823,0.098473,85990583811350,LEFT_LIMIT,4,3,0,3,3,0,3,7,36001,85990581369565,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0
primary_09,2,A,FIXED_C4,1,15,86024418098535,6,7,4,4,86024418098535,86024418197718,86024418240014,0.141479,86024418098535,LEFT_LIMIT,4,2,0,2,2,0,2,6,10798,86024417957614,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_09,2,A,FIXED_C4,2,30,86039418098535,7,6,4,4,86039418098535,86039418245258,86039418272536,0.174001,86039418098535,LEFT_LIMIT,4,4,0,4,4,0,4,7,23398,86039417502483,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,4,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,4,1,0,0
primary_09,2,A,FIXED_C4,3,45,86054418098535,6,7,4,4,86054418098535,86054418208554,86054418233054,0.134519,86054418098535,LEFT_LIMIT,4,1,0,1,1,0,1,6,34203,86054417199520,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,1,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,1,1,0,0
primary_10,2,B,FIXED_C4,1,15,86088353303326,7,6,4,4,86088353303326,86088353413067,86088353462938,0.159612,86088353303326,LEFT_LIMIT,4,3,0,3,3,0,3,7,12597,86088352636999,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0
primary_10,2,B,FIXED_C4,2,30,86103353303326,6,7,4,4,86103353303326,86103353401411,86103353422384,0.119058,86103353303326,LEFT_LIMIT,4,2,0,2,2,0,2,6,23400,86103347649333,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_10,2,B,FIXED_C4,3,45,86118353303326,7,6,4,4,86118353303326,86118353390598,86118353405348,0.102022,86118353303326,LEFT_LIMIT,4,3,0,3,3,0,3,7,36001,86118351211954,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0
primary_11,2,A,FIXED_C2,1,15,86152238928731,6,7,2,2,86152238928731,86152239024020,86152239049808,0.121077,86152238928731,LEFT_LIMIT,2,2,0,2,2,0,2,6,10798,86152233371623,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
