K,Run,offered_load_fps,rows,e2e_mean_ms,e2e_median_ms,e2e_p95_ms,ready_wait_mean_ms,ready_wait_p95_ms,front_end_mean_ms,inference_mean_ms,peak_backlog,final_arrival_backlog,final_backlog,time_weighted_backlog
5,4,150,9000,25.679139976730866,23.88076733222988,33.351458983634075,9.358233036103533,16.53324754752248,10.821891007450176,4.653209717000411,35,5,0,3.8344791553372195
5,5,150,9000,24.93951876723117,23.922177833810565,33.33409538354317,8.810411459228716,16.61151715215965,10.731005216329423,4.661185445895778,29,5,0,3.7214073737985687
6,1,180,10800,39.481538160229725,28.66600000015751,161.16425584896203,22.08234473092994,137.55340984844224,11.596648046959134,4.9150163377015375,47,7,0,7.082191377191533
6,2,180,10800,41.945381010160354,28.78021000105946,164.4028966175028,24.323783245302668,142.74418649947614,11.808887385075447,4.908682861931892,46,7,0,7.524054491197629
6,3,180,10800,36.112293471318544,28.443081166187767,120.9838468328595,18.57412969019707,100.22881654949738,11.752623782582237,4.8490647073251445,47,7,0,6.473213425167406
6,4,180,10800,37.09486632493079,28.793006835257984,113.8156424698536,19.56775142231621,92.91231825118302,11.732089357216225,4.951018575178818,42,7,0,6.6504099079724615
6,5,180,10800,39.755815354455315,28.756938332662685,163.35605041513188,22.064791322304867,137.71855075192406,11.772894459084084,4.927907434460697,46,7,0,7.1332821701355
7,1,210,12600,4259.259850958527,4443.290402001367,7061.586627098404,4239.393251181033,7043.645447498966,13.423153408173617,5.245260694997371,1514,1514,0,811.5897982688965
7,2,210,12600,4501.655189304688,4664.691489337201,7554.518353237654,4481.934109870952,7536.786870999822,13.413487049147657,5.2912460591834956,1620,1620,0,849.7579992296986
7,3,210,12600,4639.683580204245,4843.926585499503,7651.664616815106,4619.766514808492,7633.222542499243,13.326572094675713,5.2923358367338045,1643,1643,0,876.1962749959397
7,4,210,12600,4469.576822057085,4626.289868665481,7422.124560616976,4449.608712984291,7404.965400249603,13.280999690233575,5.276501976501413,1590,1590,0,846.0437978784901
7,5,210,12600,4631.800199877635,4916.766418669795,7637.939371650464,4612.099326367699,7619.497698697342,13.351819921444408,5.296122279200755,1636,1636,0,874.7316295737119
