K,row_type,run_id,e2e_mean_ms,e2e_p95_ms,e2e_p99_ms,deadline_miss_pct,frame_start_lag_mean_ms,front_end_mean_ms,inference_queue_wait_mean_ms,inference_mean_ms,inference_queue_peak
5,run,run01,25.817643000777778,33.29914395,112.13286628,4.811111111111111,0.9740434772222222,11.018160052777779,9.203976482,4.621462988777778,34.0
5,run,run02,26.232913596666666,36.22308575,110.14479438,7.166666666666667,1.1060782085555556,11.93154301188889,8.487047637555555,4.708244738666667,35.0
5,run,run03,25.40845436488889,33.2373351,90.48142369,4.288888888888889,0.9048834507777778,11.009116124333334,8.905207478333333,4.589247311444445,30.0
5,run,run04,25.676025267333333,33.16940275,111.59987299,4.088888888888889,0.9120258983333334,10.888720786444445,9.274723362,4.600555220555556,36.0
5,run,run05,25.515178580666667,33.18284205,96.06274654,4.177777777777778,0.9427924221111111,10.966152370777777,9.006256754777779,4.599977033,33.0
5,mean,,25.730042962066666,33.82236192,104.084340776,4.906666666666666,0.9679646914,11.162738469244445,8.975442342933334,4.623897458488889,33.6
5,sample_std,,0.3213473515911844,1.3430217490785485,10.091783941281959,1.2940652758928375,0.08193645386440762,0.4328091244278933,0.3107285123368431,0.048574864471427844,2.302172886644268
5,min,,25.40845436488889,33.16940275,90.48142369,4.088888888888889,0.9048834507777778,10.888720786444445,8.487047637555555,4.589247311444445,30.0
5,max,,26.232913596666666,36.22308575,112.13286628,7.166666666666667,1.1060782085555556,11.93154301188889,9.274723362,4.708244738666667,36.0
6,run,run01,34.073199762037035,43.1500006,251.52784037,26.64814814814815,1.2058633726851853,11.617031178148148,16.449789640092593,4.800515571111111,52.0
6,run,run02,74.36577836796296,165.46659685,193.02067422,56.388888888888886,0.9832308131481482,12.7249896275,55.60545011759259,5.052107809722222,40.0
6,run,run03,35.81621726398148,122.90566435,210.51896033,30.287037037037038,0.9103556589814815,11.729706773518519,18.282046859907407,4.8941079715740745,42.0
6,run,run04,38.37169124601852,139.90585175,213.85236464,32.166666666666664,0.9245558407407407,11.812791465555556,20.747580602407407,4.8867633373148145,42.0
6,run,run05,35.47716678092593,75.7384014,238.60420841,29.75,1.0881239982407407,11.702125894722222,17.804894697685185,4.882022190277778,47.0
6,mean,,43.62081068418518,109.43330299000002,221.50480959400002,35.048148148148144,1.0224259367592592,11.917328987888888,25.777952383537034,4.903103375999999,44.6
6,sample_std,,17.25683764157834,49.44348627026132,23.36860384508965,12.093683306831128,0.12413711043867513,0.45687444761155355,16.746321461598377,0.09154085090449364,4.878524367060187
6,min,,34.073199762037035,43.1500006,193.02067422,26.64814814814815,0.9103556589814815,11.617031178148148,16.449789640092593,4.800515571111111,40.0
6,max,,74.36577836796296,165.46659685,251.52784037,56.388888888888886,1.2058633726851853,12.7249896275,55.60545011759259,5.052107809722222,52.0
7,run,run01,4326.5255971169845,7290.7622677,7417.11035767,100.0,0.8292137088095238,13.565817415396825,4306.867809863968,5.2627561288095235,1564.0
7,run,run02,4127.44478072873,6837.9692601,6965.45758505,100.0,1.2811499482539683,13.49063999563492,4107.452012083175,5.220978701666667,1468.0
7,run,run03,4475.070635011667,7532.5745973,7663.02877914,100.0,1.2707652993650793,13.42921730436508,4455.096520262857,5.274132145079365,1615.0
7,run,run04,4379.283532409445,7367.2626895,7489.75212258,100.0,0.7641556903174603,13.350808775714286,4359.897009317539,5.271558625873016,1577.0
