run_id,operating_point,kind,repeat,protocol_version,K,C,freq_state,requested_freq_MHz,actual_freq_mean_MHz,admission_fps_per_stream,source_fps,aggregate_admitted_fps,aggregate_ready_fps,aggregate_completed_fps,min_per_stream_completed_fps,mean_per_stream_completed_fps,g_B,backlog_at_active_end,backlog_peak,queue_stable,avg_power_W,median_power_W,active_energy_J,energy_per_frame_J,temperature,OC3_delta,integrity_status,hardware_status,supply_status,active_concurrency_peak,active_concurrency_mean,frontend_ready_deficit_fraction,frontend_pending_slope,source_pending_slope,pipeline_audit_status,per_stream_completed_fps,backlog_after_drain,child_returncode,child_exit_signal,frequency_restore_ok,PROCESS_LIFECYCLE
CRG_20260919_P10,B,primary,2,2,7,4,MID,1260,1260.0,27,210.0,189.0,189.0,188.91666666666666,26.983333333333334,26.988095238095237,0.006675628675110564,5,18,True,43.30696696562816,,2598.41801793769,0.22923846651413232,67.40116145833333,0,VALID,CLEAN,NORMAL,4,3.4027575713166773,0.0,0.0010874132448720451,-0.0005293161097924997,PASS,"[27.0, 26.983333333333334, 27.0, 26.983333333333334, 26.983333333333334, 26.983333333333334, 26.983333333333334]",0,0,,True,PASS
CRG_20260919_P11,C,primary,2,2,7,1,HIGH,1575,1575.0,30,210.0,210.0,210.0,185.33333333333334,26.466666666666665,26.476190476190474,24.53897519597623,1480,1486,False,46.797003098561404,,2807.8201859136843,,68.41274350086655,0,VALID,CLEAN,NORMAL,1,0.9947823849166663,0.0,-0.001577385265738766,0.00045540304469699286,PASS,"[26.483333333333334, 26.483333333333334, 26.483333333333334, 26.466666666666665, 26.466666666666665, 26.466666666666665, 26.483333333333334]",0,0,,True,PASS
CRG_20260919_P12,A,primary,2,2,6,2,MID,1260,1260.0,30,180.0,180.0,180.0,179.96666666666667,29.983333333333334,29.994444444444444,0.00552044560123312,2,13,True,41.61946113669929,,2497.1676682019574,0.23126205484367082,67.2361109185442,0,VALID,CLEAN,NORMAL,2,1.7928342418999987,0.0,0.0020497655710003688,4.084161762171473e-05,PASS,"[29.983333333333334, 29.983333333333334, 30.0, 30.0, 30.0, 30.0]",0,0,,True,PASS
CRG_20260919_P13,B,primary,2,2,7,1,MID,1260,1260.0,27,210.0,189.0,189.0,165.16666666666666,23.583333333333332,23.595238095238095,24.26963351471317,1430,1436,False,38.43416501124969,,2306.0499006749815,,65.69666840277777,0,VALID,CLEAN,NORMAL,1,0.9941833160666668,0.0,-0.00010871477214162754,0.0005949455578911661,PASS,"[23.6, 23.6, 23.583333333333332, 23.6, 23.583333333333332, 23.6, 23.6]",0,0,,True,PASS
CRG_20260919_P14,C,primary,2,2,7,2,HIGH,1575,1575.0,30,210.0,210.0,210.0,209.86666666666667,29.966666666666665,29.98095238095238,0.006606451133692777,8,17,True,52.371518465086076,,3142.2911079051646,0.2495466254689616,70.74315130434783,43,VALID,PROTECTION_LIMITED,NORMAL,2,1.947170045133333,0.0,0.0005759360514449459,-0.0001112748974441315,PASS,"[29.983333333333334, 29.983333333333334, 29.983333333333334, 29.983333333333334, 29.983333333333334, 29.983333333333334, 29.966666666666665]",0,0,,True,PASS
CRG_20260919_P15,A,primary,2,2,6,4,MID,1260,1260.0,30,180.0,180.0,180.0,179.91666666666666,29.983333333333334,29.98611111111111,-0.002137084528010607,5,12,True,41.997010133523936,,2519.820608011436,0.2334247899964276,68.59825868055556,0,VALID,CLEAN,NORMAL,4,2.9332685681499924,0.0,-0.0008726759616517448,-0.00019784298222676238,PASS,"[30.0, 29.983333333333334, 29.983333333333334, 29.983333333333334, 29.983333333333334, 29.983333333333334]",0,0,,True,PASS
CRG_20260919_P16,B,primary,2,2,7,2,MID,1260,1260.0,27,210.0,189.0,189.0,188.8,26.966666666666665,26.97142857142857,0.03043604060354837,12,25,True,43.62532813281834,,2617.5196879691002,0.23106635663569033,69.00663368055555,0,VALID,CLEAN,NORMAL,2,1.9555820005500018,0.0,-0.0027695147371808873,-0.0001010510539769926,PASS,"[26.966666666666665, 26.966666666666665, 26.983333333333334, 26.966666666666665, 26.966666666666665, 26.983333333333334, 26.966666666666665]",0,0,,True,PASS
CRG_20260919_P17,C,primary,2,2,7,4,HIGH,1575,1575.0,30,210.0,210.0,210.0,209.95,29.983333333333334,29.992857142857144,-0.007342675872602008,3,20,True,52.9388514384628,,3176.3310863077677,0.25214980442230434,72.84185391304348,22,VALID,PROTECTION_LIMITED,NORMAL,4,3.243012886350015,0.0,-0.0009324644672370003,0.0007108018559648946,PASS,"[30.0, 30.0, 29.983333333333334, 30.0, 30.0, 29.983333333333334, 29.983333333333334]",0,0,,True,PASS
CRG_20260919_P18,A,primary,2,2,6,1,MID,1260,1260.0,30,180.0,180.0,180.0,176.26666666666668,29.366666666666667,29.377777777777776,3.274875363066341,224,230,False,41.022172695993795,,2461.3303617596275,,69.2650276816609,0,VALID,CLEAN,NORMAL,1,0.9942020847666682,0.0,-0.0002639620422137356,0.0006183276181279469,PASS,"[29.383333333333333, 29.383333333333333, 29.366666666666667, 29.366666666666667, 29.383333333333333, 29.383333333333333]",0,0,,True,PASS
CRG_20260919_P19,C,primary,3,2,7,2,HIGH,1575,1575.0,30,210.0,210.0,210.0,209.93333333333334,29.983333333333334,29.99047619047619,-0.018036316346765332,4,17,True,52.78773890867782,,3167.264334520669,0.2514500106796339,73.0825652173913,69,VALID,PROTECTION_LIMITED,NORMAL,2,1.873702436633324,0.0,-0.00023302141917415042,-6.538518009978568e-05,PASS,"[29.983333333333334, 30.0, 29.983333333333334, 29.983333333333334, 29.983333333333334, 30.0, 30.0]",0,0,,True,PASS
CRG_20260919_P20,A,primary,3,2,6,4,MID,1260,1260.0,30,180.0,180.0,180.0,179.95,29.983333333333334,29.991666666666667,0.0012046460809311019,3,12,True,42.12918341672971,,2527.7510050037827,0.23411605121828125,70.41572097053727,0,VALID,CLEAN,NORMAL,4,2.9140723166500115,0.0,0.0007196158774007242,0.0007048083550097009,PASS,"[30.0, 30.0, 30.0, 29.983333333333334, 29.983333333333334, 29.983333333333334]",0,0,,True,PASS
CRG_20260919_P21,B,primary,3,2,7,1,MID,1260,1260.0,27,210.0,189.0,189.0,166.1,23.716666666666665,23.728571428571428,23.20907594435433,1374,1380,False,39.00903864533916,,2340.5423187203496,,68.37308159722222,0,VALID,CLEAN,NORMAL,1,0.9943542279500038,0.0,-0.00097874454326724,-0.00022025615352039236,PASS,"[23.733333333333334, 23.733333333333334, 23.733333333333334, 23.716666666666665, 23.733333333333334, 23.716666666666665, 23.733333333333334]",0,0,,True,PASS
CRG_20260919_P22,C,primary,3,2,7,4,HIGH,1575,1575.0,30,210.0,210.0,210.0,209.95,29.983333333333334,29.992857142857144,0.004293831873434006,3,14,True,53.052848068333425,,3183.1708841000054,0.25269277479558666,73.0854295652174,24,VALID,PROTECTION_LIMITED,NORMAL,4,3.234541061600003,0.0,0.0019051897972561878,0.0010982970957061867,PASS,"[30.0, 29.983333333333334, 30.0, 30.0, 30.0, 29.983333333333334, 29.983333333333334]",0,0,,True,PASS
CRG_20260919_P23,A,primary,3,2,6,1,MID,1260,1260.0,30,180.0,180.0,180.0,175.58333333333334,29.25,29.26388888888889,4.858732668001454,265,271,False,40.93329534261668,,2455.997720557001,,69.5350865051903,0,VALID,CLEAN,NORMAL,1,0.9946541179166666,0.0,-0.0004350237850557303,9.175783127989728e-05,PASS,"[29.266666666666666, 29.266666666666666, 29.266666666666666, 29.266666666666666, 29.266666666666666, 29.25]",0,0,,True,PASS
CRG_20260919_P24,B,primary,3,2,7,2,MID,1260,1260.0,27,210.0,189.0,189.0,188.78333333333333,26.966666666666665,26.96904761904762,0.005889404101372419,13,26,True,43.772858591943255,,2626.371515516595,0.23186823656013023,70.02121006944445,0,VALID,CLEAN,NORMAL,2,1.9535106140499934,0.0,-0.002968243786839371,0.00038579488520199863,PASS,"[26.983333333333334, 26.966666666666665, 26.966666666666665, 26.966666666666665, 26.966666666666665, 26.966666666666665, 26.966666666666665]",0,0,,True,PASS
CRG_20260919_P25,C,primary,3,2,7,1,HIGH,1575,1575.0,30,210.0,210.0,210.0,185.23333333333332,26.45,26.461904761904762,24.514222565781797,1486,1493,False,47.03706720985665,,2822.224032591399,,71.07703993055556,0,VALID,CLEAN,NORMAL,1,0.9943535805000008,0.0,0.0015107048540818336,-5.27491563700045e-05,PASS,"[26.466666666666665, 26.466666666666665, 26.45, 26.466666666666665, 26.45, 26.466666666666665, 26.466666666666665]",0,0,,True,PASS
CRG_20260919_P26,A,primary,3,2,6,2,MID,1260,1260.0,30,180.0,180.0,180.0,179.96666666666667,29.983333333333334,29.994444444444444,0.0012759613125665004,2,13,True,41.95006032521649,,2517.0036195129896,0.23309905718771898,69.67741074523397,0,VALID,CLEAN,NORMAL,2,1.7316133503833457,0.0,0.0006866645929156444,-0.00014978039735278755,PASS,"[30.0, 29.983333333333334, 29.983333333333334, 30.0, 30.0, 30.0]",0,0,,True,PASS
CRG_20260919_P27,B,primary,3,2,7,4,MID,1260,1260.0,27,210.0,189.0,189.0,188.88333333333333,26.983333333333334,26.983333333333334,0.005217965346963278,7,19,True,43.80911170322881,,2628.5467021937284,0.23193741305865423,70.19598608695652,0,VALID,CLEAN,NORMAL,4,3.4691110409666734,0.0,0.002246901254600576,0.000644559009483753,PASS,"[26.983333333333334, 26.983333333333334, 26.983333333333334, 26.983333333333334, 26.983333333333334, 26.983333333333334, 26.983333333333334]",0,0,,True,PASS
