C,K,run_id,local_latency_mean_ms,start_lag_mean_ms,front_end_mean_ms,queue_wait_mean_ms,inference_mean_ms,start_lag_share_pct,front_end_share_pct,queue_wait_share_pct,inference_share_pct
2,4,run05,23.150539530694445,0.6581492141666667,10.47388934375,3.8421371283333334,8.176363844444445,2.842910910538612,45.242528062307386,16.596317866541234,35.31824316061277
2,5,run01,26.83242732277778,1.0333715672222221,12.276224619666667,5.759207082222222,7.763624053666667,3.8512041970388693,45.75145018373162,21.46360824141053,28.93373737781898
2,5,run02,25.726622038333332,0.8236600184444445,10.94796491,6.266705283888889,7.688291826,3.20158634591502,42.55500350449138,24.35883449662119,29.884575652972423
2,5,run03,26.13607671188889,0.8995069593333334,11.080891838333333,6.4407004472222225,7.714977467,3.441629626546672,42.39692116182383,24.642950501796047,29.518498709833437
2,5,run04,23.61101481111111,0.6954274467777778,10.521672788666667,4.7281079805555555,7.665806595111111,2.9453517874653845,44.56256062198255,20.02500959141559,32.46707799913648
2,5,run05,26.301229848444443,0.8419035776666667,10.984582714333333,6.7487448472222225,7.725998709222222,3.2010046013740308,41.76452119398897,25.6594269017476,29.375047302889403
2,6,run01,31.004247095833332,0.9360618086111111,11.887965767777779,9.70641459111111,8.473804928333333,3.019140589732007,38.34302355748998,31.30672569183452,27.331110160943496
2,6,run02,30.76408906546296,1.0517445030555554,12.21871008324074,8.877657854166667,8.615976625,3.4187409249061345,39.717444768933426,28.85721022090361,28.00660408525683
2,6,run03,31.890027147592594,1.329466233425926,11.883462794907407,10.210780111666667,8.466318007592593,4.168909067630846,37.26388422282827,32.018725052849284,26.548481656691603
2,6,run04,32.76632959203704,1.2207921298148148,12.288878085925926,10.680371948333333,8.576287427962964,3.7257518465281354,37.50459156985469,32.59557015177222,26.17408643184495
2,6,run05,30.26780146759259,0.8484131348148148,11.690912463981482,9.177526311944444,8.550949556851851,2.8030220025171024,38.62491458621074,30.321086656296202,28.250976754975948
2,7,run01,136.04992762992063,1.1148287483333332,13.605748591269842,112.28779307166667,9.041557218650794,0.8194261972456616,10.00055555213512,82.53425417256297,6.645764078056253
2,7,run02,122.61083114825396,1.3291230556349207,13.476155048015872,98.91037004896826,8.89518299563492,1.0840176542216093,10.990998855330556,80.67017336288302,7.254810127564813
2,7,run03,135.27748977738096,1.330111397142857,13.417604254523809,111.5422207663492,8.98755335936508,0.9832466579116388,9.918578676026922,82.45438391110625,6.643790754955184
2,7,run04,212.23708472928573,1.0530495319841269,14.339785063095238,187.40485430238095,9.439395831825397,0.49616660223509984,6.756493607790567,88.29976841296187,4.447571377012461
2,7,run05,88.06787538198412,1.1762983476984128,12.98297095436508,65.17272251992064,8.73588356,1.3356724487747162,14.742005411227375,74.00283274376902,9.919489396228903
