C,K,metric,n_runs,mean,sample_sd,median,min,max,run01,run02,run03,run04,run05
2,4,active_0_offered_pct,5,48.227332940000004,0.3010202758868065,48.2785731,47.746403655,48.47896946833333,48.2785731,48.47896946833333,48.159257378333336,47.746403655,48.47346109833333
2,4,active_1_offered_pct,5,6.422321808333333,2.3676938847173994,5.79566651,4.7560147383333335,10.537453815,4.7560147383333335,5.79566651,6.085762308333333,10.537453815,4.93671167
2,4,active_2_offered_pct,5,45.35034525166667,2.1009851698473145,45.754980313333334,41.71614253,46.96541216166667,46.96541216166667,45.725364021666664,45.754980313333334,41.71614253,46.58982723166667
2,4,time_weighted_waiting_offered,5,0.46414920085,0.030785468282657578,0.46872532093333336,0.4135938550666667,0.4892338742,0.4892338742,0.48813649865,0.46872532093333336,0.4135938550666667,0.4610564554
2,4,waiting_positive_offered_pct,5,24.79870985166667,0.5709171419369226,24.97713240666667,23.79661803166667,25.23847614,25.009070195000007,25.23847614,24.97713240666667,23.79661803166667,24.972252485000002
2,4,workers_actually_used,5,2,0.0,2,2,2,2,2,2,2,2
2,4,submitted_overlap_time_ms,5,8171.517820800001,329.9232459678581,8209.654377,7735.650305,8492.713233,8472.337653,8209.654377,7947.233536,7735.650305,8492.713233
2,4,completion_elapsed_s,5,59.998360071,0.002020556763028724,59.997709487,59.996019278,60.000484357,60.000484357,60.000457875,59.997709487,59.997129358,59.996019278
2,4,drain_after_offered_end_s,5,0.0001884464,0.0002582106653050954,0.0,0.0,0.000484357,0.000484357,0.000457875,0.0,0.0,0.0
2,4,wall_clock_duration_s,5,62.4164375102,0.21297001112559313,62.334731956,62.21727268,62.668533891,62.21727268,62.24225633,62.668533891,62.334731956,62.619392694
2,4,queue_depth_wait_pearson,5,0.8204773866082422,0.0638617547443958,0.8392917501311838,0.7100151446724625,0.8703683046242963,0.8554356774695551,0.8703683046242963,0.8272760561437131,0.8392917501311838,0.7100151446724625
