C,K,run_id,peak_waiting_queue,time_weighted_waiting_queue,time_weighted_waiting_offered,waiting_positive_offered_pct,queue_wait_mean_ms,queue_wait_p95_ms,queue_wait_p99_ms,max_active_inferences,time_weighted_active_offered,active_0_offered_pct,active_1_offered_pct,active_2_offered_pct,service_overlap_pair_count,service_overlap_time_ms,queue_depth_wait_pearson
2,6,run01,42,1.7521928023950117,1.74714741,52.02466996166666,9.70641459111111,16.09071685,122.15561165000001,2,1.5249861536166667,19.553069531666665,8.395245575,72.05168489333333,9048,43238.905459,0.9853452746923319
2,6,run02,37,1.6025884928488192,1.5979752120333333,51.88573511833333,8.877657854166667,16.04881815,87.84379609999999,2,1.55060284315,18.965276701666667,7.009162281666667,74.02556101666667,9040,44422.412725,0.9783726164553244
2,6,run03,51,1.8451748562224197,1.8379404201,51.98881762666667,10.210780111666667,16.0501048,146.22305816,2,1.5236703103333333,19.736567581666666,8.159833803333333,72.103598615,9050,43270.119553,0.9901139183225847
2,6,run04,48,1.9290656181277566,1.9224094146,52.78656615833333,10.680371948333333,16.36524375,158.05161628,2,1.5434198385666666,17.686302316666666,10.28541151,72.02828617333333,9106,43224.734261,0.9909719002462396
2,6,run05,37,1.6558770861684684,1.6518488096333332,52.272609034999995,9.177526311944444,16.18608025,96.97691191,2,1.5389294505166666,19.720559638333334,6.6659356716666665,73.61350469,9039,44172.428292,0.9792338675720998
2,7,run01,54,23.634688797331325,23.580095568583335,90.34260407666666,112.28779307166667,226.96516325,238.45540908,2,1.8982100125666668,1.50435915,7.170280443333334,91.32536040666666,12083,54807.517053,0.997618981769094
2,7,run02,60,20.845902526359986,20.770958257566665,87.613122525,98.91037004896826,243.839611,262.88111888,2,1.86752128065,2.073782298333333,9.100307338333334,88.82591036333334,11899,53304.068385,0.9975536263074198
2,7,run03,58,23.497945417939746,23.42376449325,89.23155892166666,111.5422207663492,233.67982205,245.40457846,2,1.8871424589166668,1.6544827683333334,7.976788571666667,90.36872866,12024,54225.288125,0.9976414323987274
2,7,run04,57,39.426662643950415,39.345586639416666,99.80505053333333,187.40485430238095,236.51682735,247.41209981999998,2,1.9797475552,0.19472120666666667,1.6358020666666666,98.16947672666667,12599,58967.071336,0.9783837058287282
2,7,run05,55,13.719457696432466,13.686066317433333,83.023477725,65.17272251992064,226.7984913,240.60560672999998,2,1.8340167233166667,2.430540028333333,11.737247611666668,85.83221236,11708,51510.576235,0.9983131485862584
